class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
UnitLocation,net.sf.freecol.common.model.UnitLocation(game),ConditionKind.PARAM,game,ConditionKind.PARAM,game,,,AssertionRelation.EMPTY,
UnitLocation,net.sf.freecol.common.model.UnitLocation(game id),ConditionKind.PARAM,game,ConditionKind.PARAM,game,,,AssertionRelation.EMPTY,
UnitLocation,net.sf.freecol.common.model.UnitLocation(game id),ConditionKind.PARAM,id,ConditionKind.PARAM,id,,,AssertionRelation.EMPTY,
UnitLocation,net.sf.freecol.common.model.UnitLocation(game e),ConditionKind.PARAM,game,ConditionKind.PARAM,game,,,AssertionRelation.EMPTY,
UnitLocation,net.sf.freecol.common.model.UnitLocation(game e),ConditionKind.PARAM,e,ConditionKind.PARAM,e,,,AssertionRelation.EMPTY,
UnitLocation,isEmpty(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
UnitLocation,isFull(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
UnitLocation,getFirstUnit(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
UnitLocation,getLastUnit(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
UnitLocation,getTotalUnitCount(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
UnitLocation,hasCarrierWithSpace(space),ConditionKind.PARAM,space,ConditionKind.PARAM,space,,,AssertionRelation.EMPTY,
UnitLocation,hasCarrierWithSpace(space),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
UnitLocation,getNavalUnits(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
UnitLocation,getCarrierForUnit(unit),ConditionKind.PARAM,unit,ConditionKind.PARAM,unit,,,AssertionRelation.EMPTY,
UnitLocation,getCarrierForUnit(unit),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
UnitLocation,getSpaceTaken(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
UnitLocation,moveToFront(u),ConditionKind.PARAM,u,ConditionKind.PARAM,u,,,AssertionRelation.EMPTY,
UnitLocation,getNoAddReason(locatable),ConditionKind.PARAM,locatable,ConditionKind.PARAM,locatable,,,AssertionRelation.EMPTY,
UnitLocation,getNoAddReason(locatable),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
UnitLocation,getUnitCapacity(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID==Integer.MAX_VALUE;,,AssertionRelation.MISSING,
UnitLocation,priceGoods(goods),ConditionKind.PARAM,goods,ConditionKind.PARAM,goods,,,AssertionRelation.EMPTY,
UnitLocation,priceGoods(goods),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
UnitLocation,equipForRole(unit role roleCount),ConditionKind.PARAM,unit,ConditionKind.PARAM,unit,,,AssertionRelation.EMPTY,
UnitLocation,equipForRole(unit role roleCount),ConditionKind.PARAM,role,ConditionKind.PARAM,role,,,AssertionRelation.EMPTY,
UnitLocation,equipForRole(unit role roleCount),ConditionKind.PARAM,roleCount,ConditionKind.PARAM,roleCount,,,AssertionRelation.EMPTY,
UnitLocation,equipForRole(unit role roleCount),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
