class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Path,getRoot(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Path,setRoot(root),ConditionKind.PARAM,root,ConditionKind.PARAM,root,,,AssertionRelation.EMPTY,
Path,contains(node),ConditionKind.PARAM,node,ConditionKind.PARAM,node,,,AssertionRelation.EMPTY,
Path,contains(node),ConditionKind.RETURN,,ConditionKind.RETURN,,assert receiverObjectID.getNodePath().contains(args[0]) ? methodResultID==true;,,AssertionRelation.MISSING,
Path,contains(edge),ConditionKind.PARAM,edge,ConditionKind.PARAM,edge,,,AssertionRelation.EMPTY,
Path,contains(edge),ConditionKind.RETURN,,ConditionKind.RETURN,,assert receiverObjectID.getEdgePath().contains(args[0]) ? methodResultID==true;,,AssertionRelation.MISSING,
Path,empty(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Path,getPathWeight(characteristic),ConditionKind.PARAM,characteristic,ConditionKind.PARAM,characteristic,,,AssertionRelation.EMPTY,
Path,getPathWeight(characteristic),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Path,getEdgePath(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Path,getNodePath(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Path,add(from edge),ConditionKind.PARAM,from,ConditionKind.PARAM,from,,,AssertionRelation.EMPTY,
Path,add(from edge),ConditionKind.PARAM,edge,ConditionKind.PARAM,edge,,,AssertionRelation.EMPTY,
Path,add(edge),ConditionKind.PARAM,edge,ConditionKind.PARAM,edge,,,AssertionRelation.EMPTY,
Path,popEdge(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Path,popNode(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Path,peekNode(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Path,getACopy(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Path,equals(p),ConditionKind.PARAM,p,ConditionKind.PARAM,p,,,AssertionRelation.EMPTY,
Path,equals(p),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Path,toString(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Path,getNodeCount(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
