class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Environment,getGlobalEnvironment(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID==receiverObjectID.GLOBAL_ENV;,,AssertionRelation.MISSING,
Environment,isLocked(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Environment,getParameter(parameter),ConditionKind.PARAM,parameter,ConditionKind.PARAM,parameter,,,AssertionRelation.EMPTY,
Environment,getParameter(parameter),ConditionKind.RETURN,,ConditionKind.RETURN,,"assert !receiverObjectID.hasParameter(args[0]) ? methodResultID.equals("""");",,AssertionRelation.MISSING,
Environment,hasParameter(parameter),ConditionKind.PARAM,parameter,ConditionKind.PARAM,parameter,,,AssertionRelation.EMPTY,
Environment,hasParameter(parameter),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Environment,getBooleanParameter(parameter),ConditionKind.PARAM,parameter,ConditionKind.PARAM,parameter,,,AssertionRelation.EMPTY,
Environment,getBooleanParameter(parameter),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Environment,getBooleanParameteri(parameter),ConditionKind.PARAM,parameter,ConditionKind.PARAM,parameter,,,AssertionRelation.EMPTY,
Environment,getBooleanParameteri(parameter),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Environment,getNumberParameter(parameter),ConditionKind.PARAM,parameter,ConditionKind.PARAM,parameter,,,AssertionRelation.EMPTY,
Environment,getNumberParameter(parameter),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Environment,getParameterCount(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Environment,getParametersKeySet(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Environment,clone(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Environment,setParameter(parameter value),ConditionKind.PARAM,parameter,ConditionKind.PARAM,parameter,,,AssertionRelation.EMPTY,
Environment,setParameter(parameter value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,,AssertionRelation.EMPTY,
Environment,lockEnvironment(on),ConditionKind.PARAM,on,ConditionKind.PARAM,on,assert receiverObjectID.isLocked();,assert receiverObjectID.isLocked();,AssertionRelation.IDENTICAL,
Environment,initializeFieldsOf(object),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,,AssertionRelation.EMPTY,
Environment,initializeFieldsOf(object fieldList),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,,AssertionRelation.EMPTY,
Environment,initializeFieldsOf(object fieldList),ConditionKind.PARAM,fieldList,ConditionKind.PARAM,fieldList,,,AssertionRelation.EMPTY,
Environment,initializeFieldsOf(object fieldList),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,,AssertionRelation.EMPTY,
Environment,initializeFieldsOf(object fieldList),ConditionKind.PARAM,fieldList,ConditionKind.PARAM,fieldList,,,AssertionRelation.EMPTY,
Environment,printParameters(out),ConditionKind.PARAM,out,ConditionKind.PARAM,out,,,AssertionRelation.EMPTY,
Environment,readCommandLine(args),ConditionKind.PARAM,args,ConditionKind.PARAM,args,,,AssertionRelation.EMPTY,
Environment,readCommandLine(args trashcan),ConditionKind.PARAM,args,ConditionKind.PARAM,args,,,AssertionRelation.EMPTY,
Environment,readCommandLine(args trashcan),ConditionKind.PARAM,trashcan,ConditionKind.PARAM,trashcan,,,AssertionRelation.EMPTY,
Environment,writeParameterFile(fileName),ConditionKind.PARAM,fileName,ConditionKind.PARAM,fileName,,,AssertionRelation.EMPTY,
Environment,writeParameterFile(fileName),ConditionKind.THROWS,IOException,ConditionKind.THROWS,IOException,,,AssertionRelation.EMPTY,
Environment,readParameterFile(fileName),ConditionKind.PARAM,fileName,ConditionKind.PARAM,fileName,,,AssertionRelation.EMPTY,
Environment,readParameterFile(fileName),ConditionKind.THROWS,IOException,ConditionKind.THROWS,IOException,,,AssertionRelation.EMPTY,
