class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
FixedArrayList,size(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FixedArrayList,get(i),ConditionKind.PARAM,i,ConditionKind.PARAM,i,,,AssertionRelation.EMPTY,
FixedArrayList,get(i),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FixedArrayList,unsafeGet(i),ConditionKind.PARAM,i,ConditionKind.PARAM,i,,,AssertionRelation.EMPTY,
FixedArrayList,unsafeGet(i),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FixedArrayList,getLastIndex(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FixedArrayList,getNextAddIndex(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FixedArrayList,add(element),ConditionKind.PARAM,element,ConditionKind.PARAM,element,,,AssertionRelation.EMPTY,
FixedArrayList,add(element),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,,AssertionRelation.MISSING,
FixedArrayList,add(element),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true? methodResultID==true;,assert true ? methodResultID==true;,AssertionRelation.IDENTICAL,
FixedArrayList,remove(i),ConditionKind.PARAM,i,ConditionKind.PARAM,i,,,AssertionRelation.EMPTY,
FixedArrayList,remove(i),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FixedArrayList,remove(e),ConditionKind.PARAM,e,ConditionKind.PARAM,e,,,AssertionRelation.EMPTY,
FixedArrayList,remove(e),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
