class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Verify,verify(expression),ConditionKind.THROWS,VerifyException,ConditionKind.THROWS,VerifyException,assert args[0]==false;,assert args[0]==false;,AssertionRelation.IDENTICAL,
Verify,verify(expression errorMessageTemplate errorMessageArgs),ConditionKind.PARAM,expression,ConditionKind.PARAM,expression,,,AssertionRelation.EMPTY,
Verify,verify(expression errorMessageTemplate errorMessageArgs),ConditionKind.PARAM,errorMessageTemplate,ConditionKind.PARAM,errorMessageTemplate,,,AssertionRelation.EMPTY,
Verify,verify(expression errorMessageTemplate errorMessageArgs),ConditionKind.PARAM,errorMessageArgs,ConditionKind.PARAM,errorMessageArgs,,,AssertionRelation.EMPTY,
Verify,verify(expression errorMessageTemplate errorMessageArgs),ConditionKind.THROWS,VerifyException,ConditionKind.THROWS,VerifyException,assert args[0]==false;,assert args[0]==false;,AssertionRelation.IDENTICAL,
Verify,verifyNotNull(reference),ConditionKind.THROWS,VerifyException,ConditionKind.THROWS,VerifyException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
Verify,verifyNotNull(reference),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID!=null;,assert true ? methodResultID!=null;,AssertionRelation.IDENTICAL,
Verify,verifyNotNull(reference errorMessageTemplate errorMessageArgs),ConditionKind.PARAM,errorMessageTemplate,ConditionKind.PARAM,errorMessageTemplate,,,AssertionRelation.EMPTY,
Verify,verifyNotNull(reference errorMessageTemplate errorMessageArgs),ConditionKind.PARAM,errorMessageArgs,ConditionKind.PARAM,errorMessageArgs,,,AssertionRelation.EMPTY,
Verify,verifyNotNull(reference errorMessageTemplate errorMessageArgs),ConditionKind.THROWS,VerifyException,ConditionKind.THROWS,VerifyException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
Verify,verifyNotNull(reference errorMessageTemplate errorMessageArgs),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID!=null;,assert true ? methodResultID!=null;,AssertionRelation.IDENTICAL,
