class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Iterators,removeAll(removeFrom elementsToRemove),ConditionKind.PARAM,removeFrom,ConditionKind.PARAM,removeFrom,,,AssertionRelation.EMPTY,
Iterators,removeAll(removeFrom elementsToRemove),ConditionKind.PARAM,elementsToRemove,ConditionKind.PARAM,elementsToRemove,,,AssertionRelation.EMPTY,
Iterators,removeAll(removeFrom elementsToRemove),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Iterators,removeIf(removeFrom predicate),ConditionKind.PARAM,removeFrom,ConditionKind.PARAM,removeFrom,,,AssertionRelation.EMPTY,
Iterators,removeIf(removeFrom predicate),ConditionKind.PARAM,predicate,ConditionKind.PARAM,predicate,,,AssertionRelation.EMPTY,
Iterators,removeIf(removeFrom predicate),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Iterators,retainAll(removeFrom elementsToRetain),ConditionKind.PARAM,removeFrom,ConditionKind.PARAM,removeFrom,,,AssertionRelation.EMPTY,
Iterators,retainAll(removeFrom elementsToRetain),ConditionKind.PARAM,elementsToRetain,ConditionKind.PARAM,elementsToRetain,,,AssertionRelation.EMPTY,
Iterators,retainAll(removeFrom elementsToRetain),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Iterators,getOnlyElement(iterator),ConditionKind.THROWS,NoSuchElementException,ConditionKind.THROWS,NoSuchElementException,,,AssertionRelation.EMPTY,
Iterators,getOnlyElement(iterator),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,,AssertionRelation.EMPTY,
Iterators,getOnlyElement(iterator defaultValue),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,,AssertionRelation.EMPTY,
Iterators,toArray(iterator type),ConditionKind.PARAM,iterator,ConditionKind.PARAM,iterator,,,AssertionRelation.EMPTY,
Iterators,toArray(iterator type),ConditionKind.PARAM,type,ConditionKind.PARAM,type,,,AssertionRelation.EMPTY,
Iterators,toArray(iterator type),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Iterators,addAll(addTo iterator),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Iterators,concat(inputs),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,,,AssertionRelation.EMPTY,
Iterators,partition(iterator size),ConditionKind.PARAM,iterator,ConditionKind.PARAM,iterator,,,AssertionRelation.EMPTY,
Iterators,partition(iterator size),ConditionKind.PARAM,size,ConditionKind.PARAM,size,,,AssertionRelation.EMPTY,
Iterators,partition(iterator size),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<=0;,assert args[1]<=0;,AssertionRelation.IDENTICAL,
Iterators,partition(iterator size),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Iterators,paddedPartition(iterator size),ConditionKind.PARAM,iterator,ConditionKind.PARAM,iterator,,,AssertionRelation.EMPTY,
Iterators,paddedPartition(iterator size),ConditionKind.PARAM,size,ConditionKind.PARAM,size,,,AssertionRelation.EMPTY,
Iterators,paddedPartition(iterator size),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<=0;,assert args[1]<=0;,AssertionRelation.IDENTICAL,
