class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
AtomicDoubleArray,AtomicDoubleArray(length),ConditionKind.PARAM,length,ConditionKind.PARAM,length,,,AssertionRelation.EMPTY,
AtomicDoubleArray,AtomicDoubleArray(array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,,AssertionRelation.EMPTY,
AtomicDoubleArray,AtomicDoubleArray(array),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
AtomicDoubleArray,length(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
AtomicDoubleArray,get(i),ConditionKind.PARAM,i,ConditionKind.PARAM,i,,,AssertionRelation.EMPTY,
AtomicDoubleArray,get(i),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
AtomicDoubleArray,set(i newValue),ConditionKind.PARAM,i,ConditionKind.PARAM,i,,,AssertionRelation.EMPTY,
AtomicDoubleArray,set(i newValue),ConditionKind.PARAM,newValue,ConditionKind.PARAM,newValue,,,AssertionRelation.EMPTY,
AtomicDoubleArray,lazySet(i newValue),ConditionKind.PARAM,i,ConditionKind.PARAM,i,,,AssertionRelation.EMPTY,
AtomicDoubleArray,lazySet(i newValue),ConditionKind.PARAM,newValue,ConditionKind.PARAM,newValue,,,AssertionRelation.EMPTY,
AtomicDoubleArray,getAndSet(i newValue),ConditionKind.PARAM,i,ConditionKind.PARAM,i,,,AssertionRelation.EMPTY,
AtomicDoubleArray,getAndSet(i newValue),ConditionKind.PARAM,newValue,ConditionKind.PARAM,newValue,,,AssertionRelation.EMPTY,
AtomicDoubleArray,getAndSet(i newValue),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
AtomicDoubleArray,compareAndSet(i expect update),ConditionKind.PARAM,i,ConditionKind.PARAM,i,,,AssertionRelation.EMPTY,
AtomicDoubleArray,compareAndSet(i expect update),ConditionKind.PARAM,expect,ConditionKind.PARAM,expect,,,AssertionRelation.EMPTY,
AtomicDoubleArray,compareAndSet(i expect update),ConditionKind.PARAM,update,ConditionKind.PARAM,update,,,AssertionRelation.EMPTY,
AtomicDoubleArray,compareAndSet(i expect update),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
AtomicDoubleArray,weakCompareAndSet(i expect update),ConditionKind.PARAM,i,ConditionKind.PARAM,i,,,AssertionRelation.EMPTY,
AtomicDoubleArray,weakCompareAndSet(i expect update),ConditionKind.PARAM,expect,ConditionKind.PARAM,expect,,,AssertionRelation.EMPTY,
AtomicDoubleArray,weakCompareAndSet(i expect update),ConditionKind.PARAM,update,ConditionKind.PARAM,update,,,AssertionRelation.EMPTY,
AtomicDoubleArray,weakCompareAndSet(i expect update),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
AtomicDoubleArray,getAndAdd(i delta),ConditionKind.PARAM,i,ConditionKind.PARAM,i,,,AssertionRelation.EMPTY,
AtomicDoubleArray,getAndAdd(i delta),ConditionKind.PARAM,delta,ConditionKind.PARAM,delta,,,AssertionRelation.EMPTY,
AtomicDoubleArray,getAndAdd(i delta),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
AtomicDoubleArray,addAndGet(i delta),ConditionKind.PARAM,i,ConditionKind.PARAM,i,,,AssertionRelation.EMPTY,
AtomicDoubleArray,addAndGet(i delta),ConditionKind.PARAM,delta,ConditionKind.PARAM,delta,,,AssertionRelation.EMPTY,
AtomicDoubleArray,addAndGet(i delta),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
AtomicDoubleArray,toString(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
