class_fqn,param_precision,param_recall,return_precision,return_recall,throws_precision,throws_recall,overall_precision,overall_recall,overall_f1
CharMatcher,1.0,0.9230769230769231,0.8888888888888888,1.0,0.5,0.5,0.9130434782608695,0.9130434782608695,
Converter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
MoreObjects,1.0,1.0,0.0,0.0,1.0,1.0,0.8,0.8,
Splitter,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,
Strings,1.0,0.9090909090909091,0.5,0.5,1.0,1.0,0.8235294117647058,0.7777777777777778,
Throwables,1.0,1.0,1.0,1.0,,,1.0,1.0,
Verify,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
CacheLoader,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
ArrayListMultimap,1.0,1.0,,,1.0,1.0,1.0,1.0,
ConcurrentHashMultiset,0.8888888888888888,0.8888888888888888,1.0,1.0,0.8333333333333334,0.8333333333333334,0.9047619047619048,0.9047619047619048,
ImmutableSortedMapFauxverideShim,,,,,1.0,1.0,1.0,1.0,
ImmutableSortedMap,,,,,1.0,1.0,1.0,1.0,
Iterators,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
UnicodeEscaper,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
BloomFilter,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.9565217391304348,
Hashing,,0.0,1.0,1.0,1.0,1.0,1.0,0.75,
Doubles,0.9090909090909091,0.9090909090909091,1.0,1.0,0.25,0.25,0.868421052631579,0.868421052631579,
Floats,0.9090909090909091,0.9090909090909091,1.0,1.0,0.25,0.25,0.868421052631579,0.868421052631579,
Shorts,0.9130434782608695,0.9130434782608695,1.0,1.0,0.25,0.16666666666666666,0.875,0.8333333333333334,
AtomicDoubleArray,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
