class_fqn,param_precision,param_recall,return_precision,return_recall,throws_precision,throws_recall,overall_precision,overall_recall,overall_f1
CharMatcher,1.0,0.9230769230769231,0.8888888888888888,1.0,1.0,1.0,0.9565217391304348,0.9565217391304348,
Converter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
MoreObjects,1.0,1.0,0.0,0.0,1.0,1.0,0.8,0.8,
Splitter,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,
Strings,1.0,0.9090909090909091,0.5,0.5,1.0,1.0,0.8235294117647058,0.7777777777777778,
Throwables,1.0,1.0,1.0,1.0,,,1.0,1.0,
Verify,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
CacheLoader,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
ArrayListMultimap,1.0,1.0,,,1.0,1.0,1.0,1.0,
ConcurrentHashMultiset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
ImmutableSortedMapFauxverideShim,,,,,1.0,1.0,1.0,1.0,
ImmutableSortedMap,,,,,1.0,1.0,1.0,1.0,
Iterators,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
UnicodeEscaper,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
BloomFilter,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.9565217391304348,
Hashing,,0.0,1.0,1.0,1.0,1.0,1.0,0.75,
Doubles,1.0,1.0,1.0,1.0,0.75,0.75,0.9736842105263158,0.9736842105263158,
Floats,1.0,1.0,1.0,1.0,0.75,0.75,0.9736842105263158,0.9736842105263158,
Shorts,1.0,1.0,1.0,1.0,0.75,0.5,0.975,0.9285714285714286,
AtomicDoubleArray,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
