class_fqn,param_precision,param_recall,return_precision,return_recall,throws_precision,throws_recall,overall_precision,overall_recall,overall_f1
Graph,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.9298245614035088,
CompleteGraphGenerator,1.0,1.0,,,1.0,1.0,1.0,1.0,
Graphs,1.0,1.0,0.9285714285714286,0.9285714285714286,0.0,0.0,0.9615384615384616,0.9433962264150944,
EmptyGraphGenerator,1.0,1.0,,,1.0,1.0,1.0,1.0,
AbstractPathElementList,1.0,1.0,,,1.0,0.8333333333333334,1.0,0.9090909090909091,
LinearGraphGenerator,1.0,1.0,,,1.0,1.0,1.0,1.0,
KShortestPaths,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
AbstractGraph,0.8333333333333334,1.0,1.0,1.0,1.0,0.5,0.9230769230769231,0.9230769230769231,
DirectedSimpleCycles,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8,
GraphDelegator,1.0,1.0,,,1.0,1.0,1.0,1.0,
PatonCycleBase,1.0,1.0,,,1.0,1.0,1.0,1.0,
