class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Graph,getAllEdges(sourceVertex targetVertex),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,,AssertionRelation.EMPTY,
Graph,getAllEdges(sourceVertex targetVertex),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,,AssertionRelation.EMPTY,
Graph,getAllEdges(sourceVertex targetVertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Graph,getEdge(sourceVertex targetVertex),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,,AssertionRelation.EMPTY,
Graph,getEdge(sourceVertex targetVertex),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,,AssertionRelation.EMPTY,
Graph,getEdge(sourceVertex targetVertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Graph,getEdgeFactory(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Graph,addEdge(sourceVertex targetVertex),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,,AssertionRelation.EMPTY,
Graph,addEdge(sourceVertex targetVertex),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,,AssertionRelation.EMPTY,
Graph,addEdge(sourceVertex targetVertex),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert receiverObjectID.contains(arg[0])==false || receiverObjectID.contains(arg[1])==false;,,AssertionRelation.MISSING,
Graph,addEdge(sourceVertex targetVertex),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[1]==null;,,AssertionRelation.MISSING,
Graph,addEdge(sourceVertex targetVertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Graph,addEdge(sourceVertex targetVertex e),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,,AssertionRelation.EMPTY,
Graph,addEdge(sourceVertex targetVertex e),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,,AssertionRelation.EMPTY,
Graph,addEdge(sourceVertex targetVertex e),ConditionKind.PARAM,e,ConditionKind.PARAM,e,,,AssertionRelation.EMPTY,
Graph,addEdge(sourceVertex targetVertex e),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert receiverObjectID.contains(arg[0])==false || receiverObjectID.contains(arg[1])==false;,,AssertionRelation.MISSING,
Graph,addEdge(sourceVertex targetVertex e),ConditionKind.THROWS,ClassCastException,ConditionKind.THROWS,ClassCastException,,,AssertionRelation.EMPTY,
Graph,addEdge(sourceVertex targetVertex e),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[1]==null;,,AssertionRelation.MISSING,
Graph,addEdge(sourceVertex targetVertex e),ConditionKind.RETURN,,ConditionKind.RETURN,,"assert (receiverObjectID.containsEdge(args[0],args[1]))==false?methodResultID==true:methodResultID==false;","assert (receiverObjectID.containsEdge(args[0],args[1])) == false ? methodResultID == true : methodResultID == false;",AssertionRelation.IDENTICAL,
Graph,addVertex(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,,AssertionRelation.EMPTY,
Graph,addVertex(v),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
Graph,addVertex(v),ConditionKind.RETURN,,ConditionKind.RETURN,,assert (receiverObjectID.containsVertex(args[0]))==false ? methodResultID==true:methodResultID==false;,assert (receiverObjectID.containsVertex(args[0])) == false ? methodResultID == true : methodResultID == false;,AssertionRelation.IDENTICAL,
Graph,containsEdge(sourceVertex targetVertex),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,,AssertionRelation.EMPTY,
Graph,containsEdge(sourceVertex targetVertex),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,,AssertionRelation.EMPTY,
Graph,containsEdge(sourceVertex targetVertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Graph,containsEdge(e),ConditionKind.PARAM,e,ConditionKind.PARAM,e,,,AssertionRelation.EMPTY,
Graph,containsEdge(e),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Graph,containsVertex(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,,AssertionRelation.EMPTY,
Graph,containsVertex(v),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Graph,edgeSet(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Graph,edgesOf(vertex),ConditionKind.PARAM,vertex,ConditionKind.PARAM,vertex,,,AssertionRelation.EMPTY,
Graph,edgesOf(vertex),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert (receiverObjectID.containsVertex(args[0]))==false;,assert (receiverObjectID.containsVertex(args[0])) == false;,AssertionRelation.IDENTICAL,
Graph,edgesOf(vertex),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
Graph,edgesOf(vertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Graph,removeAllEdges(edges),ConditionKind.PARAM,edges,ConditionKind.PARAM,edges,,,AssertionRelation.EMPTY,
Graph,removeAllEdges(edges),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
Graph,removeAllEdges(edges),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Graph,removeAllEdges(sourceVertex targetVertex),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,,AssertionRelation.EMPTY,
Graph,removeAllEdges(sourceVertex targetVertex),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,,AssertionRelation.EMPTY,
Graph,removeAllEdges(sourceVertex targetVertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Graph,removeAllVertices(vertices),ConditionKind.PARAM,vertices,ConditionKind.PARAM,vertices,,,AssertionRelation.EMPTY,
Graph,removeAllVertices(vertices),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
Graph,removeAllVertices(vertices),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Graph,removeEdge(sourceVertex targetVertex),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,,AssertionRelation.EMPTY,
Graph,removeEdge(sourceVertex targetVertex),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,,AssertionRelation.EMPTY,
Graph,removeEdge(sourceVertex targetVertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Graph,removeEdge(e),ConditionKind.PARAM,e,ConditionKind.PARAM,e,,,AssertionRelation.EMPTY,
Graph,removeEdge(e),ConditionKind.RETURN,,ConditionKind.RETURN,,assert receiverObjectID.containsEdge(args[0]) ? methodResultID==true : methodResultID==false;,assert receiverObjectID.containsEdge(args[0]) ? methodResultID == true : methodResultID == false;,AssertionRelation.IDENTICAL,
Graph,removeVertex(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,,AssertionRelation.EMPTY,
Graph,removeVertex(v),ConditionKind.RETURN,,ConditionKind.RETURN,,assert receiverObjectID.containsVertex(args[0]) ? methodResultID==true : methodResultID==false;,assert receiverObjectID.containsVertex(args[0]) ? methodResultID == true : methodResultID == false;,AssertionRelation.IDENTICAL,
Graph,vertexSet(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Graph,getEdgeSource(e),ConditionKind.PARAM,e,ConditionKind.PARAM,e,,,AssertionRelation.EMPTY,
Graph,getEdgeSource(e),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Graph,getEdgeTarget(e),ConditionKind.PARAM,e,ConditionKind.PARAM,e,,,AssertionRelation.EMPTY,
Graph,getEdgeTarget(e),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Graph,getEdgeWeight(e),ConditionKind.PARAM,e,ConditionKind.PARAM,e,,,AssertionRelation.EMPTY,
Graph,getEdgeWeight(e),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
