class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
TimeLimitProcess,TimeLimitProcess(p timeLimit),ConditionKind.PARAM,p,ConditionKind.PARAM,p,assert args[0]!=null;,assert args[0]!=null;,AssertionRelation.IDENTICAL,
TimeLimitProcess,TimeLimitProcess(p timeLimit),ConditionKind.PARAM,timeLimit,ConditionKind.PARAM,timeLimit,,,AssertionRelation.EMPTY,
TimeLimitProcess,TimeLimitProcess(p timeLimit cacheStdout),ConditionKind.PARAM,p,ConditionKind.PARAM,p,assert args[0]!=null;,assert args[0]!=null;,AssertionRelation.IDENTICAL,
TimeLimitProcess,TimeLimitProcess(p timeLimit cacheStdout),ConditionKind.PARAM,timeLimit,ConditionKind.PARAM,timeLimit,,,AssertionRelation.EMPTY,
TimeLimitProcess,TimeLimitProcess(p timeLimit cacheStdout),ConditionKind.PARAM,cacheStdout,ConditionKind.PARAM,cacheStdout,,,AssertionRelation.EMPTY,
TimeLimitProcess,timed_out(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
TimeLimitProcess,timeout_msecs(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
TimeLimitProcess,exitValue(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
TimeLimitProcess,getErrorStream(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
TimeLimitProcess,getInputStream(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
TimeLimitProcess,getOutputStream(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
TimeLimitProcess,waitFor(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
TimeLimitProcess,finished(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
