class_fqn,param_precision,param_recall,return_precision,return_recall,throws_precision,throws_recall,overall_precision,overall_recall,overall_f1
ArrayStack,0.0,,0.0,0.0,0.25,0.25,0.07692307692307693,0.1111111111111111,
BagUtils,1.0,0.15384615384615385,0.0,0.0,1.0,0.2222222222222222,0.2857142857142857,0.16666666666666666,
BoundedMap,,,0.0,,,,0.0,,
ClosureUtils,0.0,0.0,0.0,,,0.0,0.0,0.0,
CollectionUtils,0.24561403508771928,0.25,0.0,0.0,0.5,0.06451612903225806,0.14678899082568808,0.16161616161616163,
FactoryUtils,0.0,,0.0,,,0.0,0.0,0.0,
FluentIterable,0.4117647058823529,0.7777777777777778,0.0,0.0,1.0,0.06666666666666667,0.17391304347826086,0.3076923076923077,
PredicateUtils,0.25,0.043478260869565216,0.0,,1.0,0.034482758620689655,0.058823529411764705,0.038461538461538464,
QueueUtils,,0.0,0.0,0.0,1.0,0.3333333333333333,0.2,0.1111111111111111,
CollectionBag,0.125,0.5,0.0,0.0,1.0,1.0,0.17647058823529413,0.5,
SynchronizedBag,1.0,0.75,0.0,,1.0,1.0,0.8571428571428571,0.8571428571428571,
FixedOrderComparator,0.0,,0.0,0.0,0.5,0.2857142857142857,0.1,0.25,
AllPredicate,0.5,0.3333333333333333,0.0,,0.5,0.25,0.2857142857142857,0.2857142857142857,
AndPredicate,0.6666666666666666,0.5,0.0,,,0.0,0.3333333333333333,0.4,
AnyPredicate,0.3333333333333333,0.3333333333333333,0.0,,,0.0,0.16666666666666666,0.14285714285714285,
IfClosure,0.8333333333333334,1.0,0.0,,,0.0,0.45454545454545453,0.7142857142857143,
DefaultMapEntry,0.5,1.0,,,0.5,1.0,0.5,1.0,
HashedMap,0.0,,0.0,,1.0,0.5,0.2857142857142857,0.5,
LRUMap,0.0,,0.0,0.0,1.0,0.16666666666666666,0.06382978723404255,0.15789473684210525,
LazyMap,1.0,0.5,0.0,,,0.0,0.6666666666666666,0.3333333333333333,
KeyAnalyzer,0.07142857142857142,1.0,0.0,,,,0.05263157894736842,1.0,
