class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
FunctionUtils,compose(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,compose(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.compose(args[0]);,AssertionRelation.UNEXPECTED,
FunctionUtils,compose(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,compose(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.toMultivariateDifferentiableVectorFunction(args[0]);,AssertionRelation.UNEXPECTED,
FunctionUtils,compose(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,compose(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !args[0].isEmpty();,AssertionRelation.UNEXPECTED,
FunctionUtils,add(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,add(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof receiverObjectID.UnivariateFunction;,AssertionRelation.UNEXPECTED,
FunctionUtils,add(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,add(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof receiverObjectID.UnivariateDifferentiableFunction;,AssertionRelation.UNEXPECTED,
FunctionUtils,add(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,add(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof receiverObjectID.DifferentiableUnivariateFunction;,AssertionRelation.UNEXPECTED,
