class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
FactoryUtils,exceptionFactory(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == null; ,AssertionRelation.UNEXPECTED,
FactoryUtils,nullFactory(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == null; ,AssertionRelation.UNEXPECTED,
FactoryUtils,constantFactory(constantToReturn),ConditionKind.PARAM,constantToReturn,ConditionKind.PARAM,constantToReturn,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FactoryUtils,constantFactory(constantToReturn),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.constantFactory(args[0]);,AssertionRelation.UNEXPECTED,
FactoryUtils,prototypeFactory(prototype),ConditionKind.PARAM,prototype,ConditionKind.PARAM,prototype,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FactoryUtils,prototypeFactory(prototype),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert !prototype.cloneable();,AssertionRelation.UNEXPECTED,
FactoryUtils,prototypeFactory(prototype),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (args[0] != null) ? new Factory(args[0]) : ConstantFactory.NULL_INSTANCE;,AssertionRelation.UNEXPECTED,
FactoryUtils,instantiateFactory(classToInstantiate),ConditionKind.PARAM,classToInstantiate,ConditionKind.PARAM,classToInstantiate,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
FactoryUtils,instantiateFactory(classToInstantiate),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
FactoryUtils,instantiateFactory(classToInstantiate),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !args[0].isInstance(null);,AssertionRelation.UNEXPECTED,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.PARAM,classToInstantiate,ConditionKind.PARAM,classToInstantiate,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.PARAM,paramTypes,ConditionKind.PARAM,paramTypes,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.PARAM,args,ConditionKind.PARAM,args,,assert (args[2] == null) == false;,AssertionRelation.UNEXPECTED,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert (args[1].length != 0 && !receiverObjectID.isAssignableFrom(args[1][0])) || (args[2].length == 0);,AssertionRelation.UNEXPECTED,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,"assert !receiverObjectID.getMethod(String.format(""new %s(%s)"", classToInstantiate.getName(), String.valueOf(args[1]))).exists();",AssertionRelation.UNEXPECTED,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !methodResultID == null && (args[0] != null || args[1].length > 0) && (args[2].length > 0);,AssertionRelation.UNEXPECTED,
