class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
FluentIterable,empty(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID.isEmpty()==true;,assert methodResultID == receiverObjectID.isEmpty();,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
FluentIterable,of(singleton),ConditionKind.PARAM,singleton,ConditionKind.PARAM,singleton,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FluentIterable,of(singleton),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID.contains(args[0])==true;,assert methodResultID == receiverObjectID.of(args[0]) != null;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
FluentIterable,of(elements),ConditionKind.PARAM,elements,ConditionKind.PARAM,elements,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
FluentIterable,of(elements),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.of(args[0]).isEmpty() == false;,AssertionRelation.UNEXPECTED,
FluentIterable,of(iterable),ConditionKind.PARAM,iterable,ConditionKind.PARAM,iterable,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
FluentIterable,of(iterable),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
FluentIterable,of(iterable),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (args[0] instanceof receiverObjectID.FluentIterable) ? args[0] : receiverObjectID.of(args[0]);,AssertionRelation.UNEXPECTED,
FluentIterable,append(elements),ConditionKind.PARAM,elements,ConditionKind.PARAM,elements,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FluentIterable,append(elements),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof FluentIterable; ,AssertionRelation.UNEXPECTED,
FluentIterable,append(other),ConditionKind.PARAM,other,ConditionKind.PARAM,other,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
FluentIterable,append(other),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
FluentIterable,append(other),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !receiverObjectID.append(args[0]).isEmpty();,AssertionRelation.UNEXPECTED,
FluentIterable,collate(other),ConditionKind.PARAM,other,ConditionKind.PARAM,other,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
FluentIterable,collate(other),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
FluentIterable,collate(other),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == !receiverObjectID.isEmpty() && receiverObjectID.allMatch(args[0], java.util.function.Predicate.isEqual());",AssertionRelation.UNEXPECTED,
FluentIterable,collate(other comparator),ConditionKind.PARAM,comparator,ConditionKind.PARAM,comparator,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
FluentIterable,collate(other comparator),ConditionKind.PARAM,other,ConditionKind.PARAM,other,assert (args[0]==null) == false;,assert (args[1] == null) == false;,AssertionRelation.INCOMPARABLE,
FluentIterable,collate(other comparator),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
FluentIterable,collate(other comparator),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !args[1].equals(null) || (args[0] != null && args[2] == null);,AssertionRelation.UNEXPECTED,
FluentIterable,eval(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof receiverObjectID.FluentIterable;,AssertionRelation.UNEXPECTED,
FluentIterable,filter(predicate),ConditionKind.PARAM,predicate,ConditionKind.PARAM,predicate,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FluentIterable,filter(predicate),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
FluentIterable,filter(predicate),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !receiverObjectID.allMatch(args[0]);,AssertionRelation.UNEXPECTED,
FluentIterable,limit(maxSize),ConditionKind.PARAM,maxSize,ConditionKind.PARAM,maxSize,,assert args[0] >= 0;,AssertionRelation.UNEXPECTED,
FluentIterable,limit(maxSize),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]<0;,assert args[0] < 0;,AssertionRelation.IDENTICAL,
FluentIterable,limit(maxSize),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (args[0] >= 0);,AssertionRelation.UNEXPECTED,
FluentIterable,loop(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof receiverObjectID.FluentIterable;,AssertionRelation.UNEXPECTED,
