class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
KeyAnalyzer,bitsPerElement(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.bitsPerElement();,AssertionRelation.UNEXPECTED,
KeyAnalyzer,lengthInBits(key),ConditionKind.PARAM,key,ConditionKind.PARAM,key,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
KeyAnalyzer,lengthInBits(key),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.lengthInBits(args[0]);,AssertionRelation.UNEXPECTED,
KeyAnalyzer,isBitSet(key bitIndex lengthInBits),ConditionKind.PARAM,key,ConditionKind.PARAM,key,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
KeyAnalyzer,isBitSet(key bitIndex lengthInBits),ConditionKind.PARAM,bitIndex,ConditionKind.PARAM,bitIndex,,assert 0 <= args[1] && args[1] < args[2];,AssertionRelation.UNEXPECTED,
KeyAnalyzer,isBitSet(key bitIndex lengthInBits),ConditionKind.PARAM,lengthInBits,ConditionKind.PARAM,lengthInBits,,assert 0 <= args[2];,AssertionRelation.UNEXPECTED,
KeyAnalyzer,isBitSet(key bitIndex lengthInBits),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.isBitSet(args[0], args[1]);",AssertionRelation.UNEXPECTED,
KeyAnalyzer,bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits),ConditionKind.PARAM,key,ConditionKind.PARAM,key,,assert key != null;,AssertionRelation.UNEXPECTED,
KeyAnalyzer,bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits),ConditionKind.PARAM,offsetInBits,ConditionKind.PARAM,offsetInBits,,assert 0 <= offsetInBits && offsetInBits < bitsPerElement();,AssertionRelation.UNEXPECTED,
KeyAnalyzer,bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits),ConditionKind.PARAM,lengthInBits,ConditionKind.PARAM,lengthInBits,,assert 1 <= lengthInBits;,AssertionRelation.UNEXPECTED,
KeyAnalyzer,bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits),ConditionKind.PARAM,other,ConditionKind.PARAM,other,,assert other != null;,AssertionRelation.UNEXPECTED,
KeyAnalyzer,bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits),ConditionKind.PARAM,otherOffsetInBits,ConditionKind.PARAM,otherOffsetInBits,,assert 0 <= otherOffsetInBits && otherOffsetInBits < bitsPerElement();,AssertionRelation.UNEXPECTED,
KeyAnalyzer,bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits),ConditionKind.PARAM,otherLengthInBits,ConditionKind.PARAM,otherLengthInBits,,assert 1 <= otherLengthInBits;,AssertionRelation.UNEXPECTED,
KeyAnalyzer,bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == bitIndex(args[0], args[1], args[2], args[3], args[4], args[5]);",AssertionRelation.UNEXPECTED,
KeyAnalyzer,isPrefix(prefix offsetInBits lengthInBits key),ConditionKind.PARAM,prefix,ConditionKind.PARAM,prefix,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
KeyAnalyzer,isPrefix(prefix offsetInBits lengthInBits key),ConditionKind.PARAM,offsetInBits,ConditionKind.PARAM,offsetInBits,,assert receiverObjectID != null && args[1] >= 0;,AssertionRelation.UNEXPECTED,
KeyAnalyzer,isPrefix(prefix offsetInBits lengthInBits key),ConditionKind.PARAM,lengthInBits,ConditionKind.PARAM,lengthInBits,,assert receiverObjectID != null && args[2] > 0;,AssertionRelation.UNEXPECTED,
KeyAnalyzer,isPrefix(prefix offsetInBits lengthInBits key),ConditionKind.PARAM,key,ConditionKind.PARAM,key,,assert (args[3] == null) == false;,AssertionRelation.UNEXPECTED,
KeyAnalyzer,isPrefix(prefix offsetInBits lengthInBits key),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.isPrefix(args[0], args[1], args[2]);",AssertionRelation.UNEXPECTED,
