class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
PolynomialFunctionNewtonForm,PolynomialFunctionNewtonForm(a c),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
PolynomialFunctionNewtonForm,PolynomialFunctionNewtonForm(a c),ConditionKind.PARAM,c,ConditionKind.PARAM,c,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
PolynomialFunctionNewtonForm,PolynomialFunctionNewtonForm(a c),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null || args[1]==null;,,AssertionRelation.MISSING,
PolynomialFunctionNewtonForm,PolynomialFunctionNewtonForm(a c),ConditionKind.THROWS,NoDataException,ConditionKind.THROWS,NoDataException,assert args[0]!=null && args[0].length==0 || args[1]!=null && args[1].length==0;,assert !args[0].length == 0 && !args[1].length == 0;,AssertionRelation.UNSUPPORTED,Equality requires operands of same type
PolynomialFunctionNewtonForm,PolynomialFunctionNewtonForm(a c),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert ((args[0].length - args[1].length) == 1) == false;,,AssertionRelation.MISSING,
PolynomialFunctionNewtonForm,value(z),ConditionKind.PARAM,z,ConditionKind.PARAM,z,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
PolynomialFunctionNewtonForm,value(z),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.value(args[0]);,AssertionRelation.UNEXPECTED,
PolynomialFunctionNewtonForm,degree(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.degree();,AssertionRelation.UNEXPECTED,
PolynomialFunctionNewtonForm,getNewtonCoefficients(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID.length == 1;,AssertionRelation.UNEXPECTED,
PolynomialFunctionNewtonForm,getCenters(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID.length == 1;,AssertionRelation.UNEXPECTED,
PolynomialFunctionNewtonForm,getCoefficients(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID.length == 1;,AssertionRelation.UNEXPECTED,
PolynomialFunctionNewtonForm,evaluate(a c z),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
PolynomialFunctionNewtonForm,evaluate(a c z),ConditionKind.PARAM,c,ConditionKind.PARAM,c,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
PolynomialFunctionNewtonForm,evaluate(a c z),ConditionKind.PARAM,z,ConditionKind.PARAM,z,,assert (args[2] == null) == false;,AssertionRelation.UNEXPECTED,
PolynomialFunctionNewtonForm,evaluate(a c z),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null || args[1]==null;,,AssertionRelation.MISSING,
PolynomialFunctionNewtonForm,evaluate(a c z),ConditionKind.THROWS,NoDataException,ConditionKind.THROWS,NoDataException,assert args[0]!=null && args[0].length==0 || args[1]!=null && args[1].length==0;,assert !args[0].isEmpty() && !args[1].isEmpty();,AssertionRelation.INCOMPARABLE,
PolynomialFunctionNewtonForm,evaluate(a c z),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert ((args[0].lenght - args[1].length)==1) == false;,,AssertionRelation.MISSING,
PolynomialFunctionNewtonForm,evaluate(a c z),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (args[0].length > 0 && args[1].length > 0) ? receiverObjectID.evaluate(args[2]) : null; ,AssertionRelation.UNEXPECTED,
PolynomialFunctionNewtonForm,verifyInputArray(a c),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
PolynomialFunctionNewtonForm,verifyInputArray(a c),ConditionKind.PARAM,c,ConditionKind.PARAM,c,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
PolynomialFunctionNewtonForm,verifyInputArray(a c),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null || args[1]==null;,,AssertionRelation.MISSING,
PolynomialFunctionNewtonForm,verifyInputArray(a c),ConditionKind.THROWS,NoDataException,ConditionKind.THROWS,NoDataException,assert args[0]!=null && args[0].length==0 || args[1]!=null && args[1].length==0;,assert !args[0].isEmpty() && !args[1].isEmpty();,AssertionRelation.INCOMPARABLE,
PolynomialFunctionNewtonForm,verifyInputArray(a c),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert ((args[0].length - args[1].length)==1) == false;,,AssertionRelation.MISSING,
