class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Fraction,Fraction(value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Fraction,Fraction(value),ConditionKind.THROWS,FractionConversionException,ConditionKind.THROWS,FractionConversionException,,assert value != 0;,AssertionRelation.UNEXPECTED,
Fraction,Fraction(value epsilon maxIterations),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Fraction,Fraction(value epsilon maxIterations),ConditionKind.PARAM,epsilon,ConditionKind.PARAM,epsilon,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Fraction,Fraction(value epsilon maxIterations),ConditionKind.PARAM,maxIterations,ConditionKind.PARAM,maxIterations,,assert (args[2] == null) == false;,AssertionRelation.UNEXPECTED,
Fraction,Fraction(value epsilon maxIterations),ConditionKind.THROWS,FractionConversionException,ConditionKind.THROWS,FractionConversionException,,assert maxIterations <= 0;,AssertionRelation.UNEXPECTED,
Fraction,Fraction(value maxDenominator),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Fraction,Fraction(value maxDenominator),ConditionKind.PARAM,maxDenominator,ConditionKind.PARAM,maxDenominator,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Fraction,Fraction(value maxDenominator),ConditionKind.THROWS,FractionConversionException,ConditionKind.THROWS,FractionConversionException,,assert value == 0 || maxDenominator < 1;,AssertionRelation.UNEXPECTED,
Fraction,Fraction(num),ConditionKind.PARAM,num,ConditionKind.PARAM,num,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Fraction,Fraction(num den),ConditionKind.PARAM,num,ConditionKind.PARAM,num,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Fraction,Fraction(num den),ConditionKind.PARAM,den,ConditionKind.PARAM,den,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Fraction,Fraction(num den),ConditionKind.THROWS,MathArithmeticException,ConditionKind.THROWS,MathArithmeticException,assert args[1]==0;,assert args[1] == 0;,AssertionRelation.IDENTICAL,
