class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Interval,org.apache.commons.math3.geometry.euclidean.oned.Interval(lower upper),ConditionKind.PARAM,lower,ConditionKind.PARAM,lower,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Interval,org.apache.commons.math3.geometry.euclidean.oned.Interval(lower upper),ConditionKind.PARAM,upper,ConditionKind.PARAM,upper,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Interval,getInf(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getInf();,AssertionRelation.UNEXPECTED,
Interval,getLower(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getLower();,AssertionRelation.UNEXPECTED,
Interval,getSup(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getSup();,AssertionRelation.UNEXPECTED,
Interval,getUpper(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getUpper();,AssertionRelation.UNEXPECTED,
Interval,getSize(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getSize();,AssertionRelation.UNEXPECTED,
Interval,getLength(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getInf() - receiverObjectID.getLower();,AssertionRelation.UNEXPECTED,
Interval,getBarycenter(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getInf() + receiverObjectID.getLower() + receiverObjectID.getSup() + receiverObjectID.getUpper();,AssertionRelation.UNEXPECTED,
Interval,getMidPoint(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getMidPoint();,AssertionRelation.UNEXPECTED,
Interval,checkPoint(point tolerance),ConditionKind.PARAM,point,ConditionKind.PARAM,point,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Interval,checkPoint(point tolerance),ConditionKind.PARAM,tolerance,ConditionKind.PARAM,tolerance,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Interval,checkPoint(point tolerance),ConditionKind.RETURN,,ConditionKind.RETURN,,assert methodResultID.equals(Location.INSIDE) || methodResultID.equals(Location.OUTSIDE) || methodResultID.equals(Location.BOUNDARY);,assert methodResultID == (args[0] <= receiverObjectID.getLower() || args[0] >= receiverObjectID.getSup());,AssertionRelation.UNSUPPORTED,Variable 'methodResultID' used as both Type.REF and Type.BOOL
