class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Line,Line(p1 p2 tolerance),ConditionKind.PARAM,p1,ConditionKind.PARAM,p1,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Line,Line(p1 p2 tolerance),ConditionKind.PARAM,p2,ConditionKind.PARAM,p2,,assert args[1] != null && !args[0].equals(args[1]);,AssertionRelation.UNEXPECTED,
Line,Line(p1 p2 tolerance),ConditionKind.PARAM,tolerance,ConditionKind.PARAM,tolerance,,assert args[2] >= 0;,AssertionRelation.UNEXPECTED,
Line,Line(p1 p2 tolerance),ConditionKind.THROWS,MathIllegalArgumentException,ConditionKind.THROWS,MathIllegalArgumentException,assert (args[0]==null)==false && args[0].equals(args[1]);,assert !args[0].equals(args[1]);,AssertionRelation.INCOMPARABLE,
Line,Line(line),ConditionKind.PARAM,line,ConditionKind.PARAM,line,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Line,Line(p1 p2),ConditionKind.PARAM,p1,ConditionKind.PARAM,p1,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Line,Line(p1 p2),ConditionKind.PARAM,p2,ConditionKind.PARAM,p2,,assert args[1] != null && args[0] != args[1];,AssertionRelation.UNEXPECTED,
Line,Line(p1 p2),ConditionKind.THROWS,MathIllegalArgumentException,ConditionKind.THROWS,MathIllegalArgumentException,assert (args[0]==null)==false && args[0].equals(args[1]);,assert !args[0].equals(args[1]);,AssertionRelation.INCOMPARABLE,
Line,reset(p1 p2),ConditionKind.PARAM,p1,ConditionKind.PARAM,p1,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Line,reset(p1 p2),ConditionKind.PARAM,p2,ConditionKind.PARAM,p2,,assert args[1] != null && !args[0].equals(args[1]);,AssertionRelation.UNEXPECTED,
Line,reset(p1 p2),ConditionKind.THROWS,MathIllegalArgumentException,ConditionKind.THROWS,MathIllegalArgumentException,assert (args[0]==null)==false && args[0].equals(args[1]);,assert !args[0].equals(args[1]);,AssertionRelation.INCOMPARABLE,
Line,getTolerance(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getTolerance();,AssertionRelation.UNEXPECTED,
Line,revert(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof Line; ,AssertionRelation.UNEXPECTED,
Line,getDirection(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof Vector3D;,AssertionRelation.UNEXPECTED,
Line,getOrigin(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getOrigin();,AssertionRelation.UNEXPECTED,
Line,getAbscissa(point),ConditionKind.PARAM,point,ConditionKind.PARAM,point,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Line,getAbscissa(point),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getAbscissa(args[0]);,AssertionRelation.UNEXPECTED,
Line,pointAt(abscissa),ConditionKind.PARAM,abscissa,ConditionKind.PARAM,abscissa,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Line,pointAt(abscissa),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.pointAt(args[0]);,AssertionRelation.UNEXPECTED,
Line,toSubSpace(vector),ConditionKind.PARAM,vector,ConditionKind.PARAM,vector,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Line,toSubSpace(vector),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID.equals(receiverObjectID.toSubSpace(args[0]));,AssertionRelation.UNEXPECTED,
Line,toSpace(vector),ConditionKind.PARAM,vector,ConditionKind.PARAM,vector,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
