class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Vector3D,Vector3D(x y z),ConditionKind.PARAM,x,ConditionKind.PARAM,x,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Vector3D,Vector3D(x y z),ConditionKind.PARAM,y,ConditionKind.PARAM,y,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Vector3D,Vector3D(x y z),ConditionKind.PARAM,z,ConditionKind.PARAM,z,,assert (args[2] == null) == false;,AssertionRelation.UNEXPECTED,
Vector3D,Vector3D(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Vector3D,Vector3D(v),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert (args[0].length==3)==false;,assert args[0].length != 3;,AssertionRelation.EQUIVALENT,
Vector3D,Vector3D(alpha delta),ConditionKind.PARAM,alpha,ConditionKind.PARAM,alpha,,assert args[0] >= 0 && args[0] <= Math.PI * 3 / 2;,AssertionRelation.UNEXPECTED,
Vector3D,Vector3D(alpha delta),ConditionKind.PARAM,delta,ConditionKind.PARAM,delta,,assert args[1] >= -Math.PI / 2 && args[1] <= Math.PI / 2;,AssertionRelation.UNEXPECTED,
Vector3D,Vector3D(a u),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Vector3D,Vector3D(a u),ConditionKind.PARAM,u,ConditionKind.PARAM,u,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Vector3D,Vector3D(a1 u1 a2 u2),ConditionKind.PARAM,a1,ConditionKind.PARAM,a1,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Vector3D,Vector3D(a1 u1 a2 u2),ConditionKind.PARAM,u1,ConditionKind.PARAM,u1,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Vector3D,Vector3D(a1 u1 a2 u2),ConditionKind.PARAM,a2,ConditionKind.PARAM,a2,,assert (args[2] == null) == false;,AssertionRelation.UNEXPECTED,
Vector3D,Vector3D(a1 u1 a2 u2),ConditionKind.PARAM,u2,ConditionKind.PARAM,u2,,assert (args[3] == null) == false;,AssertionRelation.UNEXPECTED,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3),ConditionKind.PARAM,a1,ConditionKind.PARAM,a1,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3),ConditionKind.PARAM,u1,ConditionKind.PARAM,u1,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3),ConditionKind.PARAM,a2,ConditionKind.PARAM,a2,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3),ConditionKind.PARAM,u2,ConditionKind.PARAM,u2,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3),ConditionKind.PARAM,a3,ConditionKind.PARAM,a3,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3),ConditionKind.PARAM,u3,ConditionKind.PARAM,u3,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3 a4 u4),ConditionKind.PARAM,a1,ConditionKind.PARAM,a1,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3 a4 u4),ConditionKind.PARAM,u1,ConditionKind.PARAM,u1,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3 a4 u4),ConditionKind.PARAM,a2,ConditionKind.PARAM,a2,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3 a4 u4),ConditionKind.PARAM,u2,ConditionKind.PARAM,u2,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3 a4 u4),ConditionKind.PARAM,a3,ConditionKind.PARAM,a3,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3 a4 u4),ConditionKind.PARAM,u3,ConditionKind.PARAM,u3,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3 a4 u4),ConditionKind.PARAM,a4,ConditionKind.PARAM,a4,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3 a4 u4),ConditionKind.PARAM,u4,ConditionKind.PARAM,u4,,,AssertionRelation.EMPTY,
Vector3D,getX(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getX();,AssertionRelation.UNEXPECTED,
Vector3D,getY(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getY();,AssertionRelation.UNEXPECTED,
Vector3D,getZ(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getZ();,AssertionRelation.UNEXPECTED,
