class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Region,buildNew(newTree),ConditionKind.PARAM,newTree,ConditionKind.PARAM,newTree,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Region,buildNew(newTree),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.buildNew(args[0]);,AssertionRelation.UNEXPECTED,
Region,copySelf(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof Region;,AssertionRelation.UNEXPECTED,
Region,isEmpty(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.isEmpty();,AssertionRelation.UNEXPECTED,
Region,isEmpty(node),ConditionKind.PARAM,node,ConditionKind.PARAM,node,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Region,isEmpty(node),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.isEmpty(args[0]);,AssertionRelation.UNEXPECTED,
Region,isFull(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.isFull();,AssertionRelation.UNEXPECTED,
Region,isFull(node),ConditionKind.PARAM,node,ConditionKind.PARAM,node,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Region,isFull(node),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.isFull(args[0]);,AssertionRelation.UNEXPECTED,
Region,contains(region),ConditionKind.PARAM,region,ConditionKind.PARAM,region,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Region,contains(region),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.contains(args[0]);,AssertionRelation.UNEXPECTED,
Region,checkPoint(point),ConditionKind.PARAM,point,ConditionKind.PARAM,point,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Region,checkPoint(point),ConditionKind.RETURN,,ConditionKind.RETURN,,assert methodResultID.equals(Location.INSIDE) || methodResultID.equals(Location.OUTSIDE) || methodResultID.equals(Location.BOUNDARY);,assert methodResultID == receiverObjectID.checkPoint(args[0]);,AssertionRelation.UNSUPPORTED,Variable 'methodResultID' used as both Type.REF and Type.INT
Region,projectToBoundary(point),ConditionKind.PARAM,point,ConditionKind.PARAM,point,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Region,projectToBoundary(point),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.projectToBoundary(args[0]);,AssertionRelation.UNEXPECTED,
Region,getTree(includeBoundaryAttributes),ConditionKind.PARAM,includeBoundaryAttributes,ConditionKind.PARAM,includeBoundaryAttributes,,,AssertionRelation.EMPTY,
Region,getTree(includeBoundaryAttributes),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert result == getTree(args[0]);,AssertionRelation.UNEXPECTED,
Region,getBoundarySize(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getBoundarySize();,AssertionRelation.UNEXPECTED,
Region,getSize(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getSize();,AssertionRelation.UNEXPECTED,
Region,getBarycenter(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof receiverObjectID.Point;,AssertionRelation.UNEXPECTED,
Region,side(hyperplane),ConditionKind.PARAM,hyperplane,ConditionKind.PARAM,hyperplane,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Region,side(hyperplane),ConditionKind.RETURN,,ConditionKind.RETURN,,assert methodResultID.equals(Side.PLUS) || methodResultID.equals(Side.MINUS) || methodResultID.equals(Side.BOTH) || methodResultID.equals(Side.HYPER);,assert methodResultID == (args[0] == Side.PLUS || args[0] == Side.MINUS || args[0] == Side.BOTH || receiverObjectID.containsOnlyOneCutHyperplane());,AssertionRelation.UNSUPPORTED,Variable 'methodResultID' used as both Type.REF and Type.BOOL
Region,intersection(sub),ConditionKind.PARAM,sub,ConditionKind.PARAM,sub,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Region,intersection(sub),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.isEmpty() || !receiverObjectID.contains(args[0]);,AssertionRelation.UNEXPECTED,
