class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
S2Point,S2Point(theta phi),ConditionKind.PARAM,theta,ConditionKind.PARAM,theta,,,AssertionRelation.EMPTY,
S2Point,S2Point(theta phi),ConditionKind.PARAM,phi,ConditionKind.PARAM,phi,,,AssertionRelation.EMPTY,
S2Point,S2Point(theta phi),ConditionKind.THROWS,OutOfRangeException,ConditionKind.THROWS,OutOfRangeException,,assert args[1] < 0 || args[1] > Math.PI;,AssertionRelation.UNEXPECTED,
S2Point,S2Point(vector),ConditionKind.PARAM,vector,ConditionKind.PARAM,vector,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
S2Point,S2Point(vector),ConditionKind.THROWS,MathArithmeticException,ConditionKind.THROWS,MathArithmeticException,assert args[0].getNorm()==0;,assert args[0].getNorm() == 0;,AssertionRelation.IDENTICAL,
S2Point,getTheta(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
S2Point,getPhi(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getPhi();,AssertionRelation.UNEXPECTED,
S2Point,getVector(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null; ,AssertionRelation.UNEXPECTED,
S2Point,negate(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof S2Point; ,AssertionRelation.UNEXPECTED,
S2Point,distance(p1 p2),ConditionKind.PARAM,p1,ConditionKind.PARAM,p1,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
S2Point,distance(p1 p2),ConditionKind.PARAM,p2,ConditionKind.PARAM,p2,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
S2Point,distance(p1 p2),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.distance(args[0], args[1]);",AssertionRelation.UNEXPECTED,
S2Point,equals(other),ConditionKind.PARAM,other,ConditionKind.PARAM,other,,assert (args[0] == null) || (args[0].getClass() != S2Point.class) || !equals(args[0]);,AssertionRelation.UNEXPECTED,
S2Point,equals(other),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (args[0] != null && args[0].getClass() == receiverObjectID.getClass() && !receiverObjectID.isNaN() && receiverObjectID.getTheta() == ((S2Point)args[0]).getTheta() && receiverObjectID.getPhi() == ((S2Point)args[0]).getPhi());,AssertionRelation.UNEXPECTED,
S2Point,hashCode(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.hashCode();,AssertionRelation.UNEXPECTED,
