class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
PreconditionedIterativeLinearSolver,org.apache.commons.math3.linear.PreconditionedIterativeLinearSolver(maxIterations),ConditionKind.PARAM,maxIterations,ConditionKind.PARAM,maxIterations,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
PreconditionedIterativeLinearSolver,org.apache.commons.math3.linear.PreconditionedIterativeLinearSolver(manager),ConditionKind.PARAM,manager,ConditionKind.PARAM,manager,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
PreconditionedIterativeLinearSolver,org.apache.commons.math3.linear.PreconditionedIterativeLinearSolver(manager),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
PreconditionedIterativeLinearSolver,solve(a m b x0),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
PreconditionedIterativeLinearSolver,solve(a m b x0),ConditionKind.PARAM,m,ConditionKind.PARAM,m,,assert args[1] == null || args[1] != null;,AssertionRelation.UNEXPECTED,
PreconditionedIterativeLinearSolver,solve(a m b x0),ConditionKind.PARAM,b,ConditionKind.PARAM,b,,assert args[2] != null;,AssertionRelation.UNEXPECTED,
PreconditionedIterativeLinearSolver,solve(a m b x0),ConditionKind.PARAM,x0,ConditionKind.PARAM,x0,,assert args[3] != null;,AssertionRelation.UNEXPECTED,
PreconditionedIterativeLinearSolver,solve(a m b x0),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null || args[1]==null || args[2]==null || args[3]==null;,,AssertionRelation.MISSING,
PreconditionedIterativeLinearSolver,solve(a m b x0),ConditionKind.THROWS,NonSquareOperatorException,ConditionKind.THROWS,NonSquareOperatorException,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,solve(a m b x0),ConditionKind.THROWS,MatrixDimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,solve(a m b x0),ConditionKind.THROWS,MaxCountExceededException,ConditionKind.THROWS,MaxCountExceededException,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,solve(a m b x0),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert !args[0].containsEdge(args[1], args[2]);",AssertionRelation.UNEXPECTED,
PreconditionedIterativeLinearSolver,checkParameters(a m b x0),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
