class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
SimpleValueChecker,org.apache.commons.math3.optimization.SimpleValueChecker(relativeThreshold absoluteThreshold),ConditionKind.PARAM,relativeThreshold,ConditionKind.PARAM,relativeThreshold,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
SimpleValueChecker,org.apache.commons.math3.optimization.SimpleValueChecker(relativeThreshold absoluteThreshold),ConditionKind.PARAM,absoluteThreshold,ConditionKind.PARAM,absoluteThreshold,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
SimpleValueChecker,org.apache.commons.math3.optimization.SimpleValueChecker(relativeThreshold absoluteThreshold maxIter),ConditionKind.PARAM,relativeThreshold,ConditionKind.PARAM,relativeThreshold,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
SimpleValueChecker,org.apache.commons.math3.optimization.SimpleValueChecker(relativeThreshold absoluteThreshold maxIter),ConditionKind.PARAM,absoluteThreshold,ConditionKind.PARAM,absoluteThreshold,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
SimpleValueChecker,org.apache.commons.math3.optimization.SimpleValueChecker(relativeThreshold absoluteThreshold maxIter),ConditionKind.PARAM,maxIter,ConditionKind.PARAM,maxIter,,assert (args[2] <= 0) == false;,AssertionRelation.UNEXPECTED,
SimpleValueChecker,org.apache.commons.math3.optimization.SimpleValueChecker(relativeThreshold absoluteThreshold maxIter),ConditionKind.THROWS,NotStrictlyPositiveException,ConditionKind.THROWS,NotStrictlyPositiveException,assert args[2]<=0;,assert args[2] > 0;,AssertionRelation.DUAL,
SimpleValueChecker,converged(iteration previous current),ConditionKind.PARAM,iteration,ConditionKind.PARAM,iteration,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
SimpleValueChecker,converged(iteration previous current),ConditionKind.PARAM,previous,ConditionKind.PARAM,previous,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
SimpleValueChecker,converged(iteration previous current),ConditionKind.PARAM,current,ConditionKind.PARAM,current,,assert args[2] != null;,AssertionRelation.UNEXPECTED,
SimpleValueChecker,converged(iteration previous current),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.converged(args[0], args[1], args[2]);",AssertionRelation.UNEXPECTED,
