class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
ArithmeticUtils,addAndCheck(x y),ConditionKind.PARAM,x,ConditionKind.PARAM,x,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
ArithmeticUtils,addAndCheck(x y),ConditionKind.PARAM,y,ConditionKind.PARAM,y,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
ArithmeticUtils,addAndCheck(x y),ConditionKind.THROWS,MathArithmeticException,ConditionKind.THROWS,MathArithmeticException,,assert (args[0] + args[1]) > Integer.MAX_VALUE || (args[0] + args[1]) < Integer.MIN_VALUE;,AssertionRelation.UNEXPECTED,
ArithmeticUtils,addAndCheck(x y),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID==args[0]+args[1];,assert methodResultID == (args[0] + args[1]);,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
ArithmeticUtils,addAndCheck(a b),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
ArithmeticUtils,addAndCheck(a b),ConditionKind.PARAM,b,ConditionKind.PARAM,b,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
ArithmeticUtils,addAndCheck(a b),ConditionKind.THROWS,MathArithmeticException,ConditionKind.THROWS,MathArithmeticException,,assert (args[0] + args[1]) > Long.MAX_VALUE || (args[0] + args[1]) < Long.MIN_VALUE;,AssertionRelation.UNEXPECTED,
ArithmeticUtils,addAndCheck(a b),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID==args[0]+args[1];,assert methodResultID == (args[0] + args[1]);,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
ArithmeticUtils,binomialCoefficient(n k),ConditionKind.PARAM,n,ConditionKind.PARAM,n,,assert 0 <= args[0] && args[0] >= args[1];,AssertionRelation.UNEXPECTED,
ArithmeticUtils,binomialCoefficient(n k),ConditionKind.PARAM,k,ConditionKind.PARAM,k,,assert args[1] <= args[0];,AssertionRelation.UNEXPECTED,
ArithmeticUtils,binomialCoefficient(n k),ConditionKind.THROWS,NotPositiveException,ConditionKind.THROWS,NotPositiveException,assert args[0]<0;,,AssertionRelation.MISSING,
ArithmeticUtils,binomialCoefficient(n k),ConditionKind.THROWS,NumberIsTooLargeException,ConditionKind.THROWS,NumberIsTooLargeException,assert args[1]>args[0];,,AssertionRelation.MISSING,
ArithmeticUtils,binomialCoefficient(n k),ConditionKind.THROWS,MathArithmeticException,ConditionKind.THROWS,MathArithmeticException,,"assert receiverObjectID.binomialCoefficient(args[0], args[1]) <= Long.MAX_VALUE;",AssertionRelation.UNEXPECTED,
