class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
BuildingType,net.sf.freecol.common.model.BuildingType(id specification),ConditionKind.PARAM,id,ConditionKind.PARAM,id,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
BuildingType,net.sf.freecol.common.model.BuildingType(id specification),ConditionKind.PARAM,specification,ConditionKind.PARAM,specification,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
BuildingType,getLevel(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getLevel();,AssertionRelation.UNEXPECTED,
BuildingType,getWorkPlaces(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getWorkPlaces();,AssertionRelation.UNEXPECTED,
BuildingType,getUpkeep(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getUpkeep();,AssertionRelation.UNEXPECTED,
BuildingType,getPriority(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == args[0];,AssertionRelation.UNEXPECTED,
BuildingType,getNoAddReason(unitType),ConditionKind.PARAM,unitType,ConditionKind.PARAM,unitType,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
BuildingType,getNoAddReason(unitType),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getNoAddReason(args[0]);,AssertionRelation.UNEXPECTED,
BuildingType,canAdd(unitType),ConditionKind.PARAM,unitType,ConditionKind.PARAM,unitType,,assert args[0] == null == false;,AssertionRelation.UNEXPECTED,
BuildingType,canAdd(unitType),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.canAdd(args[0]);,AssertionRelation.UNEXPECTED,
BuildingType,getType(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID==receiverObjectID;,assert methodResultID == receiverObjectID;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
BuildingType,getUpgradesFrom(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getType();,AssertionRelation.UNEXPECTED,
BuildingType,getUpgradesTo(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getUpgradesTo();,AssertionRelation.UNEXPECTED,
BuildingType,getFirstLevel(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getFirstLevel();,AssertionRelation.UNEXPECTED,
BuildingType,isAutomaticBuild(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.isAutomaticBuild();,AssertionRelation.UNEXPECTED,
BuildingType,addProductionType(productionType),ConditionKind.PARAM,productionType,ConditionKind.PARAM,productionType,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
BuildingType,getAvailableProductionTypes(unattended),ConditionKind.PARAM,unattended,ConditionKind.PARAM,unattended,,assert (args[0]) == false;,AssertionRelation.UNEXPECTED,
