class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Feature,copyFrom(other),ConditionKind.PARAM,other,ConditionKind.PARAM,other,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Feature,hasTimeLimit(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.hasTimeLimit();,AssertionRelation.UNEXPECTED,
Feature,getFirstTurn(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getFirstTurn();,AssertionRelation.UNEXPECTED,
Feature,setFirstTurn(newFirstTurn),ConditionKind.PARAM,newFirstTurn,ConditionKind.PARAM,newFirstTurn,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Feature,getLastTurn(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getLastTurn();,AssertionRelation.UNEXPECTED,
Feature,setLastTurn(newLastTurn),ConditionKind.PARAM,newLastTurn,ConditionKind.PARAM,newLastTurn,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Feature,hasScope(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.hasScope();,AssertionRelation.UNEXPECTED,
Feature,getScopes(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof java.util.List;,AssertionRelation.UNEXPECTED,
Feature,setScopes(scopes),ConditionKind.PARAM,scopes,ConditionKind.PARAM,scopes,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Feature,addScope(scope),ConditionKind.PARAM,scope,ConditionKind.PARAM,scope,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Feature,getSource(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof FreeColObject;,AssertionRelation.UNEXPECTED,
Feature,setSource(newSource),ConditionKind.PARAM,newSource,ConditionKind.PARAM,newSource,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Feature,getDuration(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getDuration();,AssertionRelation.UNEXPECTED,
Feature,setDuration(newDuration),ConditionKind.PARAM,newDuration,ConditionKind.PARAM,newDuration,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Feature,setTemporary(newTemporary),ConditionKind.PARAM,newTemporary,ConditionKind.PARAM,newTemporary,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Feature,appliesTo(objectType),ConditionKind.PARAM,objectType,ConditionKind.PARAM,objectType,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Feature,appliesTo(objectType),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.hasScope() || !receiverObjectID.getScopes().isEmpty();,AssertionRelation.UNEXPECTED,
Feature,appliesTo(turn),ConditionKind.PARAM,turn,ConditionKind.PARAM,turn,,assert (args[0] == null) || !receiverObjectID.isOutOfDate(args[0]);,AssertionRelation.UNEXPECTED,
Feature,appliesTo(turn),ConditionKind.RETURN,,ConditionKind.RETURN,,assert args[0]==null ? methodResultID == true : methodResultID==false;,assert methodResultID == (args[0] != null || !receiverObjectID.hasTimeLimit());,AssertionRelation.INCOMPARABLE,
Feature,appliesTo(objectType turn),ConditionKind.PARAM,objectType,ConditionKind.PARAM,objectType,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Feature,appliesTo(objectType turn),ConditionKind.PARAM,turn,ConditionKind.PARAM,turn,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Feature,appliesTo(objectType turn),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.appliesTo(args[0], args[1]);",AssertionRelation.UNEXPECTED,
Feature,isOutOfDate(turn),ConditionKind.PARAM,turn,ConditionKind.PARAM,turn,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Feature,isOutOfDate(turn),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.isOutOfDate(args[0]);,AssertionRelation.UNEXPECTED,
Feature,isIndependent(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == true;,AssertionRelation.UNEXPECTED,
