class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
IndianNationType,net.sf.freecol.common.model.IndianNationType(id specification),ConditionKind.PARAM,id,ConditionKind.PARAM,id,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
IndianNationType,net.sf.freecol.common.model.IndianNationType(id specification),ConditionKind.PARAM,specification,ConditionKind.PARAM,specification,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
IndianNationType,isEuropean(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID==false;,assert !methodResultID;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
IndianNationType,isIndian(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID==true;,assert methodResultID == true;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
IndianNationType,isREF(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID==false;,assert !methodResultID;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
IndianNationType,getSettlementTypeKey(plural),ConditionKind.PARAM,plural,ConditionKind.PARAM,plural,,assert (args[0] == false) == false;,AssertionRelation.UNEXPECTED,
IndianNationType,getSettlementTypeKey(plural),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == (args[0] ? receiverObjectID.isEuropean() ? ""EUROPEAN"" : receiverObjectID.isIndian() ? ""INDIAN"" : ""REF"" : ""SINGLE"");",AssertionRelation.UNEXPECTED,
IndianNationType,getRegionNames(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof java.util.List;,AssertionRelation.UNEXPECTED,
IndianNationType,getSkills(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof java.util.List;,AssertionRelation.UNEXPECTED,
IndianNationType,generateSkillsForTile(tile),ConditionKind.PARAM,tile,ConditionKind.PARAM,tile,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
IndianNationType,generateSkillsForTile(tile),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof java.util.List;,AssertionRelation.UNEXPECTED,
IndianNationType,getXMLElementTagName(),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID.equals(""indian-nation-type"");",AssertionRelation.UNEXPECTED,
