class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Environment,getGlobalEnvironment(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID==receiverObjectID.GLOBAL_ENV;,assert methodResultID == receiverObjectID.getGlobalEnvironment();,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
Environment,isLocked(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.isLocked();,AssertionRelation.UNEXPECTED,
Environment,getParameter(parameter),ConditionKind.PARAM,parameter,ConditionKind.PARAM,parameter,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Environment,getParameter(parameter),ConditionKind.RETURN,,ConditionKind.RETURN,,"assert !receiverObjectID.hasParameter(args[0]) ? methodResultID.equals("""");",assert methodResultID.equals(receiverObjectID.getParameter(args[0]));,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
Environment,hasParameter(parameter),ConditionKind.PARAM,parameter,ConditionKind.PARAM,parameter,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Environment,hasParameter(parameter),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.hasParameter(args[0]);,AssertionRelation.UNEXPECTED,
Environment,getBooleanParameter(parameter),ConditionKind.PARAM,parameter,ConditionKind.PARAM,parameter,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Environment,getBooleanParameter(parameter),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getBooleanParameter(args[0]).booleanValue();,AssertionRelation.UNEXPECTED,
Environment,getBooleanParameteri(parameter),ConditionKind.PARAM,parameter,ConditionKind.PARAM,parameter,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Environment,getBooleanParameteri(parameter),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == (args[0].equals(""1"") || args[0].equals(""true"") || args[0].equals(""on"") || args[0].equals(""yes"")) ? 1 : (args[0] != null) ? 0 : -1;",AssertionRelation.UNEXPECTED,
Environment,getNumberParameter(parameter),ConditionKind.PARAM,parameter,ConditionKind.PARAM,parameter,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Environment,getNumberParameter(parameter),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Environment,getParameterCount(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getParameterCount();,AssertionRelation.UNEXPECTED,
Environment,getParametersKeySet(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getParameterCount() > 0;,AssertionRelation.UNEXPECTED,
Environment,clone(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof receiverObjectID.Environment;,AssertionRelation.UNEXPECTED,
Environment,setParameter(parameter value),ConditionKind.PARAM,parameter,ConditionKind.PARAM,parameter,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Environment,setParameter(parameter value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Environment,lockEnvironment(on),ConditionKind.PARAM,on,ConditionKind.PARAM,on,assert receiverObjectID.isLocked();,assert (args[0]) == true;,AssertionRelation.INCOMPARABLE,
Environment,initializeFieldsOf(object),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Environment,initializeFieldsOf(object fieldList),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Environment,initializeFieldsOf(object fieldList),ConditionKind.PARAM,fieldList,ConditionKind.PARAM,fieldList,,"assert (args[1].equals("""")) == false;",AssertionRelation.UNEXPECTED,
Environment,initializeFieldsOf(object fieldList),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Environment,initializeFieldsOf(object fieldList),ConditionKind.PARAM,fieldList,ConditionKind.PARAM,fieldList,,assert (args[1].isEmpty()) == false;,AssertionRelation.UNEXPECTED,
Environment,printParameters(out),ConditionKind.PARAM,out,ConditionKind.PARAM,out,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Environment,readCommandLine(args),ConditionKind.PARAM,args,ConditionKind.PARAM,args,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Environment,readCommandLine(args trashcan),ConditionKind.PARAM,args,ConditionKind.PARAM,args,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Environment,readCommandLine(args trashcan),ConditionKind.PARAM,trashcan,ConditionKind.PARAM,trashcan,,assert receiverObjectID != null;,AssertionRelation.UNEXPECTED,
Environment,writeParameterFile(fileName),ConditionKind.PARAM,fileName,ConditionKind.PARAM,fileName,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Environment,writeParameterFile(fileName),ConditionKind.THROWS,IOException,ConditionKind.THROWS,IOException,,assert fileName == null || !new java.io.FileWriter(fileName).flush();,AssertionRelation.UNEXPECTED,
Environment,readParameterFile(fileName),ConditionKind.PARAM,fileName,ConditionKind.PARAM,fileName,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Environment,readParameterFile(fileName),ConditionKind.THROWS,IOException,ConditionKind.THROWS,IOException,,assert false;,AssertionRelation.UNEXPECTED,
