class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
FixedArrayList,size(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.size();,AssertionRelation.UNEXPECTED,
FixedArrayList,get(i),ConditionKind.PARAM,i,ConditionKind.PARAM,i,,assert (args[0] < 0) == false;,AssertionRelation.UNEXPECTED,
FixedArrayList,get(i),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.get(args[0]);,AssertionRelation.UNEXPECTED,
FixedArrayList,unsafeGet(i),ConditionKind.PARAM,i,ConditionKind.PARAM,i,,assert (args[0] < 0) == false;,AssertionRelation.UNEXPECTED,
FixedArrayList,unsafeGet(i),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.get(args[0]);,AssertionRelation.UNEXPECTED,
FixedArrayList,getLastIndex(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getLastIndex();,AssertionRelation.UNEXPECTED,
FixedArrayList,getNextAddIndex(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.size() - 1;,AssertionRelation.UNEXPECTED,
FixedArrayList,add(element),ConditionKind.PARAM,element,ConditionKind.PARAM,element,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
FixedArrayList,add(element),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
FixedArrayList,add(element),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true? methodResultID==true;,assert methodResultID == true;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
FixedArrayList,remove(i),ConditionKind.PARAM,i,ConditionKind.PARAM,i,,assert (args[0] < 0) == false;,AssertionRelation.UNEXPECTED,
FixedArrayList,remove(i),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.remove(args[0]);,AssertionRelation.UNEXPECTED,
FixedArrayList,remove(e),ConditionKind.PARAM,e,ConditionKind.PARAM,e,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
FixedArrayList,remove(e),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.contains(args[0]);,AssertionRelation.UNEXPECTED,
