class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
CharMatcher,inRange(startInclusive endInclusive),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<args[0];,assert args[0] >= args[1];,AssertionRelation.STRONGER,
CharMatcher,matchesAnyOf(sequence),ConditionKind.PARAM,sequence,ConditionKind.PARAM,sequence,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
CharMatcher,matchesAnyOf(sequence),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !receiverObjectID.matchesNoneOf(args[0]);,AssertionRelation.UNEXPECTED,
CharMatcher,matchesAllOf(sequence),ConditionKind.PARAM,sequence,ConditionKind.PARAM,sequence,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
CharMatcher,matchesAllOf(sequence),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.matchesAllOf(args[0]);,AssertionRelation.UNEXPECTED,
CharMatcher,matchesNoneOf(sequence),ConditionKind.PARAM,sequence,ConditionKind.PARAM,sequence,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
CharMatcher,matchesNoneOf(sequence),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !receiverObjectID.matchesAllOf(args[0]);,AssertionRelation.UNEXPECTED,
CharMatcher,indexIn(sequence),ConditionKind.PARAM,sequence,ConditionKind.PARAM,sequence,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
CharMatcher,indexIn(sequence),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (receiverObjectID.matchesAllOf(args[0]) ? args[0].length() : -1);,AssertionRelation.UNEXPECTED,
CharMatcher,indexIn(sequence start),ConditionKind.PARAM,sequence,ConditionKind.PARAM,sequence,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
CharMatcher,indexIn(sequence start),ConditionKind.PARAM,start,ConditionKind.PARAM,start,assert (args[0]<0) == false && args[1]!=null && (args[0]>args[1].length()) == false;,assert (args[1] < 0 || args[1] > ((CharSequence)args[0]).length()) == false;,AssertionRelation.UNSUPPORTED,Variable 'args[1]' used as both Type.REF and Type.INT
CharMatcher,indexIn(sequence start),ConditionKind.THROWS,IndexOutOfBoundsException,ConditionKind.THROWS,IndexOutOfBoundsException,assert args[1]<0 || args[0]!=null && args[1]>args[0].length();,assert start < 0 || start > ((CharSequence)args[0]).length();,AssertionRelation.INCOMPARABLE,
CharMatcher,indexIn(sequence start),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.indexIn(args[0], args[1]);",AssertionRelation.UNEXPECTED,
CharMatcher,lastIndexIn(sequence),ConditionKind.PARAM,sequence,ConditionKind.PARAM,sequence,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
CharMatcher,lastIndexIn(sequence),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == -1 || receiverObjectID.matchesAllOf(args[0]);,AssertionRelation.UNEXPECTED,
CharMatcher,replaceFrom(sequence replacement),ConditionKind.PARAM,sequence,ConditionKind.PARAM,sequence,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
CharMatcher,replaceFrom(sequence replacement),ConditionKind.PARAM,replacement,ConditionKind.PARAM,replacement,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
CharMatcher,replaceFrom(sequence replacement),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID.equals(receiverObjectID.replaceFrom(args[0], args[1]));",AssertionRelation.UNEXPECTED,
CharMatcher,replaceFrom(sequence replacement),ConditionKind.PARAM,sequence,ConditionKind.PARAM,sequence,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
CharMatcher,replaceFrom(sequence replacement),ConditionKind.PARAM,replacement,ConditionKind.PARAM,replacement,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
CharMatcher,replaceFrom(sequence replacement),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID.equals(receiverObjectID.replaceFrom(args[0], args[1]));",AssertionRelation.UNEXPECTED,
CharMatcher,collapseFrom(sequence replacement),ConditionKind.PARAM,sequence,ConditionKind.PARAM,sequence,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
CharMatcher,collapseFrom(sequence replacement),ConditionKind.PARAM,replacement,ConditionKind.PARAM,replacement,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
CharMatcher,collapseFrom(sequence replacement),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.replaceFrom(args[0], args[1]);",AssertionRelation.UNEXPECTED,
