class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Splitter,on(separator),ConditionKind.PARAM,separator,ConditionKind.PARAM,separator,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Splitter,on(separator),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.on(args[0]);,AssertionRelation.UNEXPECTED,
Splitter,on(separatorMatcher),ConditionKind.PARAM,separatorMatcher,ConditionKind.PARAM,separatorMatcher,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Splitter,on(separatorMatcher),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.split(args[0]).size() > 1;,AssertionRelation.UNEXPECTED,
Splitter,on(separator),ConditionKind.PARAM,separator,ConditionKind.PARAM,separator,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
Splitter,on(separator),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !methodResultID.split(args[0]).isEmpty();,AssertionRelation.UNEXPECTED,
Splitter,on(separatorPattern),ConditionKind.PARAM,separatorPattern,ConditionKind.PARAM,separatorPattern,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Splitter,on(separatorPattern),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,,AssertionRelation.EMPTY,
Splitter,on(separatorPattern),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !methodResultID.matches(args[0].toString());,AssertionRelation.UNEXPECTED,
Splitter,onPattern(separatorPattern),ConditionKind.PARAM,separatorPattern,ConditionKind.PARAM,separatorPattern,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Splitter,onPattern(separatorPattern),ConditionKind.THROWS,PatternSyntaxException,ConditionKind.THROWS,java.util.regex.PatternSyntaxException,,,AssertionRelation.EMPTY,
Splitter,onPattern(separatorPattern),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,,AssertionRelation.EMPTY,
Splitter,onPattern(separatorPattern),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == !Pattern.matches(args[0], """");",AssertionRelation.UNEXPECTED,
Splitter,fixedLength(length),ConditionKind.PARAM,length,ConditionKind.PARAM,length,assert args[0]>0;,assert (args[0] < 0) == false;,AssertionRelation.STRONGER,
Splitter,fixedLength(length),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]==0 || args[0]<0;,assert args[0] <= 0;,AssertionRelation.EQUIVALENT,
Splitter,fixedLength(length),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !args[0] <= 0; ,AssertionRelation.UNEXPECTED,
Splitter,omitEmptyStrings(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.split(null).isEmpty();,AssertionRelation.UNEXPECTED,
Splitter,limit(limit),ConditionKind.PARAM,limit,ConditionKind.PARAM,limit,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Splitter,limit(limit),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Splitter,trimResults(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.trimResults();,AssertionRelation.UNEXPECTED,
Splitter,trimResults(trimmer),ConditionKind.PARAM,trimmer,ConditionKind.PARAM,trimmer,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Splitter,trimResults(trimmer),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.trimResults(args[0]);,AssertionRelation.UNEXPECTED,
Splitter,split(sequence),ConditionKind.PARAM,sequence,ConditionKind.PARAM,sequence,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Splitter,split(sequence),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof java.lang.Iterable;,AssertionRelation.UNEXPECTED,
Splitter,splitToList(sequence),ConditionKind.PARAM,sequence,ConditionKind.PARAM,sequence,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Splitter,splitToList(sequence),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.split(args[0]).size() > 0;,AssertionRelation.UNEXPECTED,
