class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Verify,verify(expression),ConditionKind.THROWS,VerifyException,ConditionKind.THROWS,VerifyException,assert args[0]==false;,assert !args[0];,AssertionRelation.EQUIVALENT,
Verify,verify(expression errorMessageTemplate errorMessageArgs),ConditionKind.PARAM,expression,ConditionKind.PARAM,expression,,assert (args[0] == false) == false;,AssertionRelation.UNEXPECTED,
Verify,verify(expression errorMessageTemplate errorMessageArgs),ConditionKind.PARAM,errorMessageTemplate,ConditionKind.PARAM,errorMessageTemplate,,assert receiverObjectID == null;,AssertionRelation.UNEXPECTED,
Verify,verify(expression errorMessageTemplate errorMessageArgs),ConditionKind.PARAM,errorMessageArgs,ConditionKind.PARAM,errorMessageArgs,,assert receiverObjectID == null;,AssertionRelation.UNEXPECTED,
Verify,verify(expression errorMessageTemplate errorMessageArgs),ConditionKind.THROWS,VerifyException,ConditionKind.THROWS,VerifyException,assert args[0]==false;,assert !args[0];,AssertionRelation.EQUIVALENT,
Verify,verifyNotNull(reference),ConditionKind.THROWS,VerifyException,ConditionKind.THROWS,VerifyException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
Verify,verifyNotNull(reference),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID!=null;,assert methodResultID != null;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
Verify,verifyNotNull(reference errorMessageTemplate errorMessageArgs),ConditionKind.PARAM,errorMessageTemplate,ConditionKind.PARAM,errorMessageTemplate,,assert !receiverObjectID.isNull();,AssertionRelation.UNEXPECTED,
Verify,verifyNotNull(reference errorMessageTemplate errorMessageArgs),ConditionKind.PARAM,errorMessageArgs,ConditionKind.PARAM,errorMessageArgs,,assert !receiverObjectID.isNull();,AssertionRelation.UNEXPECTED,
Verify,verifyNotNull(reference errorMessageTemplate errorMessageArgs),ConditionKind.THROWS,VerifyException,ConditionKind.THROWS,VerifyException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
Verify,verifyNotNull(reference errorMessageTemplate errorMessageArgs),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID!=null;,assert methodResultID != null;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
