class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Iterators,removeAll(removeFrom elementsToRemove),ConditionKind.PARAM,removeFrom,ConditionKind.PARAM,removeFrom,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Iterators,removeAll(removeFrom elementsToRemove),ConditionKind.PARAM,elementsToRemove,ConditionKind.PARAM,elementsToRemove,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
Iterators,removeAll(removeFrom elementsToRemove),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.removeAll(args[0], args[1]);",AssertionRelation.UNEXPECTED,
Iterators,removeIf(removeFrom predicate),ConditionKind.PARAM,removeFrom,ConditionKind.PARAM,removeFrom,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Iterators,removeIf(removeFrom predicate),ConditionKind.PARAM,predicate,ConditionKind.PARAM,predicate,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
Iterators,removeIf(removeFrom predicate),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.removeIf(args[0], args[1]);",AssertionRelation.UNEXPECTED,
Iterators,retainAll(removeFrom elementsToRetain),ConditionKind.PARAM,removeFrom,ConditionKind.PARAM,removeFrom,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Iterators,retainAll(removeFrom elementsToRetain),ConditionKind.PARAM,elementsToRetain,ConditionKind.PARAM,elementsToRetain,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
Iterators,retainAll(removeFrom elementsToRetain),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.removeAll(args[0], args[1]);",AssertionRelation.UNEXPECTED,
Iterators,getOnlyElement(iterator),ConditionKind.THROWS,NoSuchElementException,ConditionKind.THROWS,NoSuchElementException,,assert !args[0].hasNext();,AssertionRelation.UNEXPECTED,
Iterators,getOnlyElement(iterator),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert args[0].size() == 1;,AssertionRelation.UNEXPECTED,
Iterators,getOnlyElement(iterator defaultValue),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert !receiverObjectID.size(args[0]) == 1;,AssertionRelation.UNEXPECTED,
Iterators,toArray(iterator type),ConditionKind.PARAM,iterator,ConditionKind.PARAM,iterator,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Iterators,toArray(iterator type),ConditionKind.PARAM,type,ConditionKind.PARAM,type,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Iterators,toArray(iterator type),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.toArray(args[0], args[1]);",AssertionRelation.UNEXPECTED,
Iterators,addAll(addTo iterator),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.addAll(args[0], args[1]);",AssertionRelation.UNEXPECTED,
Iterators,concat(inputs),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,,assert !args[0].isEmpty();,AssertionRelation.UNEXPECTED,
Iterators,partition(iterator size),ConditionKind.PARAM,iterator,ConditionKind.PARAM,iterator,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Iterators,partition(iterator size),ConditionKind.PARAM,size,ConditionKind.PARAM,size,,assert ((int) args[1]) > 0;,AssertionRelation.UNEXPECTED,
Iterators,partition(iterator size),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<=0;,assert args[1] <= 0;,AssertionRelation.IDENTICAL,
Iterators,partition(iterator size),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert ((UnmodifiableIterator)args[0]).size() % args[1] == 0;,AssertionRelation.UNEXPECTED,
Iterators,paddedPartition(iterator size),ConditionKind.PARAM,iterator,ConditionKind.PARAM,iterator,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Iterators,paddedPartition(iterator size),ConditionKind.PARAM,size,ConditionKind.PARAM,size,,assert ((int) args[1]) > 0;,AssertionRelation.UNEXPECTED,
Iterators,paddedPartition(iterator size),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<=0;,assert args[1] <= 0;,AssertionRelation.IDENTICAL,
Iterators,paddedPartition(iterator size),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Iterators,filter(unfiltered type),ConditionKind.PARAM,unfiltered,ConditionKind.PARAM,unfiltered,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Iterators,filter(unfiltered type),ConditionKind.PARAM,type,ConditionKind.PARAM,type,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Iterators,filter(unfiltered type),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.filter(args[0]).getClass().equals(args[1]);,AssertionRelation.UNEXPECTED,
Iterators,find(iterator predicate),ConditionKind.THROWS,NoSuchElementException,ConditionKind.THROWS,NoSuchElementException,,"assert !any(receiverObjectID, args[1]);",AssertionRelation.UNEXPECTED,
Iterators,get(iterator position),ConditionKind.PARAM,position,ConditionKind.PARAM,position,,assert (args[1] < 0 || args[1] >= ((receiverObjectID).size())) == false;,AssertionRelation.UNEXPECTED,
Iterators,get(iterator position),ConditionKind.THROWS,IndexOutOfBoundsException,ConditionKind.THROWS,IndexOutOfBoundsException,assert args[1]<0;,"assert args[0] < 0 || receiverObjectID.size(None, args[1]) <= 0;",AssertionRelation.UNSUPPORTED,Variable 'args[1]' used as both Type.INT and Type.REF
Iterators,get(iterator position),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.get(args[0]);,AssertionRelation.UNEXPECTED,
Iterators,get(iterator position defaultValue),ConditionKind.PARAM,position,ConditionKind.PARAM,position,,assert (args[0] < 0) == false;,AssertionRelation.UNEXPECTED,
Iterators,get(iterator position defaultValue),ConditionKind.PARAM,defaultValue,ConditionKind.PARAM,defaultValue,,assert (args[2] == null) == false;,AssertionRelation.UNEXPECTED,
Iterators,get(iterator position defaultValue),ConditionKind.THROWS,IndexOutOfBoundsException,ConditionKind.THROWS,IndexOutOfBoundsException,assert args[1]<0;,assert args[2] < 0;,AssertionRelation.INCOMPARABLE,
Iterators,get(iterator position defaultValue),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert args[2] == (args[0] < args[1].size() ? args[1].get(args[0]) : args[2]);,AssertionRelation.UNEXPECTED,
Iterators,getNext(iterator defaultValue),ConditionKind.PARAM,defaultValue,ConditionKind.PARAM,defaultValue,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Iterators,getNext(iterator defaultValue),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (receiverObjectID.isEmpty() ? args[1] : receiverObjectID.pollNext());,AssertionRelation.UNEXPECTED,
Iterators,getLast(iterator),ConditionKind.THROWS,NoSuchElementException,ConditionKind.THROWS,NoSuchElementException,,assert !receiverObjectID.hasNext();,AssertionRelation.UNEXPECTED,
Iterators,getLast(iterator),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.pollNext();,AssertionRelation.UNEXPECTED,
Iterators,getLast(iterator defaultValue),ConditionKind.PARAM,defaultValue,ConditionKind.PARAM,defaultValue,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Iterators,getLast(iterator defaultValue),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.getNext(null, args[0]);",AssertionRelation.UNEXPECTED,
Iterators,advance(iterator numberToAdvance),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.advance(args[0], args[1]);",AssertionRelation.UNEXPECTED,
Iterators,limit(iterator limitSize),ConditionKind.PARAM,iterator,ConditionKind.PARAM,iterator,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Iterators,limit(iterator limitSize),ConditionKind.PARAM,limitSize,ConditionKind.PARAM,limitSize,,assert ((int) args[1] < 0) == false;,AssertionRelation.UNEXPECTED,
Iterators,limit(iterator limitSize),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0;,assert args[1] < 0;,AssertionRelation.IDENTICAL,
Iterators,consumingIterator(iterator),ConditionKind.PARAM,iterator,ConditionKind.PARAM,iterator,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Iterators,consumingIterator(iterator),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.removeAll(args[0]);,AssertionRelation.UNEXPECTED,
Iterators,peekingIterator(iterator),ConditionKind.PARAM,iterator,ConditionKind.PARAM,iterator,,,AssertionRelation.EMPTY,
