class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
UnicodeEscaper,escape(cp),ConditionKind.PARAM,cp,ConditionKind.PARAM,cp,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
UnicodeEscaper,escape(cp),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (args[0] >= 0 && args[0] <= Character.MAX_CODE_POINT);,AssertionRelation.UNEXPECTED,
UnicodeEscaper,nextEscapeIndex(csq start end),ConditionKind.PARAM,csq,ConditionKind.PARAM,csq,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
UnicodeEscaper,nextEscapeIndex(csq start end),ConditionKind.PARAM,start,ConditionKind.PARAM,start,,assert 0 <= args[1] && args[1] <= args[2];,AssertionRelation.UNEXPECTED,
UnicodeEscaper,nextEscapeIndex(csq start end),ConditionKind.PARAM,end,ConditionKind.PARAM,end,,assert 0 <= args[2];,AssertionRelation.UNEXPECTED,
UnicodeEscaper,nextEscapeIndex(csq start end),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,"assert !receiverObjectID.codePointAt(args[0], args[1], args[2]) >= 0x10000;",AssertionRelation.UNEXPECTED,
UnicodeEscaper,escape(string),ConditionKind.PARAM,string,ConditionKind.PARAM,string,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
UnicodeEscaper,escape(string),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,,AssertionRelation.MISSING,
UnicodeEscaper,escape(string),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,"assert !receiverObjectID.codePointAt(args[0], 0, args[0].length()).toString().matches(""\\u[0-9a-fA-F]{4}"");",AssertionRelation.UNEXPECTED,
UnicodeEscaper,escape(string),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.escape(args[0]);,AssertionRelation.UNEXPECTED,
UnicodeEscaper,escapeSlow(s index),ConditionKind.PARAM,s,ConditionKind.PARAM,s,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
UnicodeEscaper,escapeSlow(s index),ConditionKind.PARAM,index,ConditionKind.PARAM,index,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
UnicodeEscaper,escapeSlow(s index),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,,AssertionRelation.MISSING,
UnicodeEscaper,escapeSlow(s index),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert !Character.isLowSurrogate(args[0]) && !Character.isHighSurrogate(args[1]);,AssertionRelation.UNEXPECTED,
UnicodeEscaper,escapeSlow(s index),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID.equals(receiverObjectID.escapeSlow(args[0], args[1]));",AssertionRelation.UNEXPECTED,
UnicodeEscaper,codePointAt(seq index end),ConditionKind.PARAM,seq,ConditionKind.PARAM,seq,,assert seq != null;,AssertionRelation.UNEXPECTED,
UnicodeEscaper,codePointAt(seq index end),ConditionKind.PARAM,index,ConditionKind.PARAM,index,,assert 0 <= index && index <= end;,AssertionRelation.UNEXPECTED,
UnicodeEscaper,codePointAt(seq index end),ConditionKind.PARAM,end,ConditionKind.PARAM,end,,assert index >= 0 && end > index;,AssertionRelation.UNEXPECTED,
UnicodeEscaper,codePointAt(seq index end),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert args[2] == seq.codePointAt(args[1], args[2]);",AssertionRelation.UNEXPECTED,
