class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
MathMDE,negate(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
MathMDE,negate(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == -args[0];,AssertionRelation.UNEXPECTED,
MathMDE,negate(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
MathMDE,negate(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == -args[0];,AssertionRelation.UNEXPECTED,
MathMDE,negate(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
MathMDE,negate(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == -args[0];,AssertionRelation.UNEXPECTED,
MathMDE,bitwiseComplement(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
MathMDE,bitwiseComplement(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == ~args[0];,AssertionRelation.UNEXPECTED,
MathMDE,bitwiseComplement(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
MathMDE,bitwiseComplement(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == ~args[0];,AssertionRelation.UNEXPECTED,
MathMDE,mul(x y),ConditionKind.PARAM,x,ConditionKind.PARAM,x,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
MathMDE,mul(x y),ConditionKind.PARAM,y,ConditionKind.PARAM,y,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
MathMDE,mul(x y),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true?methodResultID==args[0]*args[1];,assert methodResultID == args[0] * args[1];,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
MathMDE,mul(x y),ConditionKind.PARAM,x,ConditionKind.PARAM,x,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
MathMDE,mul(x y),ConditionKind.PARAM,y,ConditionKind.PARAM,y,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
MathMDE,mul(x y),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true?methodResultID==args[0]*args[1];,assert methodResultID == args[0] * args[1];,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
MathMDE,mul(x y),ConditionKind.PARAM,x,ConditionKind.PARAM,x,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
MathMDE,mul(x y),ConditionKind.PARAM,y,ConditionKind.PARAM,y,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
MathMDE,mul(x y),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true?methodResultID==args[0]*args[1];,assert methodResultID == args[0] * args[1];,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
MathMDE,div(x y),ConditionKind.PARAM,x,ConditionKind.PARAM,x,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
MathMDE,div(x y),ConditionKind.PARAM,y,ConditionKind.PARAM,y,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
MathMDE,div(x y),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true?methodResultID==args[0]/args[1];,assert methodResultID == args[0] / args[1];,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
MathMDE,div(x y),ConditionKind.PARAM,x,ConditionKind.PARAM,x,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
