class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
TimeLimitProcess,TimeLimitProcess(p timeLimit),ConditionKind.PARAM,p,ConditionKind.PARAM,p,assert args[0]!=null;,assert (args[0] == null) == false;,AssertionRelation.EQUIVALENT,
TimeLimitProcess,TimeLimitProcess(p timeLimit),ConditionKind.PARAM,timeLimit,ConditionKind.PARAM,timeLimit,,assert ((long) args[1]) >= 0;,AssertionRelation.UNEXPECTED,
TimeLimitProcess,TimeLimitProcess(p timeLimit cacheStdout),ConditionKind.PARAM,p,ConditionKind.PARAM,p,assert args[0]!=null;,assert (args[0] == null) == false;,AssertionRelation.EQUIVALENT,
TimeLimitProcess,TimeLimitProcess(p timeLimit cacheStdout),ConditionKind.PARAM,timeLimit,ConditionKind.PARAM,timeLimit,,assert ((long) args[1]) >= 0;,AssertionRelation.UNEXPECTED,
TimeLimitProcess,TimeLimitProcess(p timeLimit cacheStdout),ConditionKind.PARAM,cacheStdout,ConditionKind.PARAM,cacheStdout,,assert receiverObjectID;,AssertionRelation.UNEXPECTED,
TimeLimitProcess,timed_out(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.timed_out();,AssertionRelation.UNEXPECTED,
TimeLimitProcess,timeout_msecs(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.timeout_msecs();,AssertionRelation.UNEXPECTED,
TimeLimitProcess,exitValue(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
TimeLimitProcess,getErrorStream(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getErrorStream();,AssertionRelation.UNEXPECTED,
TimeLimitProcess,getInputStream(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getInputStream();,AssertionRelation.UNEXPECTED,
TimeLimitProcess,getOutputStream(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getOutputStream();,AssertionRelation.UNEXPECTED,
TimeLimitProcess,waitFor(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.exitValue();,AssertionRelation.UNEXPECTED,
TimeLimitProcess,finished(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !receiverObjectID.timed_out();,AssertionRelation.UNEXPECTED,
