class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
WeakHasherMap,WeakHasherMap(initialCapacity loadFactor),ConditionKind.PARAM,initialCapacity,ConditionKind.PARAM,initialCapacity,,assert (args[0] < 0) == false;,AssertionRelation.UNEXPECTED,
WeakHasherMap,WeakHasherMap(initialCapacity loadFactor),ConditionKind.PARAM,loadFactor,ConditionKind.PARAM,loadFactor,,assert (args[1] <= 0) == false;,AssertionRelation.UNEXPECTED,
WeakHasherMap,WeakHasherMap(initialCapacity loadFactor),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]<0 || args[1]<=0;,assert args[0] < 0 || args[1] <= 0;,AssertionRelation.IDENTICAL,
WeakHasherMap,WeakHasherMap(initialCapacity),ConditionKind.PARAM,initialCapacity,ConditionKind.PARAM,initialCapacity,,assert args[0] >= 0;,AssertionRelation.UNEXPECTED,
WeakHasherMap,WeakHasherMap(initialCapacity),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]<0;,assert args[0] < 0;,AssertionRelation.IDENTICAL,
WeakHasherMap,WeakHasherMap(h),ConditionKind.PARAM,h,ConditionKind.PARAM,h,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
WeakHasherMap,containsKey(key),ConditionKind.PARAM,key,ConditionKind.PARAM,key,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
WeakHasherMap,get(key),ConditionKind.PARAM,key,ConditionKind.PARAM,key,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
WeakHasherMap,put(key value),ConditionKind.PARAM,key,ConditionKind.PARAM,key,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
WeakHasherMap,put(key value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
WeakHasherMap,put(key value),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.get(args[0]) != null;,AssertionRelation.UNEXPECTED,
WeakHasherMap,remove(key),ConditionKind.PARAM,key,ConditionKind.PARAM,key,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
WeakHasherMap,remove(key),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.get(args[0]);,AssertionRelation.UNEXPECTED,
