"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"BagUtils","synchronizedBag(bag)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","synchronizedBag(bag)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"BagUtils","synchronizedBag(bag)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"BagUtils","unmodifiableBag(bag)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","unmodifiableBag(bag)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"BagUtils","unmodifiableBag(bag)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"BagUtils","predicatedBag(bag predicate)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","predicatedBag(bag predicate)","ConditionKind.PARAM","predicate","ConditionKind.PARAM","predicate","assert (args[1]==null) == false;","assert (args[1]==null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","predicatedBag(bag predicate)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null || args[1]==null;","assert args[0]==null || args[1]==null;","AssertionRelation.IDENTICAL",""
"BagUtils","predicatedBag(bag predicate)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"BagUtils","transformingBag(bag transformer)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","transformingBag(bag transformer)","ConditionKind.PARAM","transformer","ConditionKind.PARAM","transformer","assert (args[1]==null) == false;","assert (args[1]==null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","transformingBag(bag transformer)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null || args[1]==null;","assert args[0]==null || args[1]==null;","AssertionRelation.IDENTICAL",""
"BagUtils","transformingBag(bag transformer)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"BagUtils","collectionBag(bag)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","collectionBag(bag)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"BagUtils","collectionBag(bag)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"BagUtils","synchronizedSortedBag(bag)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","synchronizedSortedBag(bag)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"BagUtils","synchronizedSortedBag(bag)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"BagUtils","unmodifiableSortedBag(bag)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","unmodifiableSortedBag(bag)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"BagUtils","unmodifiableSortedBag(bag)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"BagUtils","predicatedSortedBag(bag predicate)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","predicatedSortedBag(bag predicate)","ConditionKind.PARAM","predicate","ConditionKind.PARAM","predicate","assert (args[1]==null) == false;","assert (args[1]==null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","predicatedSortedBag(bag predicate)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null || args[1]==null;","assert args[0]==null || args[1]==null;","AssertionRelation.IDENTICAL",""
"BagUtils","predicatedSortedBag(bag predicate)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"BagUtils","transformingSortedBag(bag transformer)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","transformingSortedBag(bag transformer)","ConditionKind.PARAM","transformer","ConditionKind.PARAM","transformer","assert (args[1]==null) == false;","assert (args[1]==null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","transformingSortedBag(bag transformer)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null || args[1]==null;","assert args[0]==null || args[1]==null;","AssertionRelation.IDENTICAL",""
"BagUtils","transformingSortedBag(bag transformer)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
