class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
ClosureUtils,exceptionClosure(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
ClosureUtils,nopClosure(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
ClosureUtils,asClosure(transformer),ConditionKind.PARAM,transformer,ConditionKind.PARAM,transformer,,assert (args[0] == null) || true;,AssertionRelation.UNEXPECTED,
ClosureUtils,asClosure(transformer),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
ClosureUtils,forClosure(count closure),ConditionKind.PARAM,count,ConditionKind.PARAM,count,,assert args[0] != 0;,AssertionRelation.UNEXPECTED,
ClosureUtils,forClosure(count closure),ConditionKind.PARAM,closure,ConditionKind.PARAM,closure,,assert (args[1]==null) == false;,AssertionRelation.UNEXPECTED,
ClosureUtils,forClosure(count closure),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != receiverObjectID.nopClosure() || (args[0] > 0 && args[1] != null);,AssertionRelation.UNEXPECTED,
ClosureUtils,whileClosure(predicate closure),ConditionKind.PARAM,predicate,ConditionKind.PARAM,predicate,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
ClosureUtils,whileClosure(predicate closure),ConditionKind.PARAM,closure,ConditionKind.PARAM,closure,assert (args[1]==null) == false;,assert (args[1]==null) == false;,AssertionRelation.IDENTICAL,
ClosureUtils,whileClosure(predicate closure),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[1]==null;,assert args[0]==null || args[1]==null;,AssertionRelation.IDENTICAL,
ClosureUtils,whileClosure(predicate closure),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
ClosureUtils,doWhileClosure(closure predicate),ConditionKind.PARAM,closure,ConditionKind.PARAM,closure,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
ClosureUtils,doWhileClosure(closure predicate),ConditionKind.PARAM,predicate,ConditionKind.PARAM,predicate,assert (args[1]==null) == false;,assert (args[1]==null) == false;,AssertionRelation.IDENTICAL,
ClosureUtils,doWhileClosure(closure predicate),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[1]==null;,assert args[0]==null || args[1]==null;,AssertionRelation.IDENTICAL,
ClosureUtils,doWhileClosure(closure predicate),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
ClosureUtils,invokerClosure(methodName),ConditionKind.PARAM,methodName,ConditionKind.PARAM,methodName,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
ClosureUtils,invokerClosure(methodName),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
ClosureUtils,invokerClosure(methodName),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
ClosureUtils,invokerClosure(methodName paramTypes args),ConditionKind.PARAM,methodName,ConditionKind.PARAM,methodName,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
ClosureUtils,invokerClosure(methodName paramTypes args),ConditionKind.PARAM,paramTypes,ConditionKind.PARAM,paramTypes,,assert (args[1]==null) == false;,AssertionRelation.UNEXPECTED,
ClosureUtils,invokerClosure(methodName paramTypes args),ConditionKind.PARAM,args,ConditionKind.PARAM,args,,assert (args[2]==null) == false;,AssertionRelation.UNEXPECTED,
ClosureUtils,invokerClosure(methodName paramTypes args),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
ClosureUtils,invokerClosure(methodName paramTypes args),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert args[1].length != args[2].length;,AssertionRelation.UNEXPECTED,
ClosureUtils,invokerClosure(methodName paramTypes args),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
ClosureUtils,chainedClosure(closures),ConditionKind.PARAM,closures,ConditionKind.PARAM,closures,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
ClosureUtils,chainedClosure(closures),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
ClosureUtils,chainedClosure(closures),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert java.util.Arrays.stream(args[0]).anyMatch(e -> e==null);,assert java.util.Arrays.stream(args[0]).anyMatch(Objects::isNull);,AssertionRelation.EQUIVALENT,
ClosureUtils,chainedClosure(closures),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
ClosureUtils,chainedClosure(closures),ConditionKind.PARAM,closures,ConditionKind.PARAM,closures,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
