"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"FluentIterable","empty()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.isEmpty()==true;","assert methodResultID.isEmpty();","AssertionRelation.UNSUPPORTED","Error during parsing: Unexpected end"
"FluentIterable","of(singleton)","ConditionKind.PARAM","singleton","ConditionKind.PARAM","singleton","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"FluentIterable","of(singleton)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.contains(args[0])==true;","assert methodResultID != null;","AssertionRelation.UNSUPPORTED","Error during parsing: Unexpected end"
"FluentIterable","of(elements)","ConditionKind.PARAM","elements","ConditionKind.PARAM","elements","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"FluentIterable","of(elements)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"FluentIterable","of(iterable)","ConditionKind.PARAM","iterable","ConditionKind.PARAM","iterable","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"FluentIterable","of(iterable)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"FluentIterable","of(iterable)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.of(args[0]);","AssertionRelation.UNEXPECTED",""
"FluentIterable","append(elements)","ConditionKind.PARAM","elements","ConditionKind.PARAM","elements","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"FluentIterable","append(elements)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"FluentIterable","append(other)","ConditionKind.PARAM","other","ConditionKind.PARAM","other","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"FluentIterable","append(other)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"FluentIterable","append(other)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"FluentIterable","collate(other)","ConditionKind.PARAM","other","ConditionKind.PARAM","other","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"FluentIterable","collate(other)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"FluentIterable","collate(other)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"FluentIterable","collate(other comparator)","ConditionKind.PARAM","comparator","ConditionKind.PARAM","comparator","","assert (args[1]==null) || true;","AssertionRelation.UNEXPECTED",""
"FluentIterable","collate(other comparator)","ConditionKind.PARAM","other","ConditionKind.PARAM","other","assert (args[0]==null) == false;","assert args[0]!=null;","AssertionRelation.EQUIVALENT",""
"FluentIterable","collate(other comparator)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"FluentIterable","collate(other comparator)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResult != null && methodResult instanceof FluentIterable;","AssertionRelation.UNEXPECTED",""
"FluentIterable","eval()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.toList());","AssertionRelation.UNEXPECTED",""
"FluentIterable","filter(predicate)","ConditionKind.PARAM","predicate","ConditionKind.PARAM","predicate","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"FluentIterable","filter(predicate)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"FluentIterable","filter(predicate)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"FluentIterable","limit(maxSize)","ConditionKind.PARAM","maxSize","ConditionKind.PARAM","maxSize","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"FluentIterable","limit(maxSize)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[0]<0;","assert args[0] < 0;","AssertionRelation.IDENTICAL",""
"FluentIterable","limit(maxSize)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"FluentIterable","loop()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof FluentIterable;","AssertionRelation.UNEXPECTED",""
"FluentIterable","reverse()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"FluentIterable","skip(elementsToSkip)","ConditionKind.PARAM","elementsToSkip","ConditionKind.PARAM","elementsToSkip","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"FluentIterable","skip(elementsToSkip)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[0]<0;","assert args[0] < 0;","AssertionRelation.IDENTICAL",""
"FluentIterable","skip(elementsToSkip)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"FluentIterable","transform(transformer)","ConditionKind.PARAM","transformer","ConditionKind.PARAM","transformer","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"FluentIterable","transform(transformer)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"FluentIterable","transform(transformer)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"FluentIterable","unique()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"FluentIterable","unmodifiable()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"FluentIterable","zip(other)","ConditionKind.PARAM","other","ConditionKind.PARAM","other","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"FluentIterable","zip(other)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"FluentIterable","zip(other)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"FluentIterable","zip(others)","ConditionKind.PARAM","others","ConditionKind.PARAM","others","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"FluentIterable","zip(others)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert Arrays.asList(others).contains(null);","assert args[0] == null;","AssertionRelation.INCOMPARABLE",""
"FluentIterable","zip(others)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"FluentIterable","asEnumeration()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"FluentIterable","allMatch(predicate)","ConditionKind.PARAM","predicate","ConditionKind.PARAM","predicate","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"FluentIterable","allMatch(predicate)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"FluentIterable","allMatch(predicate)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (receiverObjectID.isEmpty() || receiverObjectID.allMatch(args[0]));","AssertionRelation.UNEXPECTED",""
"FluentIterable","anyMatch(predicate)","ConditionKind.PARAM","predicate","ConditionKind.PARAM","predicate","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"FluentIterable","anyMatch(predicate)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"FluentIterable","anyMatch(predicate)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.anyMatch(args[0]);","AssertionRelation.UNEXPECTED",""
"FluentIterable","isEmpty()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.isEmpty();","AssertionRelation.UNEXPECTED",""
"FluentIterable","contains(object)","ConditionKind.PARAM","object","ConditionKind.PARAM","object","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"FluentIterable","contains(object)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.anyMatch(object -> object.equals(args[0]));","AssertionRelation.UNEXPECTED",""
"FluentIterable","forEach(closure)","ConditionKind.PARAM","closure","ConditionKind.PARAM","closure","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"FluentIterable","forEach(closure)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"FluentIterable","get(position)","ConditionKind.PARAM","position","ConditionKind.PARAM","position","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"FluentIterable","get(position)","ConditionKind.THROWS","IndexOutOfBoundsException","ConditionKind.THROWS","IndexOutOfBoundsException","assert args[0]<0 || args[0]>receiverObjectID.size();","assert args[0] < 0 || args[0] >= receiverObjectID.size();","AssertionRelation.STRONGER",""
"FluentIterable","get(position)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"FluentIterable","size()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"FluentIterable","copyInto(collection)","ConditionKind.PARAM","collection","ConditionKind.PARAM","collection","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"FluentIterable","copyInto(collection)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"FluentIterable","toArray(arrayClass)","ConditionKind.PARAM","arrayClass","ConditionKind.PARAM","arrayClass","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"FluentIterable","toArray(arrayClass)","ConditionKind.THROWS","ArrayStoreException","ConditionKind.THROWS","ArrayStoreException","","assert !arrayClass.isArray();","AssertionRelation.UNEXPECTED",""
"FluentIterable","toArray(arrayClass)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && methodResultID.length > 0;","AssertionRelation.UNEXPECTED",""
"FluentIterable","toList()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
