class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
QueueUtils,unmodifiableQueue(queue),ConditionKind.PARAM,queue,ConditionKind.PARAM,queue,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
QueueUtils,unmodifiableQueue(queue),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
QueueUtils,unmodifiableQueue(queue),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
QueueUtils,predicatedQueue(queue predicate),ConditionKind.PARAM,queue,ConditionKind.PARAM,queue,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
QueueUtils,predicatedQueue(queue predicate),ConditionKind.PARAM,predicate,ConditionKind.PARAM,predicate,assert (args[1]==null) == false;,assert (args[1]==null) == false;,AssertionRelation.IDENTICAL,
QueueUtils,predicatedQueue(queue predicate),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[1]==null;,,AssertionRelation.MISSING,
QueueUtils,predicatedQueue(queue predicate),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
QueueUtils,transformingQueue(queue transformer),ConditionKind.PARAM,queue,ConditionKind.PARAM,queue,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
QueueUtils,transformingQueue(queue transformer),ConditionKind.PARAM,transformer,ConditionKind.PARAM,transformer,assert (args[1]==null) == false;,assert (args[1]==null) == false;,AssertionRelation.IDENTICAL,
QueueUtils,transformingQueue(queue transformer),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[1]==null;,assert args[0]==null || args[1]==null;,AssertionRelation.IDENTICAL,
QueueUtils,transformingQueue(queue transformer),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
QueueUtils,emptyQueue(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true?methodResultID.equals(receiverObjectID.EMPTY_QUEUE);,assert methodResultID.isEmpty();,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
