class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
FixedOrderComparator,FixedOrderComparator(items),ConditionKind.PARAM,items,ConditionKind.PARAM,items,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
FixedOrderComparator,FixedOrderComparator(items),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
FixedOrderComparator,FixedOrderComparator(items),ConditionKind.PARAM,items,ConditionKind.PARAM,items,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
FixedOrderComparator,FixedOrderComparator(items),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
FixedOrderComparator,isLocked(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.checkLocked() != null;,AssertionRelation.UNEXPECTED,
FixedOrderComparator,checkLocked(),ConditionKind.THROWS,UnsupportedOperationException,ConditionKind.THROWS,UnsupportedOperationException,assert receiverObjectID.isLocked();,assert receiverObjectID.isLocked();,AssertionRelation.IDENTICAL,
FixedOrderComparator,getUnknownObjectBehavior(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID.equals(org.apache.commons.collections4.comparators.FixedOrderComparator.UnknownObjectBehavior);,assert methodResultID != null;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
FixedOrderComparator,setUnknownObjectBehavior(unknownObjectBehavior),ConditionKind.PARAM,unknownObjectBehavior,ConditionKind.PARAM,unknownObjectBehavior,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
FixedOrderComparator,setUnknownObjectBehavior(unknownObjectBehavior),ConditionKind.THROWS,UnsupportedOperationException,ConditionKind.THROWS,UnsupportedOperationException,assert receiverObjectID.isLocked();,assert receiverObjectID.isLocked();,AssertionRelation.IDENTICAL,
FixedOrderComparator,setUnknownObjectBehavior(unknownObjectBehavior),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
FixedOrderComparator,add(obj),ConditionKind.PARAM,obj,ConditionKind.PARAM,obj,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FixedOrderComparator,add(obj),ConditionKind.THROWS,UnsupportedOperationException,ConditionKind.THROWS,UnsupportedOperationException,assert receiverObjectID.isLocked();,assert receiverObjectID.isLocked();,AssertionRelation.IDENTICAL,
FixedOrderComparator,add(obj),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !receiverObjectID.contains(obj);,AssertionRelation.UNEXPECTED,
FixedOrderComparator,addAsEqual(existingObj newObj),ConditionKind.PARAM,existingObj,ConditionKind.PARAM,existingObj,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
FixedOrderComparator,addAsEqual(existingObj newObj),ConditionKind.PARAM,newObj,ConditionKind.PARAM,newObj,,assert (args[1]==null) == false;,AssertionRelation.UNEXPECTED,
FixedOrderComparator,addAsEqual(existingObj newObj),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert !receiverObjectID.add(existingObj);,AssertionRelation.UNEXPECTED,
FixedOrderComparator,addAsEqual(existingObj newObj),ConditionKind.THROWS,UnsupportedOperationException,ConditionKind.THROWS,UnsupportedOperationException,assert receiverObjectID.isLocked();,assert receiverObjectID.isLocked();,AssertionRelation.IDENTICAL,
FixedOrderComparator,addAsEqual(existingObj newObj),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !receiverObjectID.add(newObj);,AssertionRelation.UNEXPECTED,
FixedOrderComparator,compare(obj1 obj2),ConditionKind.PARAM,obj1,ConditionKind.PARAM,obj1,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FixedOrderComparator,compare(obj1 obj2),ConditionKind.PARAM,obj2,ConditionKind.PARAM,obj2,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
FixedOrderComparator,compare(obj1 obj2),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,"assert !receiverObjectID.add(obj1) && !receiverObjectID.addAsEqual(null, obj1) && !receiverObjectID.add(obj2) && !receiverObjectID.addAsEqual(null, obj2);",AssertionRelation.UNEXPECTED,
FixedOrderComparator,compare(obj1 obj2),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert (methodResultID < 0) == (receiverObjectID.compare(obj2, obj1) > 0);",AssertionRelation.UNEXPECTED,
FixedOrderComparator,hashCode(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != 0;,AssertionRelation.UNEXPECTED,
FixedOrderComparator,equals(object),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FixedOrderComparator,equals(object),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (object instanceof FixedOrderComparator && ((FixedOrderComparator)object).equals(receiverObjectID));,AssertionRelation.UNEXPECTED,
