class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
FunctionUtils,compose(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,compose(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,compose(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,compose(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,compose(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,compose(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,add(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,add(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,add(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,add(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,add(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,add(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,multiply(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,multiply(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,multiply(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,multiply(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,multiply(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,multiply(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,combine(combiner f g),ConditionKind.PARAM,combiner,ConditionKind.PARAM,combiner,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,combine(combiner f g),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,combine(combiner f g),ConditionKind.PARAM,g,ConditionKind.PARAM,g,,assert args[2] != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,combine(combiner f g),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,collector(combiner f initialValue),ConditionKind.PARAM,combiner,ConditionKind.PARAM,combiner,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,collector(combiner f initialValue),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,collector(combiner f initialValue),ConditionKind.PARAM,initialValue,ConditionKind.PARAM,initialValue,,assert Double.isFinite(args[2]);,AssertionRelation.UNEXPECTED,
FunctionUtils,collector(combiner f initialValue),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof MultivariateFunction;,AssertionRelation.UNEXPECTED,
FunctionUtils,collector(combiner initialValue),ConditionKind.PARAM,combiner,ConditionKind.PARAM,combiner,,assert combiner != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,collector(combiner initialValue),ConditionKind.PARAM,initialValue,ConditionKind.PARAM,initialValue,,assert !Double.isNaN(initialValue);,AssertionRelation.UNEXPECTED,
FunctionUtils,collector(combiner initialValue),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,fix1stArgument(f fixed),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert f != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,fix1stArgument(f fixed),ConditionKind.PARAM,fixed,ConditionKind.PARAM,fixed,,assert true;,AssertionRelation.UNEXPECTED,
FunctionUtils,fix1stArgument(f fixed),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof UnivariateFunction;,AssertionRelation.UNEXPECTED,
FunctionUtils,fix2ndArgument(f fixed),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert f != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,fix2ndArgument(f fixed),ConditionKind.PARAM,fixed,ConditionKind.PARAM,fixed,,assert !Double.isNaN(fixed);,AssertionRelation.UNEXPECTED,
FunctionUtils,fix2ndArgument(f fixed),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof UnivariateFunction;,AssertionRelation.UNEXPECTED,
FunctionUtils,sample(f min max n),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,,AssertionRelation.EMPTY,
FunctionUtils,sample(f min max n),ConditionKind.PARAM,min,ConditionKind.PARAM,min,,,AssertionRelation.EMPTY,
FunctionUtils,sample(f min max n),ConditionKind.PARAM,max,ConditionKind.PARAM,max,,,AssertionRelation.EMPTY,
FunctionUtils,sample(f min max n),ConditionKind.PARAM,n,ConditionKind.PARAM,n,,,AssertionRelation.EMPTY,
FunctionUtils,sample(f min max n),ConditionKind.THROWS,NumberIsTooLargeException,ConditionKind.THROWS,NumberIsTooLargeException,assert args[1]<=args[2];,assert args[1] >= args[2];,AssertionRelation.INCOMPARABLE,
FunctionUtils,sample(f min max n),ConditionKind.THROWS,NotStrictlyPositiveException,ConditionKind.THROWS,NotStrictlyPositiveException,assert args[3]<0;,assert args[3] < 0;,AssertionRelation.IDENTICAL,
FunctionUtils,sample(f min max n),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FunctionUtils,toDifferentiableUnivariateFunction(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,toDifferentiableUnivariateFunction(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,toUnivariateDifferential(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,toUnivariateDifferential(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,toDifferentiableMultivariateFunction(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,toDifferentiableMultivariateFunction(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,toMultivariateDifferentiableFunction(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,toMultivariateDifferentiableFunction(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,toDifferentiableMultivariateVectorFunction(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,toDifferentiableMultivariateVectorFunction(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,toMultivariateDifferentiableVectorFunction(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
FunctionUtils,toMultivariateDifferentiableVectorFunction(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof MultivariateDifferentiableVectorFunction;,AssertionRelation.UNEXPECTED,
