"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"PolynomialFunctionNewtonForm","PolynomialFunctionNewtonForm(a c)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"PolynomialFunctionNewtonForm","PolynomialFunctionNewtonForm(a c)","ConditionKind.PARAM","c","ConditionKind.PARAM","c","","assert (args[1]==null) == false;","AssertionRelation.UNEXPECTED",""
"PolynomialFunctionNewtonForm","PolynomialFunctionNewtonForm(a c)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null || args[1]==null;","assert args[0]==null || args[1]==null;","AssertionRelation.IDENTICAL",""
"PolynomialFunctionNewtonForm","PolynomialFunctionNewtonForm(a c)","ConditionKind.THROWS","NoDataException","ConditionKind.THROWS","NoDataException","assert args[0]!=null && args[0].length==0 || args[1]!=null && args[1].length==0;","assert args[0].length==0 || args[1].length==0;","AssertionRelation.STRONGER",""
"PolynomialFunctionNewtonForm","PolynomialFunctionNewtonForm(a c)","ConditionKind.THROWS","DimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","assert ((args[0].length - args[1].length) == 1) == false;","assert Math.abs(args[0].length - args[1].length) != 1;","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
"PolynomialFunctionNewtonForm","value(z)","ConditionKind.PARAM","z","ConditionKind.PARAM","z","","assert true;","AssertionRelation.UNEXPECTED",""
"PolynomialFunctionNewtonForm","value(z)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.value(args[0]);","AssertionRelation.UNEXPECTED",""
"PolynomialFunctionNewtonForm","degree()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"PolynomialFunctionNewtonForm","getNewtonCoefficients()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert java.util.Arrays.equals(methodResultID, receiverObjectID.getNewtonCoefficients());","AssertionRelation.UNEXPECTED",""
"PolynomialFunctionNewtonForm","getCenters()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert java.util.Arrays.equals(methodResultID, receiverObjectID.getCenters()) == false;","AssertionRelation.UNEXPECTED",""
"PolynomialFunctionNewtonForm","getCoefficients()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert java.util.Arrays.equals(methodResultID, receiverObjectID.getCoefficients()) == false;","AssertionRelation.UNEXPECTED",""
"PolynomialFunctionNewtonForm","evaluate(a c z)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"PolynomialFunctionNewtonForm","evaluate(a c z)","ConditionKind.PARAM","c","ConditionKind.PARAM","c","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"PolynomialFunctionNewtonForm","evaluate(a c z)","ConditionKind.PARAM","z","ConditionKind.PARAM","z","","assert args[2] != null;","AssertionRelation.UNEXPECTED",""
"PolynomialFunctionNewtonForm","evaluate(a c z)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null || args[1]==null;","assert args[0]==null || args[1]==null || args[2]==null;","AssertionRelation.STRONGER",""
"PolynomialFunctionNewtonForm","evaluate(a c z)","ConditionKind.THROWS","NoDataException","ConditionKind.THROWS","NoDataException","assert args[0]!=null && args[0].length==0 || args[1]!=null && args[1].length==0;","assert args[0].length == 0 || args[1].length == 0;","AssertionRelation.STRONGER",""
"PolynomialFunctionNewtonForm","evaluate(a c z)","ConditionKind.THROWS","DimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","assert ((args[0].lenght - args[1].length)==1) == false;","assert Math.abs(args[0].length - args[1].length) != 1;","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"PolynomialFunctionNewtonForm","evaluate(a c z)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.value(args[2]);","AssertionRelation.UNEXPECTED",""
"PolynomialFunctionNewtonForm","verifyInputArray(a c)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"PolynomialFunctionNewtonForm","verifyInputArray(a c)","ConditionKind.PARAM","c","ConditionKind.PARAM","c","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"PolynomialFunctionNewtonForm","verifyInputArray(a c)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null || args[1]==null;","assert args[0]==null || args[1]==null;","AssertionRelation.IDENTICAL",""
"PolynomialFunctionNewtonForm","verifyInputArray(a c)","ConditionKind.THROWS","NoDataException","ConditionKind.THROWS","NoDataException","assert args[0]!=null && args[0].length==0 || args[1]!=null && args[1].length==0;","assert args[0].length == 0 || args[1].length == 0;","AssertionRelation.STRONGER",""
"PolynomialFunctionNewtonForm","verifyInputArray(a c)","ConditionKind.THROWS","DimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","assert ((args[0].length - args[1].length)==1) == false;","assert Math.abs(args[0].length - args[1].length) != 1;","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
