"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"UnivariateSolverUtils","solve(function x0 x1)","ConditionKind.PARAM","function","ConditionKind.PARAM","function","","","AssertionRelation.EMPTY",""
"UnivariateSolverUtils","solve(function x0 x1)","ConditionKind.PARAM","x0","ConditionKind.PARAM","x0","","","AssertionRelation.EMPTY",""
"UnivariateSolverUtils","solve(function x0 x1)","ConditionKind.PARAM","x1","ConditionKind.PARAM","x1","","","AssertionRelation.EMPTY",""
"UnivariateSolverUtils","solve(function x0 x1)","ConditionKind.THROWS","NoBracketingException","ConditionKind.THROWS","NoBracketingException","","assert isSequence(args[1], midpoint(args[1], args[2]), args[2]);","AssertionRelation.UNEXPECTED",""
"UnivariateSolverUtils","solve(function x0 x1)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"UnivariateSolverUtils","solve(function x0 x1)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.bracket(function, x0, x1);","AssertionRelation.UNEXPECTED",""
"UnivariateSolverUtils","solve(function x0 x1 absoluteAccuracy)","ConditionKind.PARAM","function","ConditionKind.PARAM","function","","","AssertionRelation.EMPTY",""
"UnivariateSolverUtils","solve(function x0 x1 absoluteAccuracy)","ConditionKind.PARAM","x0","ConditionKind.PARAM","x0","","","AssertionRelation.EMPTY",""
"UnivariateSolverUtils","solve(function x0 x1 absoluteAccuracy)","ConditionKind.PARAM","x1","ConditionKind.PARAM","x1","","","AssertionRelation.EMPTY",""
"UnivariateSolverUtils","solve(function x0 x1 absoluteAccuracy)","ConditionKind.PARAM","absoluteAccuracy","ConditionKind.PARAM","absoluteAccuracy","","","AssertionRelation.EMPTY",""
"UnivariateSolverUtils","solve(function x0 x1 absoluteAccuracy)","ConditionKind.THROWS","NoBracketingException","ConditionKind.THROWS","NoBracketingException","","assert isSequence(args[1], midpoint(args[1], args[2]), args[2]);","AssertionRelation.UNEXPECTED",""
"UnivariateSolverUtils","solve(function x0 x1 absoluteAccuracy)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"UnivariateSolverUtils","solve(function x0 x1 absoluteAccuracy)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
