class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Complex,Complex(real),ConditionKind.PARAM,real,ConditionKind.PARAM,real,,assert true;,AssertionRelation.UNEXPECTED,
Complex,Complex(real imaginary),ConditionKind.PARAM,real,ConditionKind.PARAM,real,,assert true;,AssertionRelation.UNEXPECTED,
Complex,Complex(real imaginary),ConditionKind.PARAM,imaginary,ConditionKind.PARAM,imaginary,,assert true;,AssertionRelation.UNEXPECTED,
Complex,abs(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !Double.isNaN(methodResultID) && !Double.isInfinite(methodResultID);,AssertionRelation.UNEXPECTED,
Complex,add(addend),ConditionKind.PARAM,addend,ConditionKind.PARAM,addend,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
Complex,add(addend),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
Complex,add(addend),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID.equals(new Complex(receiverObjectID.getReal() + args[0].getReal(), receiverObjectID.getImaginary() + args[0].getImaginary()));",AssertionRelation.UNEXPECTED,
Complex,add(addend),ConditionKind.PARAM,addend,ConditionKind.PARAM,addend,,assert true;,AssertionRelation.UNEXPECTED,
Complex,add(addend),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID.equals(new Complex(receiverObjectID.getReal() + args[0], receiverObjectID.getImaginary()));",AssertionRelation.UNEXPECTED,
Complex,conjugate(),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID.equals(new Complex(receiverObjectID.getReal(), -receiverObjectID.getImaginary()));",AssertionRelation.UNEXPECTED,
Complex,divide(divisor),ConditionKind.PARAM,divisor,ConditionKind.PARAM,divisor,,,AssertionRelation.EMPTY,
Complex,divide(divisor),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
Complex,divide(divisor),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResult.equals(divide(divisor));,AssertionRelation.UNEXPECTED,
Complex,divide(divisor),ConditionKind.PARAM,divisor,ConditionKind.PARAM,divisor,,assert args[0] != 0;,AssertionRelation.UNEXPECTED,
Complex,divide(divisor),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID.equals(new Complex(receiverObjectID.getReal() / args[0], receiverObjectID.getImaginary() / args[0]));",AssertionRelation.UNEXPECTED,
Complex,equals(other),ConditionKind.PARAM,other,ConditionKind.PARAM,other,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Complex,equals(other),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (args[0] != null && args[0] instanceof Complex && (Double.isNaN(getReal()) ? Double.isNaN(((Complex) args[0]).getReal()) : getReal() == ((Complex) args[0]).getReal()) && (Double.isNaN(getImaginary()) ? Double.isNaN(((Complex) args[0]).getImaginary()) : getImaginary() == ((Complex) args[0]).getImaginary()));,AssertionRelation.UNEXPECTED,
Complex,equals(x y maxUlps),ConditionKind.PARAM,x,ConditionKind.PARAM,x,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
Complex,equals(x y maxUlps),ConditionKind.PARAM,y,ConditionKind.PARAM,y,assert (args[1]==null) == false;,assert (args[1]==null) == false;,AssertionRelation.IDENTICAL,
Complex,equals(x y maxUlps),ConditionKind.PARAM,maxUlps,ConditionKind.PARAM,maxUlps,,assert true;,AssertionRelation.UNEXPECTED,
Complex,equals(x y maxUlps),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == equals(args[0].getReal(), args[1].getReal(), args[2]) && equals(args[0].getImaginary(), args[1].getImaginary(), args[2]);",AssertionRelation.UNEXPECTED,
