class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
BigFraction,BigFraction(num),ConditionKind.PARAM,num,ConditionKind.PARAM,num,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
BigFraction,BigFraction(num den),ConditionKind.PARAM,num,ConditionKind.PARAM,num,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
BigFraction,BigFraction(num den),ConditionKind.PARAM,den,ConditionKind.PARAM,den,assert (args[1]==null) == false;,assert (args[1]==null) == false;,AssertionRelation.IDENTICAL,
BigFraction,BigFraction(num den),ConditionKind.THROWS,ZeroException,ConditionKind.THROWS,ZeroException,assert args[1]==(org.apache.commons.math3.fraction.BigFraction.ZERO);,assert args[1].equals(BigInteger.ZERO);,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
BigFraction,BigFraction(num den),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null || args[1]==null;,assert args[0] == null || args[1] == null;,AssertionRelation.IDENTICAL,
BigFraction,BigFraction(value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,assert !Double.isNaN(args[0]) && !Double.isInfinite(args[0]);,AssertionRelation.UNEXPECTED,
BigFraction,BigFraction(value),ConditionKind.THROWS,MathIllegalArgumentException,ConditionKind.THROWS,MathIllegalArgumentException,assert Double.isNaN(args[0]) || Double.isInfinite(args[0]);,assert Double.isNaN(args[0]) || Double.isInfinite(args[0]);,AssertionRelation.IDENTICAL,
BigFraction,BigFraction(value epsilon maxIterations),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,assert true;,AssertionRelation.UNEXPECTED,
BigFraction,BigFraction(value epsilon maxIterations),ConditionKind.PARAM,epsilon,ConditionKind.PARAM,epsilon,,assert true;,AssertionRelation.UNEXPECTED,
BigFraction,BigFraction(value epsilon maxIterations),ConditionKind.PARAM,maxIterations,ConditionKind.PARAM,maxIterations,,assert args[2] >= 0;,AssertionRelation.UNEXPECTED,
BigFraction,BigFraction(value epsilon maxIterations),ConditionKind.THROWS,FractionConversionException,ConditionKind.THROWS,FractionConversionException,,assert !receiverObjectID.converged;,AssertionRelation.UNEXPECTED,
BigFraction,BigFraction(value maxDenominator),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,assert !Double.isNaN(args[0]);,AssertionRelation.UNEXPECTED,
BigFraction,BigFraction(value maxDenominator),ConditionKind.PARAM,maxDenominator,ConditionKind.PARAM,maxDenominator,,assert args[1] > 0;,AssertionRelation.UNEXPECTED,
BigFraction,BigFraction(value maxDenominator),ConditionKind.THROWS,FractionConversionException,ConditionKind.THROWS,FractionConversionException,,"assert !receiverObjectID.getReducedFraction((int) args[0], args[1]).equals(args[0]);",AssertionRelation.UNEXPECTED,
BigFraction,BigFraction(num),ConditionKind.PARAM,num,ConditionKind.PARAM,num,,assert true;,AssertionRelation.UNEXPECTED,
BigFraction,BigFraction(num den),ConditionKind.PARAM,num,ConditionKind.PARAM,num,,assert true;,AssertionRelation.UNEXPECTED,
BigFraction,BigFraction(num den),ConditionKind.PARAM,den,ConditionKind.PARAM,den,,assert true;,AssertionRelation.UNEXPECTED,
BigFraction,BigFraction(num),ConditionKind.PARAM,num,ConditionKind.PARAM,num,,assert true;,AssertionRelation.UNEXPECTED,
BigFraction,BigFraction(num den),ConditionKind.PARAM,num,ConditionKind.PARAM,num,,assert true;,AssertionRelation.UNEXPECTED,
BigFraction,BigFraction(num den),ConditionKind.PARAM,den,ConditionKind.PARAM,den,,assert true;,AssertionRelation.UNEXPECTED,
BigFraction,getReducedFraction(numerator denominator),ConditionKind.PARAM,numerator,ConditionKind.PARAM,numerator,,assert args[0] != 0;,AssertionRelation.UNEXPECTED,
