"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Fraction","Fraction(value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert true;","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(value)","ConditionKind.THROWS","FractionConversionException","ConditionKind.THROWS","FractionConversionException","","assert !receiverObjectID.getReducedFraction((int)args[0], 1).equals(args[0]);","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(value epsilon maxIterations)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert true;","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(value epsilon maxIterations)","ConditionKind.PARAM","epsilon","ConditionKind.PARAM","epsilon","","assert args[1] >= 0;","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(value epsilon maxIterations)","ConditionKind.PARAM","maxIterations","ConditionKind.PARAM","maxIterations","","assert args[2] > 0;","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(value epsilon maxIterations)","ConditionKind.THROWS","FractionConversionException","ConditionKind.THROWS","FractionConversionException","","assert !receiverObjectID.equals(result);","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(value maxDenominator)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert true;","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(value maxDenominator)","ConditionKind.PARAM","maxDenominator","ConditionKind.PARAM","maxDenominator","","assert args[1] > 0;","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(value maxDenominator)","ConditionKind.THROWS","FractionConversionException","ConditionKind.THROWS","FractionConversionException","","assert !receiverObjectID.getReducedFraction((int) args[0], args[1]).equals(args[0] / args[1]);","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(num)","ConditionKind.PARAM","num","ConditionKind.PARAM","num","","assert true;","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(num den)","ConditionKind.PARAM","num","ConditionKind.PARAM","num","","assert true;","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(num den)","ConditionKind.PARAM","den","ConditionKind.PARAM","den","","assert args[1] != 0;","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(num den)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","assert args[1]==0;","assert args[1] == 0;","AssertionRelation.IDENTICAL",""
"Fraction","abs()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.abs());","AssertionRelation.UNEXPECTED",""
"Fraction","compareTo(object)","ConditionKind.PARAM","object","ConditionKind.PARAM","object","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Fraction","compareTo(object)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (receiverObjectID.compareTo(args[0]) < 0 ? -1 : receiverObjectID.compareTo(args[0]) > 0 ? 1 : 0);","AssertionRelation.UNEXPECTED",""
"Fraction","doubleValue()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (double) receiverObjectID.getNumerator() / receiverObjectID.getDenominator();","AssertionRelation.UNEXPECTED",""
"Fraction","equals(other)","ConditionKind.PARAM","other","ConditionKind.PARAM","other","","assert args[0] != null && args[0] instanceof Fraction;","AssertionRelation.UNEXPECTED",""
"Fraction","equals(other)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (args[0] != null && args[0] instanceof Fraction && getNumerator() == ((Fraction) args[0]).getNumerator() && getDenominator() == ((Fraction) args[0]).getDenominator());","AssertionRelation.UNEXPECTED",""
"Fraction","floatValue()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (float) receiverObjectID.getNumerator() / receiverObjectID.getDenominator();","AssertionRelation.UNEXPECTED",""
"Fraction","getDenominator()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"Fraction","getNumerator()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"Fraction","hashCode()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != 0;","AssertionRelation.UNEXPECTED",""
"Fraction","intValue()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"Fraction","longValue()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.getNumerator() / receiverObjectID.getDenominator();","AssertionRelation.UNEXPECTED",""
"Fraction","negate()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.negate());","AssertionRelation.UNEXPECTED",""
"Fraction","reciprocal()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(new Fraction(1, receiverObjectID.getDenominator(), 1, receiverObjectID.getNumerator()));","AssertionRelation.UNEXPECTED",""
"Fraction","add(fraction)","ConditionKind.PARAM","fraction","ConditionKind.PARAM","fraction","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"Fraction","add(fraction)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"Fraction","add(fraction)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","","assert receiverObjectID.getNumerator() > Integer.MAX_VALUE || receiverObjectID.getDenominator() > Integer.MAX_VALUE;","AssertionRelation.UNEXPECTED",""
"Fraction","add(fraction)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"Fraction","add(i)","ConditionKind.PARAM","i","ConditionKind.PARAM","i","","assert true;","AssertionRelation.UNEXPECTED",""
"Fraction","add(i)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.add(i));","AssertionRelation.UNEXPECTED",""
"Fraction","subtract(fraction)","ConditionKind.PARAM","fraction","ConditionKind.PARAM","fraction","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"Fraction","subtract(fraction)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"Fraction","subtract(fraction)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","","assert !(receiverObjectID.getNumerator() <= Integer.MAX_VALUE && receiverObjectID.getDenominator() <= Integer.MAX_VALUE);","AssertionRelation.UNEXPECTED",""
"Fraction","subtract(fraction)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"Fraction","subtract(i)","ConditionKind.PARAM","i","ConditionKind.PARAM","i","","assert true;","AssertionRelation.UNEXPECTED",""
"Fraction","subtract(i)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.subtract(i));","AssertionRelation.UNEXPECTED",""
"Fraction","multiply(fraction)","ConditionKind.PARAM","fraction","ConditionKind.PARAM","fraction","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"Fraction","multiply(fraction)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"Fraction","multiply(fraction)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","","assert (receiverObjectID.getNumerator() > Integer.MAX_VALUE) || (receiverObjectID.getDenominator() > Integer.MAX_VALUE);","AssertionRelation.UNEXPECTED",""
"Fraction","multiply(fraction)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"Fraction","multiply(i)","ConditionKind.PARAM","i","ConditionKind.PARAM","i","","assert true;","AssertionRelation.UNEXPECTED",""
