class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Vector,getZero(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
Vector,getNorm1(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID >= 0;,AssertionRelation.UNEXPECTED,
Vector,getNorm(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID >= 0;,AssertionRelation.UNEXPECTED,
Vector,getNormSq(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID >= 0;,AssertionRelation.UNEXPECTED,
Vector,getNormInf(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID >= 0;,AssertionRelation.UNEXPECTED,
Vector,add(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Vector,add(v),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
Vector,add(factor v),ConditionKind.PARAM,factor,ConditionKind.PARAM,factor,,assert true;,AssertionRelation.UNEXPECTED,
Vector,add(factor v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,assert (args[1]==null) == false;,AssertionRelation.UNEXPECTED,
Vector,add(factor v),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
Vector,subtract(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Vector,subtract(v),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
Vector,subtract(factor v),ConditionKind.PARAM,factor,ConditionKind.PARAM,factor,,assert true;,AssertionRelation.UNEXPECTED,
Vector,subtract(factor v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,assert (args[1]==null) == false;,AssertionRelation.UNEXPECTED,
Vector,subtract(factor v),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
Vector,negate(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null && !methodResultID.equals(receiverObjectID);,AssertionRelation.UNEXPECTED,
Vector,normalize(),ConditionKind.THROWS,MathArithmeticException,ConditionKind.THROWS,MathArithmeticException,assert receiverObjectID.getNorm()==0;,assert receiverObjectID.getNorm() == 0;,AssertionRelation.IDENTICAL,
Vector,normalize(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null && receiverObjectID.getNorm() > 0;,AssertionRelation.UNEXPECTED,
Vector,scalarMultiply(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert true;,AssertionRelation.UNEXPECTED,
Vector,scalarMultiply(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
Vector,isInfinite(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == Double.isInfinite(receiverObjectID.getNorm1()) && !Double.isNaN(receiverObjectID.getNorm1());,AssertionRelation.UNEXPECTED,
Vector,distance1(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,assert (args[0] != null);,AssertionRelation.UNEXPECTED,
Vector,distance1(v),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.subtract(args[0]).getNorm1();,AssertionRelation.UNEXPECTED,
Vector,distance(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,assert (args[0] != null);,AssertionRelation.UNEXPECTED,
Vector,distance(v),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.subtract(args[0]).getNorm();,AssertionRelation.UNEXPECTED,
Vector,distanceInf(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,assert (args[0] != null);,AssertionRelation.UNEXPECTED,
Vector,distanceInf(v),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.subtract(args[0]).getNormInf();,AssertionRelation.UNEXPECTED,
Vector,distanceSq(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,assert (args[0] != null);,AssertionRelation.UNEXPECTED,
Vector,distanceSq(v),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.subtract(args[0]).getNormSq();,AssertionRelation.UNEXPECTED,
Vector,dotProduct(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,assert (args[0] != null);,AssertionRelation.UNEXPECTED,
Vector,dotProduct(v),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.dotProduct(args[0]);,AssertionRelation.UNEXPECTED,
Vector,toString(format),ConditionKind.PARAM,format,ConditionKind.PARAM,format,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Vector,toString(format),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
