"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"IntervalsSet","org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(tolerance)","ConditionKind.PARAM","tolerance","ConditionKind.PARAM","tolerance","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"IntervalsSet","org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(lower upper tolerance)","ConditionKind.PARAM","lower","ConditionKind.PARAM","lower","assert args[0]<=args[1];","assert args[0] <= args[1];","AssertionRelation.IDENTICAL",""
"IntervalsSet","org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(lower upper tolerance)","ConditionKind.PARAM","upper","ConditionKind.PARAM","upper","assert args[1]>=args[0];","assert args[1] >= args[0];","AssertionRelation.IDENTICAL",""
"IntervalsSet","org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(lower upper tolerance)","ConditionKind.PARAM","tolerance","ConditionKind.PARAM","tolerance","","assert args[2] >= 0;","AssertionRelation.UNEXPECTED",""
"IntervalsSet","org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(tree tolerance)","ConditionKind.PARAM","tree","ConditionKind.PARAM","tree","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"IntervalsSet","org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(tree tolerance)","ConditionKind.PARAM","tolerance","ConditionKind.PARAM","tolerance","","assert !Double.isNaN(args[1]);","AssertionRelation.UNEXPECTED",""
"IntervalsSet","org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(boundary tolerance)","ConditionKind.PARAM","boundary","ConditionKind.PARAM","boundary","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"IntervalsSet","org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(boundary tolerance)","ConditionKind.PARAM","tolerance","ConditionKind.PARAM","tolerance","","assert args[1] >= 0;","AssertionRelation.UNEXPECTED",""
"IntervalsSet","org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(lower upper)","ConditionKind.PARAM","lower","ConditionKind.PARAM","lower","assert args[0]<=args[1];","assert args[0] <= args[1];","AssertionRelation.IDENTICAL",""
"IntervalsSet","org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(lower upper)","ConditionKind.PARAM","upper","ConditionKind.PARAM","upper","assert args[1]>=args[0];","assert args[1] >= args[0];","AssertionRelation.IDENTICAL",""
"IntervalsSet","org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(tree)","ConditionKind.PARAM","tree","ConditionKind.PARAM","tree","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"IntervalsSet","org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(boundary)","ConditionKind.PARAM","boundary","ConditionKind.PARAM","boundary","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"IntervalsSet","getInf()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.isEmpty() ? Double.POSITIVE_INFINITY : (receiverObjectID.hasLowBound() ? methodResultID : Double.NEGATIVE_INFINITY);","AssertionRelation.UNEXPECTED",""
"IntervalsSet","getSup()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.isEmpty() ? Double.NEGATIVE_INFINITY : (receiverObjectID.hasUpperBound() ? receiverObjectID.getUpperBound() : Double.POSITIVE_INFINITY);","AssertionRelation.UNEXPECTED",""
"IntervalsSet","asList()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && !methodResultID.isEmpty();","AssertionRelation.UNEXPECTED",""
