"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"SymmLQ","org.apache.commons.math3.linear.SymmLQ(maxIterations delta check)","ConditionKind.PARAM","maxIterations","ConditionKind.PARAM","maxIterations","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"SymmLQ","org.apache.commons.math3.linear.SymmLQ(maxIterations delta check)","ConditionKind.PARAM","delta","ConditionKind.PARAM","delta","","assert args[1] != 0.0;","AssertionRelation.UNEXPECTED",""
"SymmLQ","org.apache.commons.math3.linear.SymmLQ(maxIterations delta check)","ConditionKind.PARAM","check","ConditionKind.PARAM","check","","assert (args[2] == true) || (args[2] == false);","AssertionRelation.UNEXPECTED",""
"SymmLQ","org.apache.commons.math3.linear.SymmLQ(manager delta check)","ConditionKind.PARAM","manager","ConditionKind.PARAM","manager","","","AssertionRelation.EMPTY",""
"SymmLQ","org.apache.commons.math3.linear.SymmLQ(manager delta check)","ConditionKind.PARAM","delta","ConditionKind.PARAM","delta","","","AssertionRelation.EMPTY",""
"SymmLQ","org.apache.commons.math3.linear.SymmLQ(manager delta check)","ConditionKind.PARAM","check","ConditionKind.PARAM","check","","","AssertionRelation.EMPTY",""
"SymmLQ","getCheck()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == true;","AssertionRelation.UNEXPECTED",""
"SymmLQ","solve(a m b)","ConditionKind.THROWS","NonSelfAdjointOperatorException","ConditionKind.THROWS","NonSelfAdjointOperatorException","","assert receiverObjectID.getCheck() && (!a.isSelfAdjoint() || !m.isSelfAdjoint());","AssertionRelation.UNEXPECTED",""
"SymmLQ","solve(a m b)","ConditionKind.THROWS","NonPositiveDefiniteOperatorException","ConditionKind.THROWS","NonPositiveDefiniteOperatorException","","assert !m.isPositiveDefinite();","AssertionRelation.UNEXPECTED",""
"SymmLQ","solve(a m b)","ConditionKind.THROWS","IllConditionedOperatorException","ConditionKind.THROWS","IllConditionedOperatorException","","assert a.isIllConditioned();","AssertionRelation.UNEXPECTED",""
"SymmLQ","solve(a m b goodb shift)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a m b goodb shift)","ConditionKind.PARAM","m","ConditionKind.PARAM","m","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a m b goodb shift)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a m b goodb shift)","ConditionKind.PARAM","goodb","ConditionKind.PARAM","goodb","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a m b goodb shift)","ConditionKind.PARAM","shift","ConditionKind.PARAM","shift","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a m b goodb shift)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null || args[1]==null || args[2]==null;","","AssertionRelation.MISSING",""
"SymmLQ","solve(a m b goodb shift)","ConditionKind.THROWS","NonSquareOperatorException","ConditionKind.THROWS","NonSquareOperatorException","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a m b goodb shift)","ConditionKind.THROWS","MatrixDimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a m b goodb shift)","ConditionKind.THROWS","MaxCountExceededException","ConditionKind.THROWS","MaxCountExceededException","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a m b goodb shift)","ConditionKind.THROWS","NonSelfAdjointOperatorException","ConditionKind.THROWS","NonSelfAdjointOperatorException","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a m b goodb shift)","ConditionKind.THROWS","NonPositiveDefiniteOperatorException","ConditionKind.THROWS","NonPositiveDefiniteOperatorException","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a m b goodb shift)","ConditionKind.THROWS","IllConditionedOperatorException","ConditionKind.THROWS","IllConditionedOperatorException","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a m b goodb shift)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a m b x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a m b x)","ConditionKind.THROWS","NonSelfAdjointOperatorException","ConditionKind.THROWS","NonSelfAdjointOperatorException","","assert receiverObjectID.getCheck() && (!a.isSelfAdjoint() || !m.isSelfAdjoint());","AssertionRelation.UNEXPECTED",""
"SymmLQ","solve(a m b x)","ConditionKind.THROWS","NonPositiveDefiniteOperatorException","ConditionKind.THROWS","NonPositiveDefiniteOperatorException","","assert !m.isPositiveDefinite();","AssertionRelation.UNEXPECTED",""
"SymmLQ","solve(a m b x)","ConditionKind.THROWS","IllConditionedOperatorException","ConditionKind.THROWS","IllConditionedOperatorException","","assert a.isIllConditioned();","AssertionRelation.UNEXPECTED",""
"SymmLQ","solve(a b)","ConditionKind.THROWS","NonSelfAdjointOperatorException","ConditionKind.THROWS","NonSelfAdjointOperatorException","","assert receiverObjectID.getCheck() && !isSelfAdjoint(args[0]);","AssertionRelation.UNEXPECTED",""
"SymmLQ","solve(a b)","ConditionKind.THROWS","IllConditionedOperatorException","ConditionKind.THROWS","IllConditionedOperatorException","","assert isIllConditioned(args[0]);","AssertionRelation.UNEXPECTED",""
"SymmLQ","solve(a b goodb shift)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a b goodb shift)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a b goodb shift)","ConditionKind.PARAM","goodb","ConditionKind.PARAM","goodb","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a b goodb shift)","ConditionKind.PARAM","shift","ConditionKind.PARAM","shift","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a b goodb shift)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null || args[1]==null;","","AssertionRelation.MISSING",""
"SymmLQ","solve(a b goodb shift)","ConditionKind.THROWS","NonSquareOperatorException","ConditionKind.THROWS","NonSquareOperatorException","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a b goodb shift)","ConditionKind.THROWS","MatrixDimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a b goodb shift)","ConditionKind.THROWS","MaxCountExceededException","ConditionKind.THROWS","MaxCountExceededException","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a b goodb shift)","ConditionKind.THROWS","NonSelfAdjointOperatorException","ConditionKind.THROWS","NonSelfAdjointOperatorException","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a b goodb shift)","ConditionKind.THROWS","IllConditionedOperatorException","ConditionKind.THROWS","IllConditionedOperatorException","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a b goodb shift)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert solve(a, b, goodb, shift) != null;","AssertionRelation.UNEXPECTED",""
"SymmLQ","solve(a b x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"SymmLQ","solve(a b x)","ConditionKind.THROWS","NonSelfAdjointOperatorException","ConditionKind.THROWS","NonSelfAdjointOperatorException","","assert receiverObjectID.getCheck() && !isSelfAdjoint(args[0]);","AssertionRelation.UNEXPECTED",""
"SymmLQ","solve(a b x)","ConditionKind.THROWS","IllConditionedOperatorException","ConditionKind.THROWS","IllConditionedOperatorException","","assert isIllConditioned(args[0]);","AssertionRelation.UNEXPECTED",""
"SymmLQ","solveInPlace(a m b x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert !getCheck() || !a.isSelfAdjoint() || !m.isPositiveDefinite();","AssertionRelation.UNEXPECTED",""
"SymmLQ","solveInPlace(a m b x)","ConditionKind.THROWS","NonSelfAdjointOperatorException","ConditionKind.THROWS","NonSelfAdjointOperatorException","","assert receiverObjectID.getCheck() && (!a.isSelfAdjoint() || !m.isSelfAdjoint());","AssertionRelation.UNEXPECTED",""
"SymmLQ","solveInPlace(a m b x)","ConditionKind.THROWS","NonPositiveDefiniteOperatorException","ConditionKind.THROWS","NonPositiveDefiniteOperatorException","","assert !m.isPositiveDefinite();","AssertionRelation.UNEXPECTED",""
"SymmLQ","solveInPlace(a m b x)","ConditionKind.THROWS","IllConditionedOperatorException","ConditionKind.THROWS","IllConditionedOperatorException","","assert a.isIllConditioned();","AssertionRelation.UNEXPECTED",""
"SymmLQ","solveInPlace(a m b x goodb shift)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"SymmLQ","solveInPlace(a m b x goodb shift)","ConditionKind.PARAM","m","ConditionKind.PARAM","m","","","AssertionRelation.EMPTY",""
"SymmLQ","solveInPlace(a m b x goodb shift)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","","AssertionRelation.EMPTY",""
"SymmLQ","solveInPlace(a m b x goodb shift)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"SymmLQ","solveInPlace(a m b x goodb shift)","ConditionKind.PARAM","goodb","ConditionKind.PARAM","goodb","","","AssertionRelation.EMPTY",""
"SymmLQ","solveInPlace(a m b x goodb shift)","ConditionKind.PARAM","shift","ConditionKind.PARAM","shift","","","AssertionRelation.EMPTY",""
"SymmLQ","solveInPlace(a m b x goodb shift)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null || args[1]==null || args[2]==null || args[3]==null;","","AssertionRelation.MISSING",""
