class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
ContinuousOutputModel,append(model),ConditionKind.PARAM,model,ConditionKind.PARAM,model,,assert (args[0] != null);,AssertionRelation.UNEXPECTED,
ContinuousOutputModel,append(model),ConditionKind.THROWS,MathIllegalArgumentException,ConditionKind.THROWS,MathIllegalArgumentException,,assert !(receiverObjectID.getInitialTime() == args[0].getInitialTime() && receiverObjectID.getFinalTime() == args[0].getFinalTime());,AssertionRelation.UNEXPECTED,
ContinuousOutputModel,append(model),ConditionKind.THROWS,MaxCountExceededException,ConditionKind.THROWS,MaxCountExceededException,,assert receiverObjectID.getInterpolatedState() > some_max_count;,AssertionRelation.UNEXPECTED,
ContinuousOutputModel,handleStep(interpolator isLast),ConditionKind.PARAM,interpolator,ConditionKind.PARAM,interpolator,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
ContinuousOutputModel,handleStep(interpolator isLast),ConditionKind.PARAM,isLast,ConditionKind.PARAM,isLast,assert args[1]==true;,assert true;,AssertionRelation.UNSUPPORTED,Value cannot be converted into a Z3 Boolean value
ContinuousOutputModel,handleStep(interpolator isLast),ConditionKind.THROWS,MaxCountExceededException,ConditionKind.THROWS,MaxCountExceededException,,assert receiverObjectID.getInterpolatedState() > some_max_count;,AssertionRelation.UNEXPECTED,
ContinuousOutputModel,getInitialTime(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID >= 0;,AssertionRelation.UNEXPECTED,
ContinuousOutputModel,getFinalTime(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID >= 0;,AssertionRelation.UNEXPECTED,
ContinuousOutputModel,getInterpolatedTime(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (receiverObjectID.getInitialTime() == receiverObjectID.getFinalTime() ? receiverObjectID.getFinalTime() : methodResultID);,AssertionRelation.UNEXPECTED,
ContinuousOutputModel,setInterpolatedTime(time),ConditionKind.PARAM,time,ConditionKind.PARAM,time,,assert true;,AssertionRelation.UNEXPECTED,
ContinuousOutputModel,getInterpolatedState(),ConditionKind.THROWS,MaxCountExceededException,ConditionKind.THROWS,MaxCountExceededException,,assert receiverObjectID.getInterpolatedStateCount() > getMaxEvaluations();,AssertionRelation.UNEXPECTED,
ContinuousOutputModel,getInterpolatedState(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
ContinuousOutputModel,getInterpolatedDerivatives(),ConditionKind.THROWS,MaxCountExceededException,ConditionKind.THROWS,MaxCountExceededException,,assert receiverObjectID.getFunctionEvaluationsCount() > getMaxAllowedEvaluations();,AssertionRelation.UNEXPECTED,
ContinuousOutputModel,getInterpolatedDerivatives(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
ContinuousOutputModel,getInterpolatedSecondaryState(secondaryStateIndex),ConditionKind.PARAM,secondaryStateIndex,ConditionKind.PARAM,secondaryStateIndex,,assert args[0] >= 0;,AssertionRelation.UNEXPECTED,
ContinuousOutputModel,getInterpolatedSecondaryState(secondaryStateIndex),ConditionKind.THROWS,MaxCountExceededException,ConditionKind.THROWS,MaxCountExceededException,,assert receiverObjectID.getFunctionEvaluationsCount() > getMaxAllowedEvaluations();,AssertionRelation.UNEXPECTED,
ContinuousOutputModel,getInterpolatedSecondaryState(secondaryStateIndex),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert java.util.Arrays.equals(methodResultID, receiverObjectID.getInterpolatedSecondaryState(args[0]));",AssertionRelation.UNEXPECTED,
ContinuousOutputModel,getInterpolatedSecondaryDerivatives(secondaryStateIndex),ConditionKind.PARAM,secondaryStateIndex,ConditionKind.PARAM,secondaryStateIndex,,assert args[0] >= 0;,AssertionRelation.UNEXPECTED,
ContinuousOutputModel,getInterpolatedSecondaryDerivatives(secondaryStateIndex),ConditionKind.THROWS,MaxCountExceededException,ConditionKind.THROWS,MaxCountExceededException,,assert receiverObjectID.getEvaluationsCount() > getMaxEvaluations();,AssertionRelation.UNEXPECTED,
ContinuousOutputModel,getInterpolatedSecondaryDerivatives(secondaryStateIndex),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID.length > 0;,AssertionRelation.UNEXPECTED,
