class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
RandomDataGenerator,RandomDataGenerator(rand),ConditionKind.PARAM,rand,ConditionKind.PARAM,rand,,assert true;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextHexString(len),ConditionKind.PARAM,len,ConditionKind.PARAM,len,,assert args[0] > 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextHexString(len),ConditionKind.THROWS,NotStrictlyPositiveException,ConditionKind.THROWS,NotStrictlyPositiveException,assert args[0]<=0;,assert args[0] <= 0;,AssertionRelation.IDENTICAL,
RandomDataGenerator,nextHexString(len),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextSecureHexString(len),ConditionKind.THROWS,NotStrictlyPositiveException,ConditionKind.THROWS,NotStrictlyPositiveException,assert args[0]<=0;,assert args[0] <= 0;,AssertionRelation.IDENTICAL,
RandomDataGenerator,nextPoisson(mean),ConditionKind.THROWS,NotStrictlyPositiveException,ConditionKind.THROWS,NotStrictlyPositiveException,assert args[0]<=0;,assert args[0] <= 0;,AssertionRelation.IDENTICAL,
RandomDataGenerator,nextGamma(shape scale),ConditionKind.PARAM,shape,ConditionKind.PARAM,shape,,assert args[0] > 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextGamma(shape scale),ConditionKind.PARAM,scale,ConditionKind.PARAM,scale,,assert args[1] > 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextGamma(shape scale),ConditionKind.THROWS,NotStrictlyPositiveException,ConditionKind.THROWS,NotStrictlyPositiveException,assert args[0]<=0 || args[1]<=0;,assert args[0] <= 0 || args[1] <= 0;,AssertionRelation.IDENTICAL,
RandomDataGenerator,nextGamma(shape scale),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID > 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextHypergeometric(populationSize numberOfSuccesses sampleSize),ConditionKind.PARAM,populationSize,ConditionKind.PARAM,populationSize,,assert args[0] > 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextHypergeometric(populationSize numberOfSuccesses sampleSize),ConditionKind.PARAM,numberOfSuccesses,ConditionKind.PARAM,numberOfSuccesses,,assert args[1] >= 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextHypergeometric(populationSize numberOfSuccesses sampleSize),ConditionKind.PARAM,sampleSize,ConditionKind.PARAM,sampleSize,,assert args[2] > 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextHypergeometric(populationSize numberOfSuccesses sampleSize),ConditionKind.THROWS,NumberIsTooLargeException,ConditionKind.THROWS,NumberIsTooLargeException,assert args[1]>args[0] || args[2]>args[0];,assert args[1] > args[0] || args[2] > args[0];,AssertionRelation.IDENTICAL,
RandomDataGenerator,nextHypergeometric(populationSize numberOfSuccesses sampleSize),ConditionKind.THROWS,NotStrictlyPositiveException,ConditionKind.THROWS,NotStrictlyPositiveException,assert args[0]<=0;,assert args[0] <= 0;,AssertionRelation.IDENTICAL,
RandomDataGenerator,nextHypergeometric(populationSize numberOfSuccesses sampleSize),ConditionKind.THROWS,NotPositiveException,ConditionKind.THROWS,NotPositiveException,assert args[1]<0;,assert args[1] < 0;,AssertionRelation.IDENTICAL,
RandomDataGenerator,nextHypergeometric(populationSize numberOfSuccesses sampleSize),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID >= 0 && methodResultID <= Math.min(numberOfSuccesses, sampleSize);",AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextPascal(r p),ConditionKind.PARAM,r,ConditionKind.PARAM,r,,assert args[0] > 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextPascal(r p),ConditionKind.PARAM,p,ConditionKind.PARAM,p,,assert args[1] >= 0 && args[1] <= 1;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextPascal(r p),ConditionKind.THROWS,NotStrictlyPositiveException,ConditionKind.THROWS,NotStrictlyPositiveException,assert (args[0]>0) == false;,assert args[0] <= 0;,AssertionRelation.EQUIVALENT,
RandomDataGenerator,nextPascal(r p),ConditionKind.THROWS,OutOfRangeException,ConditionKind.THROWS,OutOfRangeException,assert args[1]<0||args[1]>1;,assert args[1] < 0 || args[1] > 1;,AssertionRelation.IDENTICAL,
RandomDataGenerator,nextPascal(r p),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID >= 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextT(df),ConditionKind.PARAM,df,ConditionKind.PARAM,df,,assert args[0] > 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextT(df),ConditionKind.THROWS,NotStrictlyPositiveException,ConditionKind.THROWS,NotStrictlyPositiveException,assert args[0]<=0;,assert args[0] <= 0;,AssertionRelation.IDENTICAL,
RandomDataGenerator,nextT(df),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID >= 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextWeibull(shape scale),ConditionKind.PARAM,shape,ConditionKind.PARAM,shape,,assert args[0] > 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextWeibull(shape scale),ConditionKind.PARAM,scale,ConditionKind.PARAM,scale,,assert args[1] > 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextWeibull(shape scale),ConditionKind.THROWS,NotStrictlyPositiveException,ConditionKind.THROWS,NotStrictlyPositiveException,assert args[0]<=0 || args[1]<=0;,assert args[0] <= 0 || args[1] <= 0;,AssertionRelation.IDENTICAL,
RandomDataGenerator,nextWeibull(shape scale),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID > 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextZipf(numberOfElements exponent),ConditionKind.PARAM,numberOfElements,ConditionKind.PARAM,numberOfElements,,assert args[0] > 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextZipf(numberOfElements exponent),ConditionKind.PARAM,exponent,ConditionKind.PARAM,exponent,,assert args[1] > 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextZipf(numberOfElements exponent),ConditionKind.THROWS,NotStrictlyPositiveException,ConditionKind.THROWS,NotStrictlyPositiveException,assert args[0]<=0 || args[1]<=0;,assert args[0] <= 0 || args[1] <= 0;,AssertionRelation.IDENTICAL,
RandomDataGenerator,nextZipf(numberOfElements exponent),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID >= 1;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextBeta(alpha beta),ConditionKind.PARAM,alpha,ConditionKind.PARAM,alpha,,assert args[0] != 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextBeta(alpha beta),ConditionKind.PARAM,beta,ConditionKind.PARAM,beta,,assert args[1] != 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextBeta(alpha beta),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID >= 0 && methodResultID <= 1;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextBinomial(numberOfTrials probabilityOfSuccess),ConditionKind.PARAM,numberOfTrials,ConditionKind.PARAM,numberOfTrials,,assert args[0] >= 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextBinomial(numberOfTrials probabilityOfSuccess),ConditionKind.PARAM,probabilityOfSuccess,ConditionKind.PARAM,probabilityOfSuccess,,assert args[1] >= 0 && args[1] <= 1;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextBinomial(numberOfTrials probabilityOfSuccess),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID >= 0 && methodResultID <= args[0];,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextCauchy(median scale),ConditionKind.PARAM,median,ConditionKind.PARAM,median,,assert true;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextCauchy(median scale),ConditionKind.PARAM,scale,ConditionKind.PARAM,scale,,assert true;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextCauchy(median scale),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert Double.isFinite(methodResultID);,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextChiSquare(df),ConditionKind.PARAM,df,ConditionKind.PARAM,df,,assert args[0] >= 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextChiSquare(df),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID >= 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextF(numeratorDf denominatorDf),ConditionKind.PARAM,numeratorDf,ConditionKind.PARAM,numeratorDf,,assert args[0] > 0;,AssertionRelation.UNEXPECTED,
RandomDataGenerator,nextF(numeratorDf denominatorDf),ConditionKind.PARAM,denominatorDf,ConditionKind.PARAM,denominatorDf,,assert args[1] > 0;,AssertionRelation.UNEXPECTED,
