class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
SummaryStatistics,org.apache.commons.math3.stat.descriptive.SummaryStatistics(original),ConditionKind.PARAM,original,ConditionKind.PARAM,original,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
SummaryStatistics,org.apache.commons.math3.stat.descriptive.SummaryStatistics(original),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
SummaryStatistics,getSummary(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
SummaryStatistics,addValue(value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,assert true;,AssertionRelation.UNEXPECTED,
SummaryStatistics,getN(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID >= 0;,AssertionRelation.UNEXPECTED,
SummaryStatistics,getSum(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (receiverObjectID.getN() > 0 ? receiverObjectID.getSum() : Double.NaN);,AssertionRelation.UNEXPECTED,
SummaryStatistics,getSumsq(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != Double.NaN;,AssertionRelation.UNEXPECTED,
SummaryStatistics,getMean(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !Double.isNaN(methodResultID);,AssertionRelation.UNEXPECTED,
SummaryStatistics,getStandardDeviation(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !Double.isNaN(methodResultID);,AssertionRelation.UNEXPECTED,
SummaryStatistics,getQuadraticMean(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (receiverObjectID.getN() > 0 ? receiverObjectID.getQuadraticMean() : Double.NaN);,AssertionRelation.UNEXPECTED,
SummaryStatistics,getVariance(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !Double.isNaN(methodResultID) == receiverObjectID.getN() > 0;,AssertionRelation.UNEXPECTED,
SummaryStatistics,getPopulationVariance(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !Double.isNaN(methodResultID) == receiverObjectID.getN() > 0;,AssertionRelation.UNEXPECTED,
SummaryStatistics,getMax(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !Double.isNaN(methodResultID);,AssertionRelation.UNEXPECTED,
SummaryStatistics,getMin(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !Double.isNaN(methodResultID);,AssertionRelation.UNEXPECTED,
SummaryStatistics,getGeometricMean(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !Double.isNaN(methodResultID);,AssertionRelation.UNEXPECTED,
SummaryStatistics,getSumOfLogs(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !Double.isNaN(methodResultID);,AssertionRelation.UNEXPECTED,
SummaryStatistics,getSecondMoment(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (receiverObjectID.getN() <= 1 ? (receiverObjectID.getN() == 0 ? Double.NaN : 0) : receiverObjectID.getSumsq());,AssertionRelation.UNEXPECTED,
SummaryStatistics,toString(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
SummaryStatistics,equals(object),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
SummaryStatistics,equals(object),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (object instanceof SummaryStatistics && receiverObjectID.equals(object));,AssertionRelation.UNEXPECTED,
SummaryStatistics,hashCode(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != 0;,AssertionRelation.UNEXPECTED,
SummaryStatistics,getSumImpl(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
SummaryStatistics,setSumImpl(sumImpl),ConditionKind.PARAM,sumImpl,ConditionKind.PARAM,sumImpl,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
SummaryStatistics,setSumImpl(sumImpl),ConditionKind.THROWS,MathIllegalStateException,ConditionKind.THROWS,MathIllegalStateException,,assert receiverObjectID.getN() > 0;,AssertionRelation.UNEXPECTED,
SummaryStatistics,getSumsqImpl(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
SummaryStatistics,setSumsqImpl(sumsqImpl),ConditionKind.PARAM,sumsqImpl,ConditionKind.PARAM,sumsqImpl,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
SummaryStatistics,setSumsqImpl(sumsqImpl),ConditionKind.THROWS,MathIllegalStateException,ConditionKind.THROWS,MathIllegalStateException,,assert receiverObjectID.getN() > 0;,AssertionRelation.UNEXPECTED,
SummaryStatistics,getMinImpl(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
SummaryStatistics,setMinImpl(minImpl),ConditionKind.PARAM,minImpl,ConditionKind.PARAM,minImpl,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
SummaryStatistics,setMinImpl(minImpl),ConditionKind.THROWS,MathIllegalStateException,ConditionKind.THROWS,MathIllegalStateException,,assert receiverObjectID.getN() > 0;,AssertionRelation.UNEXPECTED,
SummaryStatistics,getMaxImpl(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
SummaryStatistics,setMaxImpl(maxImpl),ConditionKind.PARAM,maxImpl,ConditionKind.PARAM,maxImpl,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
SummaryStatistics,setMaxImpl(maxImpl),ConditionKind.THROWS,MathIllegalStateException,ConditionKind.THROWS,MathIllegalStateException,,assert receiverObjectID.getN() > 0;,AssertionRelation.UNEXPECTED,
SummaryStatistics,getSumLogImpl(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
