"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Sum","org.apache.commons.math3.stat.descriptive.summary.Sum(original)","ConditionKind.PARAM","original","ConditionKind.PARAM","original","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Sum","org.apache.commons.math3.stat.descriptive.summary.Sum(original)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"Sum","evaluate(values begin length)","ConditionKind.PARAM","values","ConditionKind.PARAM","values","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Sum","evaluate(values begin length)","ConditionKind.PARAM","begin","ConditionKind.PARAM","begin","","assert args[1] >= 0 && args[1] < ((double[])args[0]).length;","AssertionRelation.UNEXPECTED",""
"Sum","evaluate(values begin length)","ConditionKind.PARAM","length","ConditionKind.PARAM","length","","assert args[2] >= 0 && args[1] + args[2] <= ((double[])args[0]).length;","AssertionRelation.UNEXPECTED",""
"Sum","evaluate(values begin length)","ConditionKind.THROWS","MathIllegalArgumentException","ConditionKind.THROWS","MathIllegalArgumentException","assert args[0]==null;","assert args[0] == null || begin < 0 || length < 0;","AssertionRelation.STRONGER",""
"Sum","evaluate(values begin length)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[2]==0 ? methodResultID==0;","assert methodResultID == (args[2] == 0 ? 0 : receiverObjectID.evaluate(args[0], args[1], args[2]));","AssertionRelation.UNSUPPORTED","Error during parsing: Unexpected end"
"Sum","evaluate(values weights begin length)","ConditionKind.PARAM","values","ConditionKind.PARAM","values","","assert values != null;","AssertionRelation.UNEXPECTED",""
"Sum","evaluate(values weights begin length)","ConditionKind.PARAM","weights","ConditionKind.PARAM","weights","","assert values.length == weights.length;","AssertionRelation.UNEXPECTED",""
"Sum","evaluate(values weights begin length)","ConditionKind.PARAM","begin","ConditionKind.PARAM","begin","","","AssertionRelation.EMPTY",""
"Sum","evaluate(values weights begin length)","ConditionKind.PARAM","length","ConditionKind.PARAM","length","","","AssertionRelation.EMPTY",""
"Sum","evaluate(values weights begin length)","ConditionKind.THROWS","MathIllegalArgumentException","ConditionKind.THROWS","MathIllegalArgumentException","","assert begin + length > values.length || begin < 0 || length < 0;","AssertionRelation.UNEXPECTED",""
"Sum","evaluate(values weights begin length)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[3]==0 ? methodResultID==0;","assert methodResult == (values == null || weights == null || values.length != weights.length || begin < 0 || begin + length > values.length || Double.isInfinite(weights[0]) || Double.isNaN(weights[0]) || Arrays.stream(weights).anyMatch(w -> w < 0) ? Double.NaN : (length == 0 ? 0.0 : evaluate(values, weights, begin, length)));","AssertionRelation.UNSUPPORTED","Error during parsing: Unexpected end"
"Sum","evaluate(values weights)","ConditionKind.PARAM","values","ConditionKind.PARAM","values","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"Sum","evaluate(values weights)","ConditionKind.PARAM","weights","ConditionKind.PARAM","weights","","assert (args[1]==null) == false;","AssertionRelation.UNEXPECTED",""
"Sum","evaluate(values weights)","ConditionKind.THROWS","MathIllegalArgumentException","ConditionKind.THROWS","MathIllegalArgumentException","","assert args[0]==null || args[1]==null || args[0].length != args[1].length || java.util.Arrays.stream(args[1]).anyMatch(java.lang.Double::isInfinite) || java.util.Arrays.stream(args[1]).anyMatch(java.lang.Double::isNaN) || java.util.Arrays.stream(args[1]).anyMatch(e -> e < 0);","AssertionRelation.UNEXPECTED",""
"Sum","evaluate(values weights)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (args[0].length == 0 ? Double.NaN : args[0][0] * args[1][0]);","AssertionRelation.UNEXPECTED",""
"Sum","copy(source dest)","ConditionKind.PARAM","source","ConditionKind.PARAM","source","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"Sum","copy(source dest)","ConditionKind.PARAM","dest","ConditionKind.PARAM","dest","","assert (args[1]==null) == false;","AssertionRelation.UNEXPECTED",""
"Sum","copy(source dest)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null || args[1]==null;","assert args[0]==null || args[1]==null;","AssertionRelation.IDENTICAL",""
