class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
FastMath,sqrt(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert !Double.isNaN(args[0]);,AssertionRelation.UNEXPECTED,
FastMath,sqrt(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert Math.abs(methodResultID - Math.sqrt(args[0])) < 1e-9;,AssertionRelation.UNEXPECTED,
FastMath,cosh(x),ConditionKind.PARAM,x,ConditionKind.PARAM,x,,assert true;,AssertionRelation.UNEXPECTED,
FastMath,cosh(x),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert Math.abs(methodResultID - (Math.cosh(args[0]))) < 1e-9;,AssertionRelation.UNEXPECTED,
FastMath,sinh(x),ConditionKind.PARAM,x,ConditionKind.PARAM,x,,assert true;,AssertionRelation.UNEXPECTED,
FastMath,sinh(x),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert Math.abs(methodResultID - receiverObjectID.sinh(args[0])) < 1e-9;,AssertionRelation.UNEXPECTED,
FastMath,tanh(x),ConditionKind.PARAM,x,ConditionKind.PARAM,x,,assert true;,AssertionRelation.UNEXPECTED,
FastMath,tanh(x),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert Math.abs(methodResultID - (Math.exp(2 * args[0]) - 1) / (Math.exp(2 * args[0]) + 1)) < 1e-9;,AssertionRelation.UNEXPECTED,
FastMath,acosh(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert true;,AssertionRelation.UNEXPECTED,
FastMath,acosh(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert Math.abs(methodResultID - acosh(args[0])) < 1e-9;,AssertionRelation.UNEXPECTED,
FastMath,asinh(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert true;,AssertionRelation.UNEXPECTED,
FastMath,asinh(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert Math.abs(methodResultID - asinh(args[0])) < 1e-9;,AssertionRelation.UNEXPECTED,
FastMath,atanh(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert true;,AssertionRelation.UNEXPECTED,
FastMath,atanh(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert Math.abs(methodResultID - receiverObjectID.atanh(args[0])) < 1e-9;,AssertionRelation.UNEXPECTED,
FastMath,signum(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert true;,AssertionRelation.UNEXPECTED,
FastMath,signum(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (args[0] < 0 ? -1.0 : args[0] > 0 ? 1.0 : args[0]) || Double.isNaN(args[0]);,AssertionRelation.UNEXPECTED,
FastMath,signum(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert true;,AssertionRelation.UNEXPECTED,
FastMath,signum(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert (methodResultID == -1.0f) == (args[0] < 0.0f) && (methodResultID == 1.0f) == (args[0] > 0.0f) && (methodResultID == 0.0f) == (args[0] == 0.0f);,AssertionRelation.UNEXPECTED,
FastMath,nextUp(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert true;,AssertionRelation.UNEXPECTED,
FastMath,nextUp(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == Math.nextUp(args[0]);,AssertionRelation.UNEXPECTED,
FastMath,nextUp(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert true;,AssertionRelation.UNEXPECTED,
FastMath,nextUp(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == args[0] + Float.MIN_VALUE;,AssertionRelation.UNEXPECTED,
FastMath,nextDown(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert true;,AssertionRelation.UNEXPECTED,
FastMath,nextDown(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == Math.nextAfter(args[0], Double.NEGATIVE_INFINITY);",AssertionRelation.UNEXPECTED,
FastMath,nextDown(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert true;,AssertionRelation.UNEXPECTED,
FastMath,nextDown(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == Math.nextAfter(args[0], Float.NEGATIVE_INFINITY);",AssertionRelation.UNEXPECTED,
FastMath,random(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID >= 0.0 && methodResultID <= 1.0;,AssertionRelation.UNEXPECTED,
FastMath,exp(x),ConditionKind.PARAM,x,ConditionKind.PARAM,x,,assert true;,AssertionRelation.UNEXPECTED,
FastMath,exp(x),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert Math.abs(methodResultID - Math.exp(args[0])) < 1e-15;,AssertionRelation.UNEXPECTED,
FastMath,expm1(x),ConditionKind.PARAM,x,ConditionKind.PARAM,x,,assert true;,AssertionRelation.UNEXPECTED,
FastMath,expm1(x),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert Math.abs(methodResultID - (Math.exp(args[0]) - 1)) < 1e-9;,AssertionRelation.UNEXPECTED,
FastMath,log(x),ConditionKind.PARAM,x,ConditionKind.PARAM,x,,assert true;,AssertionRelation.UNEXPECTED,
