"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Player","Player(game)","ConditionKind.PARAM","game","ConditionKind.PARAM","game","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Player","Player(game e)","ConditionKind.PARAM","game","ConditionKind.PARAM","game","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"Player","Player(game e)","ConditionKind.PARAM","e","ConditionKind.PARAM","e","","assert (args[1]==null) == false;","AssertionRelation.UNEXPECTED",""
"Player","Player(game id)","ConditionKind.PARAM","game","ConditionKind.PARAM","game","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"Player","Player(game id)","ConditionKind.PARAM","id","ConditionKind.PARAM","id","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"Player","getName()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"Player","setName(newName)","ConditionKind.PARAM","newName","ConditionKind.PARAM","newName","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Player","getLabel()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"Player","isUnknownEnemy()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID;","AssertionRelation.UNEXPECTED",""
"Player","getIndependentNationName()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"Player","setIndependentNationName(newIndependentNationName)","ConditionKind.PARAM","newIndependentNationName","ConditionKind.PARAM","newIndependentNationName","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Player","getNewLandName()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"Player","isNewLandNamed()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.getNameForNewLand() != null;","AssertionRelation.UNEXPECTED",""
"Player","setNewLandName(newLandName)","ConditionKind.PARAM","newLandName","ConditionKind.PARAM","newLandName","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Player","getNameForNewLand()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"Player","getEuropeNameKey()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.getEurope()==null ? methodResultID==null;","assert methodResultID != null == receiverObjectID != null;","AssertionRelation.UNSUPPORTED","Error during parsing: Unexpected end"
"Player","getNationResourceKey()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"Player","getNationLabel()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
