class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
UnitLocation,net.sf.freecol.common.model.UnitLocation(game),ConditionKind.PARAM,game,ConditionKind.PARAM,game,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
UnitLocation,net.sf.freecol.common.model.UnitLocation(game id),ConditionKind.PARAM,game,ConditionKind.PARAM,game,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
UnitLocation,net.sf.freecol.common.model.UnitLocation(game id),ConditionKind.PARAM,id,ConditionKind.PARAM,id,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
UnitLocation,net.sf.freecol.common.model.UnitLocation(game e),ConditionKind.PARAM,game,ConditionKind.PARAM,game,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
UnitLocation,net.sf.freecol.common.model.UnitLocation(game e),ConditionKind.PARAM,e,ConditionKind.PARAM,e,,assert (args[1]==null) == false;,AssertionRelation.UNEXPECTED,
UnitLocation,isEmpty(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !receiverObjectID.containsUnits();,AssertionRelation.UNEXPECTED,
UnitLocation,isFull(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !receiverObjectID.isEmpty();,AssertionRelation.UNEXPECTED,
UnitLocation,getFirstUnit(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
UnitLocation,getLastUnit(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
UnitLocation,getTotalUnitCount(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getUnitCount() + getCarrierUnits();,AssertionRelation.UNEXPECTED,
UnitLocation,hasCarrierWithSpace(space),ConditionKind.PARAM,space,ConditionKind.PARAM,space,,assert args[0] >= 0;,AssertionRelation.UNEXPECTED,
UnitLocation,hasCarrierWithSpace(space),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.containsCarrierWithSpace(args[0]);,AssertionRelation.UNEXPECTED,
UnitLocation,getNavalUnits(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null && !methodResultID.isEmpty();,AssertionRelation.UNEXPECTED,
UnitLocation,getCarrierForUnit(unit),ConditionKind.PARAM,unit,ConditionKind.PARAM,unit,,assert (args[0] != null);,AssertionRelation.UNEXPECTED,
UnitLocation,getCarrierForUnit(unit),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
UnitLocation,getSpaceTaken(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getUnitCount() * receiverObjectID.getUnitCapacity();,AssertionRelation.UNEXPECTED,
UnitLocation,moveToFront(u),ConditionKind.PARAM,u,ConditionKind.PARAM,u,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
UnitLocation,getNoAddReason(locatable),ConditionKind.PARAM,locatable,ConditionKind.PARAM,locatable,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
UnitLocation,getNoAddReason(locatable),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != NoAddReason.NONE;,AssertionRelation.UNEXPECTED,
UnitLocation,getUnitCapacity(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID==Integer.MAX_VALUE;,assert methodResultID == Integer.MAX_VALUE;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
UnitLocation,priceGoods(goods),ConditionKind.PARAM,goods,ConditionKind.PARAM,goods,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
UnitLocation,priceGoods(goods),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID >= 0;,AssertionRelation.UNEXPECTED,
UnitLocation,equipForRole(unit role roleCount),ConditionKind.PARAM,unit,ConditionKind.PARAM,unit,,assert unit != null;,AssertionRelation.UNEXPECTED,
UnitLocation,equipForRole(unit role roleCount),ConditionKind.PARAM,role,ConditionKind.PARAM,role,,assert role != null;,AssertionRelation.UNEXPECTED,
UnitLocation,equipForRole(unit role roleCount),ConditionKind.PARAM,roleCount,ConditionKind.PARAM,roleCount,,assert roleCount > 0;,AssertionRelation.UNEXPECTED,
UnitLocation,equipForRole(unit role roleCount),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID;,AssertionRelation.UNEXPECTED,
