class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
CacheLoader,load(key),ConditionKind.PARAM,key,ConditionKind.PARAM,key,assert args[0]!=null;,assert (args[0]==null) == false;,AssertionRelation.EQUIVALENT,
CacheLoader,load(key),ConditionKind.THROWS,Exception,ConditionKind.THROWS,Exception,,assert false;,AssertionRelation.UNEXPECTED,
CacheLoader,load(key),ConditionKind.THROWS,InterruptedException,ConditionKind.THROWS,InterruptedException,,assert Thread.currentThread().isInterrupted();,AssertionRelation.UNEXPECTED,
CacheLoader,load(key),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? (methodResultID==null)==false;,assert methodResultID != null;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
CacheLoader,reload(key oldValue),ConditionKind.PARAM,key,ConditionKind.PARAM,key,assert args[0]!=null;,assert (args[0]==null) == false;,AssertionRelation.EQUIVALENT,
CacheLoader,reload(key oldValue),ConditionKind.PARAM,oldValue,ConditionKind.PARAM,oldValue,assert args[1]!=null;,assert (args[1]==null) == false;,AssertionRelation.EQUIVALENT,
CacheLoader,reload(key oldValue),ConditionKind.THROWS,Exception,ConditionKind.THROWS,Exception,,assert false;,AssertionRelation.UNEXPECTED,
CacheLoader,reload(key oldValue),ConditionKind.THROWS,InterruptedException,ConditionKind.THROWS,InterruptedException,,assert Thread.currentThread().isInterrupted();,AssertionRelation.UNEXPECTED,
CacheLoader,reload(key oldValue),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? (methodResultID==null)==false;,assert methodResultID != null;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
CacheLoader,loadAll(keys),ConditionKind.PARAM,keys,ConditionKind.PARAM,keys,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
CacheLoader,loadAll(keys),ConditionKind.THROWS,Exception,ConditionKind.THROWS,Exception,,assert !receiverObjectID.loadAll(args[0]).containsKey(((Iterable)args[0]).iterator().next());,AssertionRelation.UNEXPECTED,
CacheLoader,loadAll(keys),ConditionKind.THROWS,InterruptedException,ConditionKind.THROWS,InterruptedException,,assert Thread.currentThread().isInterrupted();,AssertionRelation.UNEXPECTED,
CacheLoader,loadAll(keys),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID.size() == ((java.util.Iterable)args[0]).spliterator().estimateSize() && !methodResultID.containsValue(null);,AssertionRelation.UNEXPECTED,
CacheLoader,from(function),ConditionKind.PARAM,function,ConditionKind.PARAM,function,assert (args[0]==null)==false;,assert args[0] != null;,AssertionRelation.EQUIVALENT,
CacheLoader,from(function),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
CacheLoader,from(supplier),ConditionKind.PARAM,supplier,ConditionKind.PARAM,supplier,assert (args[0]==null)==false;,assert args[0] != null && ((Supplier)args[0]).get() != null;,AssertionRelation.WEAKER,
CacheLoader,from(supplier),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
