"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Iterators","removeAll(removeFrom elementsToRemove)","ConditionKind.PARAM","removeFrom","ConditionKind.PARAM","removeFrom","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Iterators","removeAll(removeFrom elementsToRemove)","ConditionKind.PARAM","elementsToRemove","ConditionKind.PARAM","elementsToRemove","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"Iterators","removeAll(removeFrom elementsToRemove)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == !receiverObjectID.containsAll(elementsToRemove);","AssertionRelation.UNEXPECTED",""
"Iterators","removeIf(removeFrom predicate)","ConditionKind.PARAM","removeFrom","ConditionKind.PARAM","removeFrom","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Iterators","removeIf(removeFrom predicate)","ConditionKind.PARAM","predicate","ConditionKind.PARAM","predicate","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"Iterators","removeIf(removeFrom predicate)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == !receiverObjectID.containsAll(removeFrom);","AssertionRelation.UNEXPECTED",""
"Iterators","retainAll(removeFrom elementsToRetain)","ConditionKind.PARAM","removeFrom","ConditionKind.PARAM","removeFrom","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Iterators","retainAll(removeFrom elementsToRetain)","ConditionKind.PARAM","elementsToRetain","ConditionKind.PARAM","elementsToRetain","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"Iterators","retainAll(removeFrom elementsToRetain)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == !receiverObjectID.containsAll(args[1]);","AssertionRelation.UNEXPECTED",""
"Iterators","getOnlyElement(iterator)","ConditionKind.THROWS","NoSuchElementException","ConditionKind.THROWS","NoSuchElementException","","assert !receiverObjectID.hasNext();","AssertionRelation.UNEXPECTED",""
"Iterators","getOnlyElement(iterator)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","assert receiverObjectID.size() > 1;","AssertionRelation.UNEXPECTED",""
"Iterators","getOnlyElement(iterator defaultValue)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","assert size(receiverObjectID) > 1;","AssertionRelation.UNEXPECTED",""
"Iterators","toArray(iterator type)","ConditionKind.PARAM","iterator","ConditionKind.PARAM","iterator","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"Iterators","toArray(iterator type)","ConditionKind.PARAM","type","ConditionKind.PARAM","type","","assert (args[1]==null) == false;","AssertionRelation.UNEXPECTED",""
"Iterators","toArray(iterator type)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && methodResultID.length > 0;","AssertionRelation.UNEXPECTED",""
"Iterators","addAll(addTo iterator)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.size() != args[0].size();","AssertionRelation.UNEXPECTED",""
"Iterators","concat(inputs)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","","assert java.util.Arrays.stream(args).anyMatch(Objects::isNull);","AssertionRelation.UNEXPECTED",""
"Iterators","partition(iterator size)","ConditionKind.PARAM","iterator","ConditionKind.PARAM","iterator","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"Iterators","partition(iterator size)","ConditionKind.PARAM","size","ConditionKind.PARAM","size","","assert args[1] > 0;","AssertionRelation.UNEXPECTED",""
"Iterators","partition(iterator size)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[1]<=0;","assert args[1] <= 0;","AssertionRelation.IDENTICAL",""
"Iterators","partition(iterator size)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Iterators","paddedPartition(iterator size)","ConditionKind.PARAM","iterator","ConditionKind.PARAM","iterator","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"Iterators","paddedPartition(iterator size)","ConditionKind.PARAM","size","ConditionKind.PARAM","size","","assert args[1] > 0;","AssertionRelation.UNEXPECTED",""
"Iterators","paddedPartition(iterator size)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[1]<=0;","assert args[1] <= 0;","AssertionRelation.IDENTICAL",""
"Iterators","paddedPartition(iterator size)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Iterators","filter(unfiltered type)","ConditionKind.PARAM","unfiltered","ConditionKind.PARAM","unfiltered","","assert (args[0] != null);","AssertionRelation.UNEXPECTED",""
"Iterators","filter(unfiltered type)","ConditionKind.PARAM","type","ConditionKind.PARAM","type","","assert (args[1] != null);","AssertionRelation.UNEXPECTED",""
"Iterators","filter(unfiltered type)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"Iterators","find(iterator predicate)","ConditionKind.THROWS","NoSuchElementException","ConditionKind.THROWS","NoSuchElementException","","assert !any(receiverObjectID, args[1]);","AssertionRelation.UNEXPECTED",""
"Iterators","get(iterator position)","ConditionKind.PARAM","position","ConditionKind.PARAM","position","","","AssertionRelation.EMPTY",""
"Iterators","get(iterator position)","ConditionKind.THROWS","IndexOutOfBoundsException","ConditionKind.THROWS","IndexOutOfBoundsException","assert args[1]<0;","assert args[1] < 0 || args[1] >= receiverObjectID.size(args[0]);","AssertionRelation.STRONGER",""
"Iterators","get(iterator position)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.get(receiverObjectID.advance(args[0], args[1]));","AssertionRelation.UNEXPECTED",""
"Iterators","get(iterator position defaultValue)","ConditionKind.PARAM","position","ConditionKind.PARAM","position","","assert args[1] >= 0;","AssertionRelation.UNEXPECTED",""
"Iterators","get(iterator position defaultValue)","ConditionKind.PARAM","defaultValue","ConditionKind.PARAM","defaultValue","","assert true;","AssertionRelation.UNEXPECTED",""
"Iterators","get(iterator position defaultValue)","ConditionKind.THROWS","IndexOutOfBoundsException","ConditionKind.THROWS","IndexOutOfBoundsException","assert args[1]<0;","assert args[1] < 0;","AssertionRelation.IDENTICAL",""
"Iterators","get(iterator position defaultValue)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (indexOf(args[0], args[2]) == args[1] ? args[2] : args[2]);","AssertionRelation.UNEXPECTED",""
"Iterators","getNext(iterator defaultValue)","ConditionKind.PARAM","defaultValue","ConditionKind.PARAM","defaultValue","","","AssertionRelation.EMPTY",""
"Iterators","getNext(iterator defaultValue)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (receiverObjectID.hasNext() ? receiverObjectID.next() : args[1]);","AssertionRelation.UNEXPECTED",""
"Iterators","getLast(iterator)","ConditionKind.THROWS","NoSuchElementException","ConditionKind.THROWS","NoSuchElementException","","assert size(args[0]) == 0;","AssertionRelation.UNEXPECTED",""
"Iterators","getLast(iterator)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && !receiverObjectID.isEmpty() && methodResultID == receiverObjectID.get(receiverObjectID.size() - 1);","AssertionRelation.UNEXPECTED",""
"Iterators","getLast(iterator defaultValue)","ConditionKind.PARAM","defaultValue","ConditionKind.PARAM","defaultValue","","","AssertionRelation.EMPTY",""
"Iterators","getLast(iterator defaultValue)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (receiverObjectID.hasNext() ? receiverObjectID.pollNext(iterator) : args[1]);","AssertionRelation.UNEXPECTED",""
"Iterators","advance(iterator numberToAdvance)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == Math.min(numberToAdvance, size(receiverObjectID.iterator));","AssertionRelation.UNEXPECTED",""
"Iterators","limit(iterator limitSize)","ConditionKind.PARAM","iterator","ConditionKind.PARAM","iterator","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"Iterators","limit(iterator limitSize)","ConditionKind.PARAM","limitSize","ConditionKind.PARAM","limitSize","","assert args[1] >= 0;","AssertionRelation.UNEXPECTED",""
"Iterators","limit(iterator limitSize)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[1]<0;","assert args[1] < 0;","AssertionRelation.IDENTICAL",""
"Iterators","consumingIterator(iterator)","ConditionKind.PARAM","iterator","ConditionKind.PARAM","iterator","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Iterators","consumingIterator(iterator)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof Iterator;","AssertionRelation.UNEXPECTED",""
"Iterators","peekingIterator(iterator)","ConditionKind.PARAM","iterator","ConditionKind.PARAM","iterator","","","AssertionRelation.EMPTY",""
