class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
BloomFilter,put(object),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResult == !mightContain(args[0]);,AssertionRelation.UNEXPECTED,
BloomFilter,isCompatible(that),ConditionKind.PARAM,that,ConditionKind.PARAM,that,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
BloomFilter,putAll(that),ConditionKind.PARAM,that,ConditionKind.PARAM,that,,assert receiverObjectID.isCompatible(args[0]);,AssertionRelation.UNEXPECTED,
BloomFilter,putAll(that),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert receiverObjectID.isCompatible(args[0])==false;,assert !receiverObjectID.isCompatible(args[0]);,AssertionRelation.EQUIVALENT,
BloomFilter,create(funnel expectedInsertions fpp),ConditionKind.PARAM,funnel,ConditionKind.PARAM,funnel,,assert funnel != null;,AssertionRelation.UNEXPECTED,
BloomFilter,create(funnel expectedInsertions fpp),ConditionKind.PARAM,expectedInsertions,ConditionKind.PARAM,expectedInsertions,assert args[1]>0;,assert expectedInsertions > 0;,AssertionRelation.INCOMPARABLE,
BloomFilter,create(funnel expectedInsertions fpp),ConditionKind.PARAM,fpp,ConditionKind.PARAM,fpp,assert args[2]>0 && args[2]<1.0;,assert fpp > 0 && fpp < 1.0;,AssertionRelation.EQUIVALENT,
BloomFilter,create(funnel expectedInsertions fpp),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
BloomFilter,create(funnel expectedInsertions fpp),ConditionKind.PARAM,funnel,ConditionKind.PARAM,funnel,,assert funnel != null;,AssertionRelation.UNEXPECTED,
BloomFilter,create(funnel expectedInsertions fpp),ConditionKind.PARAM,expectedInsertions,ConditionKind.PARAM,expectedInsertions,assert args[1]>0;,assert expectedInsertions > 0;,AssertionRelation.INCOMPARABLE,
BloomFilter,create(funnel expectedInsertions fpp),ConditionKind.PARAM,fpp,ConditionKind.PARAM,fpp,assert args[2]>0 && args[2]<1.0;,assert fpp > 0 && fpp < 1.0;,AssertionRelation.EQUIVALENT,
BloomFilter,create(funnel expectedInsertions fpp),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResult != null && methodResult instanceof BloomFilter;,AssertionRelation.UNEXPECTED,
BloomFilter,create(funnel expectedInsertions),ConditionKind.PARAM,funnel,ConditionKind.PARAM,funnel,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
BloomFilter,create(funnel expectedInsertions),ConditionKind.PARAM,expectedInsertions,ConditionKind.PARAM,expectedInsertions,assert args[1]>0;,assert args[1] > 0;,AssertionRelation.IDENTICAL,
BloomFilter,create(funnel expectedInsertions),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResult instanceof BloomFilter;,AssertionRelation.UNEXPECTED,
BloomFilter,create(funnel expectedInsertions),ConditionKind.PARAM,funnel,ConditionKind.PARAM,funnel,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
BloomFilter,create(funnel expectedInsertions),ConditionKind.PARAM,expectedInsertions,ConditionKind.PARAM,expectedInsertions,assert args[1]>0;,assert args[1] > 0;,AssertionRelation.IDENTICAL,
BloomFilter,create(funnel expectedInsertions),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResult instanceof BloomFilter;,AssertionRelation.UNEXPECTED,
BloomFilter,optimalNumOfHashFunctions(n m),ConditionKind.PARAM,n,ConditionKind.PARAM,n,assert args[0]>0;,assert args[0] > 0;,AssertionRelation.IDENTICAL,
BloomFilter,optimalNumOfHashFunctions(n m),ConditionKind.PARAM,m,ConditionKind.PARAM,m,assert args[1]>0;,assert args[1] > 0;,AssertionRelation.IDENTICAL,
BloomFilter,optimalNumOfBits(n p),ConditionKind.PARAM,n,ConditionKind.PARAM,n,assert args[0]>0;,assert args[0] > 0;,AssertionRelation.IDENTICAL,
BloomFilter,optimalNumOfBits(n p),ConditionKind.PARAM,p,ConditionKind.PARAM,p,,assert args[1] > 0 && args[1] < 1;,AssertionRelation.UNEXPECTED,
BloomFilter,readFrom(in funnel),ConditionKind.THROWS,IOException,ConditionKind.THROWS,IOException,,assert ((java.io.InputStream) args[0]).available() == 0;,AssertionRelation.UNEXPECTED,
